Num,R_1,R_2,R_3,R_4,R_5,Average
1,0.9046698636810053,0.5758572314511705,0.8807344705284886,1.0,0.5793778277157771,0.7881278786752883
2,0.3406866983807164,0.6275382096868485,0.8976053528957103,1.0,0.4347937456235464,0.6601248013173644
3,0.350875445977666,0.6390261760964409,0.879621777212387,0.9646644715253263,0.517228034241439,0.6702831810106519
4,0.4651055856658498,0.8459681859949647,1.0,0.7299930016789182,1.0,0.8082133546679465
5,0.0,0.38684249873210536,1.0,0.8774371936271403,0.7264572351910749,0.5981473855100641
6,0.0,0.8218529234026174,0.746000445756209,0.7699383828534372,0.8654022404869222,0.6406387984998372
7,0.4312934556210266,0.7188224260350442,0.9202292812413744,0.8323573997483878,0.8433073876423258,0.7492019900576319
8,0.25820862708164344,0.5184418987625233,0.9296046178841665,0.5956193699051581,0.6719830173419626,0.5947715061950908
9,0.3716258486792365,0.8930789649840777,1.0,0.9880862356306401,0.7966899055439035,0.8098961909675715
10,0.3106508562419799,0.7500034145373419,0.8884448915650861,1.0,0.7045544513568814,0.730730722740258
11,0.5456412556571903,0.7106845411458823,0.7509793728420913,0.8082147521729514,0.5304268121958955,0.6691893468028022
12,0.2885225106049285,0.5990648347136571,0.689254530139337,0.845240530795886,0.5796587150604229,0.6003482242628463
13,0.973547464183214,0.4782571152726053,0.8110830194818669,1.0,0.8274023812988051,0.8180579960472982
14,0.3419749999145583,0.5421552120615781,0.7187004629008928,1.0,0.6040997039162317,0.6413860757586523
15,0.3290165825715761,0.7103389934038127,1.0,0.7208652482561771,0.6240573932113421,0.6768556434885816
16,0.41587020457478885,0.9065614245453457,0.8382505311828006,0.3940680779801989,0.9920549039287402,0.7093610284423748
17,0.24123762317705244,0.6162335251038428,0.6392931501160135,0.5229847051472087,0.988869917483021,0.6017237842054277
18,0.47642364693201583,0.8989809453380898,0.9890100639262475,1.0,0.8442749374897776,0.8417379187372263
19,0.23876658509150053,0.5091005260720938,1.0,0.8214446083374416,0.6744750228974851,0.6487573484797041
20,0.26899320249971886,0.5116518792424607,1.0,0.6975430747242861,0.7377114608503208,0.6431799234633573
21,0.4494330159601912,0.43221905803850463,0.5799702070044546,0.5554897018778279,0.46723708451158524,0.49686981347851267
22,0.27000632553610876,0.9360176989598505,0.9324951207935497,0.6128277050740134,0.38954928872742267,0.628179227818189
23,0.298512538232641,0.7724614990721576,0.752330466302278,0.9297454396861009,1.0,0.7506099886586355
24,0.44471915504133314,0.3653144715090767,1.0,0.7481923146051854,1.0,0.7116451882311191
25,0.346899089690829,0.6195239880181006,1.0,0.8311842214002665,1.0,0.7595214598218393
26,0.3600137854955997,0.3928566971348441,1.0,0.8628233887804786,0.8116073629386682,0.685460246869918
27,0.3317895615642346,0.5431205545892319,1.0,0.38229666767597026,0.5777576547758214,0.5669928877210516
28,0.3955284425408861,0.6664238519721167,1.0,1.0,1.0,0.8123904589026006
29,0.40931267996961807,1.0,0.9849062893398354,1.0,0.7714253031044682,0.8331288544827844
30,0.0,0.7973890622359642,1.0,0.7029996712897957,0.5899861678313968,0.6180749802714314
31,0.5689293507963203,0.8776230888852963,0.8771496491948488,1.0,0.5869791170998859,0.7821362411952701
32,0.33201317671368635,0.5716153828552588,1.0,0.6951088102650395,0.7320304507283304,0.666153564112463
33,0.3649911022902624,0.8859058492698014,0.9884033588767791,1.0,0.8826331958998503,0.8243867012673387
34,0.27180975519694994,0.6102707232363954,0.7517091889911923,0.7483430414032849,0.4002622228410697,0.5564789863337785
35,0.4245301559044845,0.6683815998410413,0.8969733536114922,0.8960963285960111,0.4543778908063117,0.668071865751868
36,0.0,0.46027059735614706,0.840503840967003,0.9117006411729682,0.5145037325407001,0.5453957624073638
37,0.47642364693201583,0.8989809453380898,0.9890100639262475,1.0,0.8442749374897776,0.8417379187372263
38,0.0,0.0,1.0,0.799600363996154,0.5057585594649614,0.4610717846922231
39,0.4206759416062144,0.6373152165382788,1.0,0.7211821390613282,0.701230783615848,0.6960808161643339
40,0.0666389627325032,0.7384420834548485,0.8349816136777582,0.411798080811859,0.3107430996095845,0.47252076805731075
41,0.29715432610638826,0.9790306635535728,0.757374570388931,1.0,0.4992762986989605,0.7065671717495705
42,0.5203616978333382,0.6114711605624574,1.0,0.8091948440660018,1.0,0.7882055404923595
43,0.3146996381395668,0.5780193666696778,0.4968567165179133,0.5266383060297463,0.7075557439328266,0.5247539542579461
44,0.19220590876456972,0.5841913696346176,0.9426424073005314,0.488507406295824,0.4233616043995525,0.526181739279019
45,0.7014053195634682,0.7108167717138367,0.9973794779940061,0.5317941412472365,0.7639684100541322,0.7410728241145359
46,0.23023489552012044,0.7288161766352627,0.6871784076106688,0.9586065102436622,0.6103093156769676,0.6430290611373364
47,0.2601263698265155,0.5941432322840673,0.6808929913094797,0.5260244601697958,0.6043450425280869,0.533106419223589
48,0.5436440656138828,1.0,0.9964543179747968,0.48299170571939815,0.472396441218224,0.6990973061052603
49,0.7112788649904032,0.8644869246159668,0.9358161775703591,0.6867373967299845,0.3663220119506365,0.71292827517147
50,0.5839667252999572,0.717115962919321,1.0,0.8263703606282676,0.8221188521808896,0.789914380205687
51,0.28654354952182204,0.9229873161980187,0.6209942851368565,0.8579893596427735,0.42776718502229727,0.6232563391043536
52,0.6950846647556713,0.7370679915414596,1.0,0.7377461222309912,0.981613039026916,0.8303023635110076
53,0.35090623950985317,0.5429262065181516,0.7006851498891089,0.5382872108141108,0.8395085676979855,0.5944626748858419
54,0.42872725889720964,0.7911548173590507,1.0,0.5949915960386185,1.0,0.7629747344589758
55,0.8115781374400274,0.5300049526202976,0.8374604572021138,0.6570185095799034,0.5173536539744444,0.6706831421633573
56,0.956344949704264,0.9005606237498285,0.8726398630023865,1.0,0.7257397447882261,0.891057036248941
57,0.25380529867171014,0.8634536084890652,1.0,1.0,0.6194517676383566,0.7473421349598264
58,0.2703203173366131,0.5575731004128586,0.9494100596471204,0.8472747064731077,0.5049568992611734,0.6259070166261747
59,0.47919046149165917,0.8694389537251886,1.0,0.7830359191460406,0.7562379175030662,0.7775806503731909
60,0.24525094455893034,0.596243604246494,0.9199106583642415,0.788375817651035,0.45773708851508776,0.6015036226671577
61,0.2606240060459649,1.0,0.8414630056852919,0.4890016038117681,0.6385749340242785,0.6459327099134607
62,0.5177514081978574,0.6508121691180058,0.1682410031985534,0.7258881857874303,0.901068581701574,0.5927522696006842
63,0.4307890775187546,0.8084217782323329,0.7107436172679005,0.42898274058990166,0.7438406562273678,0.6245555739672515
64,0.790195835757742,0.36117118743217064,0.7801109572860995,0.634324881974012,0.6760260885193878,0.6483657901938823
65,0.2941821155256743,0.6727288611993808,0.532427453877136,0.6906271108477537,0.5601230903394897,0.5500177263578869
66,0.3187967397208184,0.5921961856274935,1.0,0.6276974689890981,1.0,0.7077380788674821
67,0.3100417228192183,0.5286373854891414,0.5225919501405483,0.8139075461873618,0.5252061922069967,0.5400769593686533
68,0.5414605326171877,0.44575721370161825,0.5767494535790123,0.5445218695756913,1.0,0.6216978138947018
69,0.402605623991215,0.7642608611084796,0.9497313030132201,0.7892776477454309,0.018057458967646593,0.5847865789651985
70,0.19340044940288906,1.0,0.8440898760238137,0.9518031929182419,1.0,0.7978587036689889
71,0.4966931746875356,0.7489920299881069,1.0,0.8261209561728255,0.4776947526731127,0.7099001827043162
72,0.7651468402087681,0.2947705842813877,0.5396229519212297,1.0,1.0,0.7199080752822772
73,0.5492482919499866,0.666144852986995,0.6318890490331247,0.7233914537567497,0.5287897206232888,0.619892673670029
74,0.23993317654319946,0.5348032042055374,0.9382907030541853,0.7048229101648884,0.6054683059428788,0.6046636599821379
75,0.3830925129327459,1.0,0.9709978207828373,0.7968563117994593,0.8663807319893763,0.8034654755008838
76,0.31855137507347336,0.5754415130739848,1.0,0.6870891487510693,0.5703900952847848,0.6302944264366623
77,0.7275881309616541,0.0,0.8012439518143921,0.8223128488053854,0.6893497572589673,0.6080989377680798
78,0.6634394342193388,0.604636933614262,0.9847062458981117,1.0,0.33463971837814593,0.7174844664219717
79,0.4160812327430281,1.0,0.7925592435177164,0.7910179999448816,0.8555975589821535,0.7710512070375559
80,0.34226770156165875,0.5936601388649836,0.9451407718065162,0.8035911754183833,0.41784884675743,0.6205017268817945
81,0.29063405346836235,0.6519844614364204,0.6870631248337071,0.9072327904946615,0.832968516297158,0.673976589306062
82,0.6104789122217128,1.0,0.3895210877782876,0.7337895027809479,0.6114458678683953,0.6690470741298686
83,0.3676590163813549,0.5651912053682688,0.7573162825110203,0.8324033666899355,0.4169706959410635,0.5879081133783286
84,0.8047915043997382,0.6711652737150768,0.9208095155916852,0.6074311636002763,0.5845887241721544,0.7177572362957862
85,0.32213698135631424,0.6895696539337439,0.6504536000867369,0.6309438081484268,0.7906557471061549,0.6167519581262753
86,0.21662256318367,0.7940321672230864,0.7372474598878327,0.422249676175686,0.7584037583390869,0.5857111249618725
