Num,R_1,R_2,R_3,R_4,R_5,R_6,Average
1,0.7515813765439245,0.9594342729906454,0.5903787629979081,0.5126576008135617,0.6945409053376128,0.5843117959597064,0.6821507857738932
2,0.5757985813736388,1.0,0.47324980192653376,0.5804225792304212,0.30282048713673476,0.2438639640034166,0.5293592356117908
3,0.6389567115852206,1.0,1.0,0.792298314411048,0.4874110120389899,0.4749992446192559,0.7322775471090858
4,0.6798573661595295,0.14280494113458472,0.586416125024605,0.9516402603911636,0.8010000086101703,0.4829257059032191,0.607440734537212
5,0.6667869848547537,0.9104464105848405,0.6878939012873374,0.616653002466801,0.2873625772268375,0.5682898499263571,0.6229054543911544
6,0.896172858018652,0.9336205855164634,1.0,0.6332420564899691,0.5119124010180806,0.23521385464361289,0.7016936259477964
7,0.7820910135912316,0.595380445399059,1.0,0.930792594617097,0.6704051169755916,0.3777814307933216,0.7260751002293834
8,0.9091612111834494,0.9971785202828224,0.6677989791924922,0.7647331014546355,0.7514782544255421,0.46273943750320623,0.7588482506736912
9,0.9171248355666036,0.5384540835969633,0.6927045926156516,0.654585498374957,0.5372530342359693,0.2875738280779201,0.6046159787446775
10,0.6447449371733491,0.8379333067389831,0.8276836208420175,0.6211326184253526,0.6908244040342597,0.28295652501169705,0.6508792353709432
11,1.0,1.0,0.44804866310652075,0.44823464314287637,0.6444679506250404,0.6338623494352725,0.6957689343849517
12,1.0,1.0,0.8281096245613975,0.5394001572875032,0.40881203657544524,0.4897086561577542,0.7110050790970167
13,0.8370069920020423,1.0,0.48885057211319805,0.01944024698597881,0.5136323388568905,0.3406602738679696,0.5332650706376798
14,0.5987343934129937,1.0,1.0,0.32079909348156904,0.4502677137391961,0.559999937777784,0.6549668564019239
15,0.9955556725766862,1.0,0.6918994080410166,0.4494914625079098,0.56931403227278,0.26891971366242556,0.6625300481768029
16,1.0,0.7807961830896217,1.0,0.5245090986270108,0.8454469860858003,0.6945478839629348,0.8075500252942279
17,0.998928779892327,0.7278074656333362,0.538149502605169,0.8249573255205614,0.5380322010279601,0.4015559437655476,0.671571869740817
18,0.8360100130055551,0.6867175626557952,0.8409670173430221,0.6295130577174747,0.573826131371228,0.26834810589439817,0.6392303146645789
19,0.7408452465330893,0.6041683108415944,0.5053202559370132,0.9178591797318094,0.8321340703289405,0.37081475936288655,0.6618569704558889
20,0.9158597084678266,0.8012028785218195,0.5768145021443319,0.6053587703593918,0.5866679305377023,0.4799988400028033,0.6609837716723126
21,0.748941656023922,0.8866083581790836,1.0,0.8942173689095269,0.5116329533389506,0.38351437884461453,0.7374857858826829
22,1.0,1.0,0.5432463005654808,0.5039314527241429,0.9817243720470429,0.4250652216158153,0.7423278911587471
23,1.0,0.7034972102817405,0.5709813546552109,0.5136937427721768,0.7466854558818047,0.5381143250285398,0.6788286814365788
24,0.6181545999970373,0.4306147265816442,0.5948937825336756,1.0,0.9234577976147484,0.3501989929762904,0.652886649950566
25,1.0,1.0,0.6782871368824951,0.47056291094849223,0.9236501501487487,0.7368908144274589,0.8015651687345325
26,1.0,0.6393951152261769,1.0,0.7871020187327651,0.3362892425383723,0.4091829350125807,0.6953282185849825
27,1.0,0.8257229842404928,0.5475557234615317,0.7984337973187439,0.4737582858340127,0.2752998936472603,0.6534617807503402
28,0.9356075983686768,1.0,0.9598988982065074,0.654342449897629,0.5795562975003897,0.29984128631563317,0.7382077550481393
29,0.30303635062797374,0.7407182787787662,0.8978922574325183,0.7200594940543811,0.9191819546026847,0.482411228210614,0.6772165939511563
30,0.7473963454810434,0.864979682771256,0.8719902912890091,0.8349253942724062,0.7872084080027201,0.3021795882119351,0.734779951671395
31,0.9144489678066963,0.6675892957038224,0.599386068071274,0.9144423168176791,0.7582742634867369,0.3388511842295203,0.6988320160192881
32,0.7602532740599767,0.7855121492615484,1.0,0.8515721397034126,0.42549291293233754,0.3471680504470266,0.694999754400717
33,0.8009451314084579,0.6513827591968188,0.6037223741095595,0.9137212535678345,0.9720109980251713,0.43286314542361515,0.7291076102885762
34,1.0,0.33104000685680296,0.5064733059529067,0.4823083288786429,0.3856429792775508,0.32505703775100797,0.5050869431194852
35,0.7179532265812639,0.9479291962337348,1.0,0.7325209301357831,0.533508187973593,0.63999388450288,0.7619842375712093
36,1.0,0.5089903870746465,1.0,0.2742794744663816,0.3706434512375174,0.5385717664610967,0.6154141798732736
37,0.630692371696662,1.0,0.6698499955145563,0.7162286067412553,0.9391247816359464,0.47373336818171025,0.7382715206283551
38,0.341415090618851,0.4367754498219492,0.9326947893292769,0.8722596372960008,0.47076587972293715,0.2965162256483283,0.5584045120728905
39,0.6486000420478842,0.8129040370159244,1.0,0.5930354291432519,0.5615294248024926,0.37799278257439667,0.665676952597325
40,0.6870274333038247,0.6493113465197681,0.6568124180885031,0.6734629609187734,0.42304640273844624,0.2584027256089582,0.5580105478630456
41,1.0,0.5665029525723076,0.5315923586913623,0.9017727039609723,0.5441967818233109,0.3431561470341351,0.6478701573470147
42,0.7801823324522094,0.6647182275591974,1.0,0.5300919918628826,0.2810495189620668,0.23066920073670366,0.5811185452621767
43,0.8867700576390549,0.6077853241544258,0.8105717925604408,0.6987933312383156,0.6174115569171973,0.4147135631865599,0.6726742709493324
44,0.776766446427263,0.7362443016339643,0.9253885544934488,0.7513346653351255,0.34005515345569726,0.487163233862382,0.6694920592013135
45,0.8077089949509217,1.0,0.4560568150157683,0.7673591696825603,0.3651075093615636,0.2728378239413517,0.6115117188253609
46,1.0,0.7509017877113191,1.0,1.0,0.5545902629726561,0.32422221224684694,0.7716190438218037
47,1.0,0.8533218874674677,0.5433092162176107,0.8944048421341081,0.3813030268260608,0.3104189943613099,0.6637929945010929
48,0.7340474611786053,0.8535725134141303,0.6478027905286169,0.6494939859468515,0.7199981280048667,0.4440292988997614,0.6748240296621386
49,0.7291870115915706,0.7184113552227124,1.0,0.42275957923093715,0.4741687844787827,0.0,0.5574211217540005
50,0.9077152470536036,1.0,1.0,0.6377162123774355,0.3667965084035702,0.2778337993314264,0.6983436278610059
51,0.8716844586771344,0.560229376182894,0.9568483817913784,0.5863746262963034,0.49098795609111306,0.3648385432748891,0.6384938903856188
52,0.7098541632995349,0.7676865147478971,0.5664232036531898,0.6446036796614384,0.5627779875391121,0.47536867270465893,0.6211190369343053
53,0.7541379358589589,0.7476488198689357,0.8950212216505762,0.6418611491569693,0.40943272083389864,0.3019739777579468,0.6250126375212143
54,0.8574072459915948,0.6328436503282985,0.6748394262465272,0.9989312987262556,0.5061816386191692,0.401917576643708,0.6786868060925922
55,1.0,1.0,0.6859373041942248,0.4509559334830542,0.6772921894639539,0.6334073192835542,0.7412654577374646
56,1.0,1.0,1.0,0.5443355389317969,0.364717042361362,0.5472003283201973,0.7427088182688927
57,0.8000391820410605,0.9081098837258705,0.6595643247713443,0.893965210628207,0.6489284088960394,0.37185193557704677,0.7137431576065948
58,0.4878948458840868,0.5872893652082068,0.9140098700102942,0.7748468129334869,0.352167339767416,0.08599012998970591,0.5336997272988661
59,0.9017949971384703,1.0,1.0,0.6976495954749765,0.5540717408184023,0.2593684707457391,0.7354808006962648
60,1.0,0.6157130537607702,0.7046524439214839,1.0,0.4974771861221519,0.32576669848052786,0.6906015637141557
61,0.7812434711909652,0.351874503008592,1.0,0.9500147979450637,0.4160041200751363,0.4721340995400538,0.6618784986266352
62,0.9253516237140021,0.8263772358114908,0.47441760232550756,0.7917287878158525,0.6173458006109711,0.31178861659260676,0.6578349444784052
63,0.5145086094869055,0.5182791848274682,0.9941614112432454,1.0,0.5158339015475802,0.2633711910152782,0.6343590496867463
64,1.0,1.0,0.5623156405030522,0.5347170083885084,0.6930749374000372,0.4680410838006395,0.7096914450153728
65,1.0,0.8104734981814428,0.7147811353956279,0.8136789434839747,1.0,0.47707180870738325,0.8026675642947381
66,0.7609524996711101,0.6282642052061406,0.8877298317081634,0.5505951078184814,0.8999932500506274,0.4397232202313787,0.694543019114317
67,0.625959522543676,1.0,0.8135306733440903,0.5225132048700089,0.46989212336286057,0.24938093647989373,0.613546076766755
68,0.387161922679873,0.7711245193643276,0.9830591556789589,1.0,0.5794351139106703,0.30059206477911254,0.6702287960688237
69,1.0,0.55363119237358,0.8308083098831871,0.5107781138605997,0.3958283502915512,0.4440297431891128,0.6225126182663385
70,0.9287776864898271,1.0,0.6901792010930864,0.6766382529538054,0.41983644678379534,0.3720408749142345,0.681245410372458
71,0.6704529326781055,0.7469954492545509,0.6822115365717438,0.43702880837836583,0.5373943292595115,0.2812806742150504,0.559227288392888
72,0.7564059479441427,0.7061980001780163,0.7060127057517367,1.0,0.6979646486891866,0.3252029360131305,0.6986307064293688
73,0.9299406297987888,0.7969563718387512,0.6053409878818206,0.6378503459719673,0.40355390962075066,0.1785981977248345,0.5920400738061522
74,0.6845859209838328,0.7691542348672605,0.5823599363469998,0.7628288507923393,0.9403992866896443,0.3845847887369019,0.6873188364028299
75,1.0,0.7068532253696451,0.5539500633740868,0.6815059157384681,0.9933205640879735,0.3086758424258197,0.7073842684993322
76,0.9919228016762882,0.795758287148249,0.6408390512877399,0.8466879144755828,0.6045706093548769,0.5183534954146228,0.73302202655956
77,0.7575843691261971,0.6488682522244908,0.6854265239805344,0.7007080995262485,0.4867696254417496,0.32008245882017133,0.599906554853232
78,0.668607515648084,0.9270977513061089,1.0,1.0,0.48173516618540835,0.5262428738125838,0.7672805511586974
79,1.0,1.0,0.7218447599743839,0.09475895207437257,0.5129913734114651,0.4823620486905832,0.6353261890251342
80,0.9917708178204829,0.5208428030837643,0.7343219812323574,0.9933276497542477,0.44225638257056527,0.23824942536261468,0.653461509970672
81,1.0,0.8162749529182973,0.6535196660368376,0.7283456083560235,0.36566781783386376,0.4602434590741327,0.6706752507031926
82,0.8220565483652236,0.49286769241654294,0.5620118224399876,0.9780170358413376,0.23724965871728132,0.3229261070420163,0.569188144137065
83,0.9312791089347245,0.8271882217091179,0.36172881625014824,0.5712045147381314,0.5290512221528155,0.4535484364379725,0.6123333867038184
84,0.8354975741059776,0.5549139828013147,0.5976527435875678,0.6360598389815062,0.6500049412412656,0.2454621357090066,0.5865985360711065
85,0.8288085492951996,0.5562489604469025,1.0,0.8079082715026017,0.6638432712792464,0.24824147496096924,0.6841750879141532
86,1.0,0.5489607252270827,0.785799537129137,0.8824831782090933,0.7799942367092509,0.2755742319725893,0.7121353182078588
87,1.0,0.7233825480733359,0.6028187900611132,0.6787046347723249,0.8690569912776999,0.37100995771943357,0.7074954869839846
88,0.4982103512610365,0.49257490861968894,1.0,0.5743644172347953,0.3568266720308729,0.47213103918303995,0.5656845647215724
89,0.7410946884913684,1.0,0.9591100605349904,0.6662013104620801,0.7331654837685266,0.5471990053666782,0.7744617581039407
90,0.7262462142694098,0.7515017506558629,0.8572641823859793,0.617823900431591,0.4036409333080644,0.3481487750540435,0.6174376260174919
91,0.7347941564632959,0.6353315597084696,0.7290821725290043,0.639429666536341,0.4503292249588858,0.19732235728938102,0.5643815229142296
92,0.7653424064485732,0.8615036182244808,1.0,0.5035088793956438,0.39131529286052275,0.28201783575297956,0.6339480054470333
93,0.7624338509663784,0.7309390044590356,1.0,1.0,0.4068860903074266,0.33939233049720735,0.7066085460383413
94,0.7445150790053816,0.7117333994846465,0.8727434339580521,0.5353621143931949,0.4490043382585293,0.30240769958614333,0.6026276774476579
95,1.0,1.0,0.6066536566379322,0.5023328470244212,0.4909157500267562,0.5733341231995991,0.6955393961481181
96,0.9830108424034844,0.7947689790769245,0.7505316714085675,0.5706203574171927,0.5114270770784048,0.44215557065731487,0.6754190830069815
97,0.6224804008648452,1.0,1.0,0.4485832896114139,0.33459629833309257,0.39946383976972166,0.6341873047631789
98,0.9305480843322105,0.7621754556713367,0.6882088374734392,0.7408788593804969,0.6047299231073586,0.3679165276746907,0.6824096146065887
99,1.0,0.5997706523691054,0.5800916389491014,0.8836852481694774,0.33115670700352834,0.29189608758868274,0.6144333890133159
100,0.8977172858595738,0.8343439318021048,0.7596532601195921,1.0,0.6339674501907554,0.28935377682268,0.7358392841324509
101,0.8725422964878647,0.6149455943015777,0.9786701892429654,1.0,0.6250554137026558,0.3659650812740286,0.7428630958348487
102,0.6534804192354479,0.6765575051852917,0.6078132829167153,0.5066743607789271,0.4356248403149015,0.2947058824163692,0.5291427151412754
103,1.0,1.0,0.5776663779442481,0.6004086393755664,0.29718420722020994,0.39826129731927334,0.6455867536432164
104,0.9035242292799293,0.8783983010183462,1.0,0.983612527059697,0.4454358371577169,0.2036132685404727,0.735764027176027
105,1.0,0.8270280685364612,0.7494791420873815,0.5842407669125119,0.45396061835983553,0.31519367226329387,0.6549837113599141
106,0.8589474358557756,0.5635155744530083,0.678543343121206,0.8772910259064967,0.597004583881449,0.3551144914470026,0.655069409110823
107,0.6334061004031417,0.7953586220624512,0.831864899734553,0.462598859716846,0.31703166367150853,0.36001432882057866,0.5667124124015132
