Num,Q_1,Q_2,Q_3,Q_4,Q_5,Q_6,Average
1,0.4713449432427356,0.4713449432427358,1.0,0.7628072250802566,1.0,0.21182692778401777,0.6528873398916243
2,0.1721113373622326,0.8870794117011094,0.7329644513244726,0.23349318480101633,0.24725088087183741,0.9524950048698114,0.5375657118217466
3,1.0,0.7682651953048266,1.0,1.0,0.28091510815159204,1.0,0.8415300505760698
4,1.0,0.5057310068235312,0.3894411567769232,1.0,0.889441156776923,0.889168952891321,0.7789637122114498
5,0.4084395122763425,1.0,1.0,0.7586273263575024,0.5799430582441525,0.8902411592094389,0.7728751760145728
6,1.0,1.0,0.6642401937292499,0.8978009139780391,1.0,0.9821610070806077,0.9240336857979828
7,1.0,0.488550999271605,0.8747895033125671,1.0,0.6296435807737685,0.41364580814483587,0.7344383152504627
8,1.0,0.5947657483824098,1.0,1.0,1.0,0.5982273502406101,0.8654988497705034
9,1.0,1.0,0.9959476466169931,1.0,0.5689318846459378,0.8650081240571758,0.9049812758866844
10,1.0,1.0,1.0,1.0,0.7573450944517148,0.6332691377188493,0.8984357053617607
11,0.8348584255169272,0.30778976335105346,0.1420200412284625,0.8486409280725666,1.0,0.6044042851284422,0.6229522405495754
12,1.0,1.0,1.0,1.0,0.9610557040196475,0.3472661003515179,0.8847203007285276
13,1.0,0.8799553849146299,0.6726743522790049,0.05784958390869177,0.8238621285539426,0.6897185392255647,0.6873433314803057
14,0.23151092295858536,0.26288934955577575,1.0,0.9842437767039205,0.9156892132985952,0.4214318390510556,0.635960850261322
15,1.0,0.975697490358457,0.949090282980253,0.554614070699069,0.3675292075076276,0.7845112048315329,0.7719070427294898
16,1.0,0.6772991792900823,0.5893888740585337,1.0,0.2718040493937364,0.38218057419271073,0.6534454461558439
17,0.5508727726173019,1.0,0.9491171063405387,0.8754363863086508,0.8045501313255135,0.8470791008748901,0.8378425829111492
18,1.0,1.0,1.0,1.0,0.29662592118553904,1.0,0.8827709868642565
19,1.0,1.0,0.9339857116210356,0.3104938070020786,0.5699302962228701,0.6173640713214198,0.7386289810279006
20,0.853263018071971,0.692370053202791,1.0,1.0,1.0,0.7061569065818053,0.8752983296427613
21,1.0,0.7894269865550685,0.930196670911019,0.8524876152988626,0.14340156315950245,0.8951168572159709,0.7684382821900705
22,0.6105231551756743,0.5973756073331737,1.0,0.9715463104173369,0.3177185588309697,0.7892000719400973,0.7143939506162087
23,0.8163668253497278,1.0,1.0,1.0,0.9857438744457674,0.8249430645782836,0.9378422940622965
24,1.0,0.40547851234899235,0.591873377394117,0.9849133046298486,1.0,1.0,0.8303775323954931
25,1.0,0.38068665405362356,1.0,1.0,0.8432233226979,0.4681395495862707,0.7820082543896323
26,0.5217149538325256,1.0,1.0,0.789152810292455,0.960284492052101,0.8994205974845906,0.8617621422769455
27,0.4512878843251931,1.0,1.0,0.5755102831374367,1.0,0.7958444997159791,0.8037737778631016
28,0.9324225790971588,1.0,0.7256352698776349,0.5923549766543923,0.5119654547623935,0.6028540753071894,0.7275387259497949
29,0.0621986601325125,0.11599450541219997,0.7820159627002506,0.5587953068129564,0.805394570070941,0.7987854977558396,0.5205307504807833
30,1.0,1.0,0.6865120745803788,0.38344218503155614,0.932762121127372,0.970518990710373,0.8288725619082798
31,0.44480813794939716,1.0,1.0,0.8636906108919867,0.7510910691612347,0.7116207174968647,0.7952017559165805
32,0.8216431791127546,0.29391387102250477,0.29391387102250477,1.0,0.0,0.8079264023902711,0.5362328872580059
33,1.0,0.8915654426972555,0.4928488123750055,0.5367881855984793,1.0,1.0,0.8202004067784566
34,0.5020225713340429,0.0,0.7183328938263913,1.0,0.7906735729893892,0.7303286733343619,0.6235596185806975
35,1.0,1.0,0.8663347452673028,0.8713415476359426,0.7645771539151485,0.1888435064893744,0.7818494922179613
36,1.0,0.7973673198249226,0.6820810092179654,0.573497379717445,1.0,0.3904544565475393,0.7405666942179786
37,1.0,0.8748823364523345,1.0,1.0,0.9079451390758178,0.561247893761976,0.8906792282150214
38,1.0,0.7425639734271319,0.7252313060737083,0.6025211307958481,0.6025211307958488,0.8860944312802121,0.7598219953954581
39,1.0,1.0,0.5435467765576268,1.0,1.0,0.5785053469770566,0.8536753539224472
40,1.0,0.7438921441518656,0.9641868234161804,0.8084144040253379,1.0,0.8928574116839192,0.9015584638795505
