Num,P_1,P_2,P_3,P_4,P_5,Average
1,0.5130975649064802,0.5884171225400415,0.5918123426336519,0.35667081947861945,0.48721907803706477,0.5074433855191717
2,0.39623240589337727,0.5235102577293838,0.2539346414518581,0.34449594754519697,0.5892938981075626,0.42149343014547574
3,0.4697897298127374,0.5655392908458007,0.507238101776019,0.7532308876276006,0.1947530289243363,0.4981102077972988
4,0.975336252188389,0.5345328654850479,0.7456196874654629,0.44590032378859723,0.5379430635193583,0.647866438489371
5,0.0,0.0,0.29675463707940386,0.8527151066768331,0.48831917071653885,0.32755778289455517
6,0.0,0.07239601813407981,0.8441970544252434,0.4659328130170484,0.7863676286454988,0.43377870284437403
7,0.05572000524551758,0.05572000524551647,0.4928535749788018,0.8687698167939909,0.6933287394503153,0.43327842834282837
8,0.45092634686203503,0.44232429318607513,0.7657105521052063,0.42246302004435693,0.9174462575858817,0.5997740939567111
9,0.5915509477977287,0.8156629876738909,0.6289296022596117,0.7840426866062726,0.693155065966446,0.7026682580607899
10,0.6720910924419387,0.8515785585074711,0.8655635139867806,0.6124463137033083,0.3783403090593904,0.6760039575397778
11,0.4698426139504598,0.681845788364427,0.7215489269349212,0.4990758544882601,0.3627860964992061,0.5470198560474548
12,0.4925526651355674,0.6592076428649751,0.41376405787197446,0.7545198666255404,0.7803595159360127,0.620080749686814
13,0.3806428806890072,0.5282160102539513,0.38649866479166983,0.39741845382836966,0.9073588766072468,0.5200269772340489
14,0.6473395994632798,0.5815160463417018,0.6181475048357405,0.7873930146388562,0.717029285097898,0.6702850900754953
15,0.671589088758742,0.40357155130674305,0.705606477528589,0.5558889353872049,0.43854935682115276,0.5550410819604863
16,0.38724268283283403,0.5356565191662798,0.5155909841324284,0.05245031458863025,0.46783736414002464,0.3917555729720394
17,0.6625664566895103,0.4085013985593037,0.3877774448171589,0.5108209734095127,0.5078130204060488,0.49549585877630686
18,0.8549759782013128,0.5534998732014785,0.6893273894272686,0.47300296566598843,0.46899412074101393,0.6079600654474124
19,0.2578318133802134,0.365329651957923,0.4652419555319512,0.7932640810515253,0.36390959702852205,0.449115419790027
20,0.5322240893456079,0.533506207960593,0.31020221443396556,0.9081173520514714,0.49245138451411297,0.5553002496611501
21,0.4173955808382449,0.4873405242123239,0.5276503075084892,0.5866938082725224,0.33833399117143703,0.47148284240060345
22,0.7197755142694373,0.546327381551244,0.5576445557627291,0.5550904262487789,0.750730055099068,0.6259135865862514
23,0.49928831740548035,0.5209386532531818,0.622755372847458,0.5816119324042297,0.2812551257973492,0.5011698803415399
24,0.7559426455188525,0.10293224530053295,0.7591169237225565,0.38198004645371886,0.35060862954596017,0.4701160981083242
25,0.5194544792816113,0.4597575002426469,0.6874566390296954,0.7328796209131164,0.6552115017302783,0.6109519482394696
26,0.6474440901421094,0.31820594401395735,0.6368142600556341,0.8755441006509881,0.0300814399901031,0.5016179669705585
27,0.5296218909316353,0.5790656610860643,0.5728139240619251,0.2018374515188008,0.7121683784885411,0.5191014612173933
28,0.4569402706526184,0.6538013076951122,0.31574043631043935,0.685234629622239,0.4889662789454156,0.5201365846451649
29,0.8235206144731482,0.8235314655953655,0.8854242841615174,0.7270449486185432,0.5353223156265768,0.7589687256950302
30,0.09289865845588528,0.6172108202320197,0.7828257267409416,0.6892882902555075,0.5013775738169229,0.5367202139002554
31,0.4382155193273457,0.6830798232821176,0.19344066253835182,0.47920776850615904,0.805297784168731,0.5198483115645411
32,0.42459458549148404,0.5774959064144389,0.22617085563324646,0.18976547512993616,0.7570438817094919,0.4350141408757195
33,0.5288895497564232,0.7847718162128894,0.5294772407071303,0.32831135987544513,0.6852094705010167,0.571331887410581
34,0.38259621013224515,0.6118657384434328,0.588113773790305,0.5159204057357448,0.6491226364449852,0.5495237529093426
