Num,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],wL[6],wR[6],wL[7],wR[7],Sum_of_Width
11,0.0790700644063774,0.24082026408005447,0.0725887667655601,0.1831448915360623,0.035697610021557254,0.11228382869186651,0.04788862308483993,0.1673067031028032,0.01520137939449706,0.3147292418134258,0.059145768148198725,0.2789006203719138,0.04839251117704009,0.1584771104378561,0.008917168936252709,0.17743544803169428,1.2661962161313534
12,0.11172613249949295,0.21591491765936702,0.11618385378844812,0.19917672195790703,0.051639336504496654,0.25071374636534943,0.06477649418433319,0.15594232501345082,0.030981978965933882,0.1706930940215647,9.454229516933995e-7,0.1706930940215647,0.05155711766690144,0.18777681907175395,0.058091926894224016,0.16413149596226045,1.0300844281464363
13,0.13287474053013865,0.30742370710370726,0.08037945588829096,0.16501195112696615,0.05069532357514754,0.17083299714886632,0.04429158017671288,0.09300130325365832,0.03956921769575989,0.16842383586604676,0.05392243976382067,0.23692643111661074,0.035948293175880414,0.1484740980361918,0.03956921769575987,0.2326554078464418,1.0454994629969783
14,0.15007530307341987,0.23779114892019593,0.055889056283170556,0.20959323488439774,0.03045214617851049,0.23779114892019593,0.05616236274910957,0.13213278432360728,0.033300358660257726,0.23257146333327075,0.050025101024473294,0.1338052116362501,0.05496101763627054,0.1855275124868519,0.04455897084788058,0.15536317904213792,1.049151367093815
15,0.06334961790575024,0.3247896697272836,0.10483106831827514,0.1927862893276647,0.06334961790575029,0.15759275207139337,0.03614676977615194,0.20142473714653208,0.06258022423797006,0.22269471394739654,0.050475755766105065,0.1494809148859873,0.034943689439425066,0.15575761243132039,0.07153334387056628,0.10826322324242789,1.025579825560012
16,0.06986517581436641,0.2653125015194482,0.03951138106077429,0.3469592753439685,0.09072520601796188,0.18591157582945517,0.04973788297798106,0.2929842933257623,0.07460682446697164,0.1577538946687785,8.679269802665888e-7,0.16381277719953094,0.03777135600057326,0.08940606655294034,0.006617759629271754,0.1290231616652353,1.2623270922102388
17,0.1444247477589737,0.18202278736047225,0.04814794277310078,0.19846022567959298,0.05459924979427989,0.3086559415332215,0.03945422443506508,0.15769373420764835,0.05317329941425886,0.24976187430871816,0.04109588563699051,0.18202278736047223,0.051092167321650894,0.17203060700748715,0.03639949986285325,0.08096502554521412,1.0632259660056538
18,0.11731455195484657,0.24865466329396757,0.07551475122346153,0.1814982819079534,0.028476256376804374,0.27616255467165307,0.04516241911245937,0.15430453044179726,0.06774362866868908,0.1463919322426093,0.1099421803803465,0.18410836978110207,0.051434909969582276,0.12888797773543928,0.05551477438412466,0.1288882178551635,0.8977930558593711
19,0.10568310757596129,0.2724670213356525,0.058844911329503216,0.23630839223405103,0.09626950983322313,0.1614441701855734,0.05284140085874166,0.28700135248466385,0.05145360836668274,0.15535430721848004,0.035227600572494425,0.06090048238937111,0.039229940886335475,0.15778862901491383,0.0996677183342364,0.12951784738011626,0.9215644044856437
20,0.13796780755829893,0.24621516008102456,0.08179844819947858,0.17004908996445897,0.05984276081974364,0.21374771222814376,0.03470988547589338,0.24805676497581794,0.03989517387982915,0.15973975010720506,0.06898390377914941,0.17643684935852472,0.05984276081974372,0.16151088053865817,0.03470988547589345,0.10649316673813666,0.9644987479839396
21,0.11285573007075171,0.1963944840550609,0.058822438622379444,0.170060055098193,0.05882243862237941,0.26383619099540967,0.039583014972409604,0.3277827380025559,0.03958301497240965,0.19707201564549987,0.03958301497240965,0.11461262305120756,0.05013937020920944,0.13042583268902652,0.034865268969334395,0.16556176905176337,1.1314914171774335
22,0.08004136345184089,0.22948171541012832,0.040020681725920375,0.244120162882393,0.057942303603029016,0.22995473236821307,0.06025214066504289,0.18075614885240043,0.03170321912505998,0.21906604337977195,0.04160835375094739,0.18201237727208652,0.035240891931063854,0.15298781027341887,0.09037821099756431,0.12443384431111926,1.1256256694990627
23,0.10499246309141688,0.2588727054834671,0.07306552066670427,0.1726877524190925,0.07306552066670426,0.241787926291414,0.05361369837923263,0.17463753917600636,0.05440860031377774,0.2686094720959076,0.0477659767609872,0.09031237346568911,0.05669558958213106,0.14874471876602552,0.06471817637086674,0.11602196647057687,0.9433489083363583
24,0.1812472634515309,0.3119397114171506,0.03923081861454917,0.18109280180929832,0.10747249875245435,0.22186567787044245,0.035951714347882746,0.1800996468289031,0.040595166208873414,0.1989485222890764,0.0545236607035696,0.15558980882595175,0.018592824819536793,0.12060429832732086,0.03492131682368478,0.11732426890977479,0.9749294725558365
25,0.1442268019550008,0.223314915749762,0.1434700813206452,0.19795631775945222,0.048946419452163145,0.19944212004490983,0.062290868061795526,0.19423768081030682,0.024520470223169433,0.23828858513840404,0.024473209726081573,0.06773666871442453,0.0342329356296211,0.1638308588898791,0.03986634943125166,0.19316571709313324,0.9559457284005434
26,0.14427980316778613,0.30687620340489746,0.06173791341251555,0.24751119944929748,0.08469190019000518,0.22104184542257366,0.03345379773342357,0.18740685955690387,0.026931678869352858,0.16158982185411624,0.03606995079194656,0.14344065812475382,0.03314909843974476,0.16938380038001033,0.033149098439744756,0.10928637076292813,1.0930735179109619
27,0.086163810393727,0.19601555876971463,0.06350386012745782,0.2080757401827049,0.03408849933584689,0.16017595495212703,0.06350386012745782,0.3216922775325041,0.03945465685924468,0.15454851439778236,0.03523432714817303,0.1307555663676697,0.05152979045747615,0.24272397219724132,0.04308190519686353,0.16945170595400916,1.1668785807075062
28,0.0954582088761404,0.21471241009593323,0.04396583834916891,0.23756417816439548,0.04411589089531594,0.36003305974640054,0.013054956815505994,0.19353211626023756,0.03242215251613852,0.16949801714551616,0.06357598973464623,0.16949801714551616,0.03181940295871348,0.11015769637687862,0.043947336901825985,0.17664472801766662,1.263280445905089
29,0.08176919796939439,0.2311720044299987,0.05975668417737791,0.23902628853505256,0.08769971958564947,0.26005730197996,0.08769971958564947,0.18712701305287754,0.06297984056953297,0.18153911718311672,0.0428026788173604,0.13737926178040086,0.03008810160171849,0.15632180618264255,0.05188698037989013,0.10269428416937777,0.9906341546268537
30,0.08971105539410622,0.23276494026607109,0.0590386020756001,0.31469839226450724,0.07987986796687285,0.2005980345833854,0.05064894142641749,0.2338603648518293,0.05064894142641742,0.21021728021637393,0.031485486426093987,0.12022090204996697,0.030693564202913876,0.1300463351529581,0.025846296673826163,0.13964099502266028,1.1640944888155043
31,0.05996806256437183,0.15686030853046348,0.09282832271208893,0.27342197363531523,0.052221170145704675,0.14615620094441897,0.031828457680816276,0.23268702332912375,0.03481411343046977,0.23691778813338177,0.059968062564371837,0.22102772610081176,0.02788856964111996,0.1606736064498992,0.018492353401841282,0.19424626073580137,1.243981775718431
32,0.12083863866142643,0.20995426031989747,0.06254313068578092,0.18135084263690154,0.06041931933071323,0.2099538547601364,0.0906190225997144,0.2759021550817419,9.30130407306494e-7,0.1872240201369861,0.043285839849375986,0.16114141202496318,0.03310777025825585,0.18047940968409418,0.041798108390419086,0.14138128544918607,1.0947744801878136
33,0.18818217325995454,0.2220135250582597,0.06126681627504691,0.1675543567355296,0.08161527805504445,0.1972167761322616,0.06126681627504686,0.14171672061397694,0.06272739108665151,0.18818179689617254,0.0816152780550444,0.21741173155081145,0.055155929589274684,0.128467221786153,0.033545013431330414,0.11206317519944159,0.7492506079452128
34,0.08848105077265019,0.18809815113274547,0.11922152556741941,0.24093428611023623,0.07752806077955358,0.2300767495184575,0.04586083555359954,0.20794311309544733,0.03876403038977679,0.11797440993366298,0.05961076278370972,0.19721853565008163,0.02903238407821872,0.17626747328572348,0.04435988928508587,0.1386287420636315,0.9942829215799724
