Num,F_1,F_2,F_3,F_4,F_5,F_6,Average
1,0.8512997268754788,0.7989594432281409,0.39456202139589985,0.744356473344713,0.4926296799001485,0.8054682500638303,0.6812125991347019
2,0.1890368829340295,0.8527284129461231,0.5353651778059277,0.5255000103937592,0.420399982457064,0.9211707742286601,0.5740335401275939
3,0.8242518679935014,0.8570174154853843,0.8655386998699769,0.6546449438664989,0.921660053363351,0.9616439044612654,0.8474594808399963
4,0.7111088375250733,0.8582845701654123,0.5980674565943874,0.573305509674058,0.8676526735760296,0.7890142055657536,0.7329055421834525
5,0.6638958929066356,0.8931243221780347,0.5177307450022335,0.48949304560839385,0.5343306392438409,0.878934418318243,0.6629181772095637
6,0.8166119896890026,0.9039757049889221,0.7755526122816545,0.6032650312991866,0.9182916878876983,0.9073803819027406,0.8208462346748675
7,0.7190366929153584,0.6894805480414473,0.8051752482938205,0.7241476120251674,0.5292461312331216,0.7257923683104686,0.698813100136564
8,0.8532433039397954,0.6390920141014589,0.6853998380562499,0.5298025125341366,0.8310454622156692,0.7796900416459226,0.7197121954155388
9,0.9299374535903163,0.8587201071668691,0.7560713362950694,0.4756466342435442,0.9125879012953948,0.8764578548525824,0.8015702145739628
10,0.7010019283820342,0.5895319412988593,0.8322902503986582,0.6979161198995286,0.7727898302863868,0.8516321902073745,0.7408603767454736
11,0.5361931276009969,0.6490215320175431,0.3648605596750916,0.8624631632744747,0.8915958387970049,0.6940248086547941,0.6663598383366508
12,0.6479955573274803,0.8133560318987997,0.47128280914887133,0.6072563862186885,0.6256906581919791,0.82376492015012,0.6648910604893232
13,0.45871276828030955,0.8012274563387968,0.6714990815825033,0.07637616506920192,0.7938253733824697,0.83923598636165,0.6068128051691553
14,0.6317121016671338,0.5297961885264204,0.9498013068848539,0.15434789407175037,0.8006552668002137,0.9068124710467727,0.6621875381661908
15,0.9425441587605604,0.7692340302346203,0.5064481510891045,0.40261535800548165,0.6343421202563341,0.7655307403226408,0.6701190931114569
16,0.5023893748884983,0.7756354182721796,0.3784905671649385,0.6502969615724588,0.65934235630658,0.8179141225766692,0.6306781334635541
17,0.6628106105544797,0.895761288395427,0.5243000293866517,0.9487333629009334,0.8561503391360016,0.9261717079904573,0.8023212230606585
18,0.8550983453364516,0.7024823952914595,0.5283115977205256,0.7811074781408469,0.814765283586795,0.7138620787017399,0.7326045297963031
