Num,Q_1,Q_2,Q_3,Q_4,Q_5,Q_6,Q_7,Q_8,Average
1,0.25216389808206674,0.0,0.1504213957776944,0.9210103957140997,0.7799080896007645,0.9791169031554114,0.9911349416195395,0.11462609480483897,0.5235477148443018
2,1.0,1.0,0.6921633151044487,0.3203409614169341,0.6509001162469755,0.5236504768842888,0.5723346473313262,0.8191946389762734,0.6973230194950307
3,0.8948174997212566,0.5478942225837643,1.0,0.9239498697391298,0.7000370908666878,0.8636195041515056,0.14216372637317087,0.31394455787993225,0.6733033089144309
4,0.38074022831906623,0.984882312548918,1.0,1.0,1.0,1.0,0.6018483060700225,0.36229964427164124,0.791221311401206
5,1.0,1.0,0.8856370384409498,0.8452050537279273,1.0,0.8121927477177954,0.5200637076024288,0.49092441983397433,0.8192528709153846
6,0.7599461623765564,0.7442321630916136,0.9472786757117119,0.8079109621564918,0.5048356066414695,0.7082158962144277,1.0,0.21651830128966804,0.7111172209352423
7,0.9377080505382644,0.6924519713974613,0.5801921218324638,0.6444106942646773,0.8406494708197709,0.5663131260188891,0.38007476333529777,0.9961588728933061,0.7047448838875163
8,0.07579125309909267,0.08025683413668114,0.2025672375159188,1.0,0.8586855215282109,1.0,1.0,0.24709256031634422,0.5580491758245308
9,0.359086882269979,0.5458270657435214,0.8462430736924644,1.0,0.6511876333052676,0.49304471883935963,0.7845003328535279,0.5864088032748004,0.658287313747365
10,7.765144249364624e-6,0.21646048800724701,1.0,0.9924948799045659,1.0,0.5528019208871038,0.8490985022460807,0.43096552998445886,0.6302286357717132
11,1.0,0.030118107888127018,1.0,0.4968006113246407,1.0,0.4830952617106224,0.36451991796354,0.8137918021260359,0.6485407126266207
12,0.6554035366631128,0.1050411548093996,1.0,1.0,0.6025611560920476,0.6909120770588898,0.9898241251340527,0.18247851039364626,0.6532775700188936
13,0.6628003104193463,0.7292622421472243,0.17439553812117864,1.0,0.8439866236031623,0.6635377546849781,0.10971197460942228,0.5795459385502616,0.5954050477669468
14,0.3758118651098291,1.0,1.0,0.45435778606919486,0.6875647073410293,0.8692887693904412,0.4924416466782899,0.7039781250448911,0.6979303624542095
15,0.09691225624071145,1.0,1.0,1.0,0.7640964592168742,0.13774512913597434,0.5056566004142904,0.7865585424169358,0.6613711234280982
16,0.3071683093944113,0.20344903212267657,0.8475938292612835,1.0,0.5668648992491898,0.49422069717071043,0.12478677175076514,0.7990402990873472,0.5428904797545481
17,0.3041480300238061,0.7341680737987011,0.8922067440572246,0.9580943278033466,1.0,0.7927977229813198,0.5876814574509961,0.376372846333649,0.7056836503061304
18,1.0,0.6453224741858912,0.5921965407609997,0.6205419813753733,0.6794957009262123,0.761366200085142,0.9323113958440803,0.9671684934053071,0.7748003483228757
19,0.8053199850711068,1.0,0.9711638254035367,0.43628416454459323,1.0,0.8914833012052573,0.41036375407429854,0.5910182079725885,0.7632041547839226
20,4.7431133391266185e-6,1.0,0.9412585299126166,0.7459651404398018,1.0,0.40560897269488183,0.29702252125993894,0.3966956066531826,0.5983194392592202
21,0.0,0.3650045468378331,0.76602600926208,1.0,0.28830326927149164,0.9823744841592909,1.0,0.512715786286265,0.61430301197712
22,1.1338130595043665e-5,6.982807890639923e-6,0.4918082636660719,1.0,0.7913806115772701,0.6739835382042527,0.7096817932490672,0.3730175982102933,0.5049862657306802
23,0.7650366037016132,1.0,0.9104890822791621,0.12711376530613885,0.9857959881654584,0.6967043430803749,0.7636448355300627,0.805949613839588,0.7568417789877998
24,0.9775692012337227,0.2742514644418885,1.0,0.22474492802398566,1.0,0.8606306357120346,0.48481119078856577,0.49162541039385427,0.6642041038242564
25,0.186169507757455,1.0,0.0,0.5056344914237824,1.0,0.8983185947235359,0.1751770887454344,0.3569229862955438,0.5152778336182189
26,1.0,0.4660704006985218,0.1429359024150135,0.7525729447702586,0.39625983597123077,0.9492556002885372,1.0,0.37707091056995845,0.63552069933919
27,0.7260649655496633,0.3479474863263971,1.0,0.7681954219154867,1.0,1.0,0.24892194009622676,0.31944018560287596,0.6763212499363312
28,0.29133925461299015,0.9530103061814955,0.3412937947656372,1.0,0.872593668397675,0.49383089704567035,0.3298598058604702,0.8570811458733731,0.6423761090921639
29,0.7999991191224576,0.5552151904973156,0.9365175368252933,1.0,1.0,0.8610200359765778,0.9806036312705029,0.5665980914882727,0.8374942006475525
30,0.26176853823810337,0.7790464702605866,0.3630475547528019,0.4612477974797849,1.0,0.4387933738607316,0.9889959111790916,0.2989044920920331,0.5739755172328916
31,0.16727141603945322,1.0,0.9672162623933405,0.3714769522061357,0.9394141687136806,0.48581461880250626,0.6995116953211729,0.5052528183824583,0.6419947414823434
32,1.0,1.0,0.8377112309682655,0.818359115121701,0.5912866863520381,0.5271191047503521,0.6786969154895284,0.6804094738802743,0.76669781582027
33,0.16954183884467974,0.9001858727003355,0.7097286969686837,0.9554837437468344,0.989397658438363,0.2830938859297966,0.39833376008238686,0.954413416570183,0.670022359160158
34,1.0,0.0,0.6352419946157856,1.0,1.0,0.8255252227522755,0.6447144564473376,0.33358765461163675,0.6798836660533794
35,0.6706159044922958,0.4911277673250959,0.8067361470036024,1.0,1.0,0.7713003663232906,0.2984633316270462,0.10138370784205636,0.6424534030766734
36,0.8079863963981624,0.590258313782256,1.0,1.0,0.6489750974239874,0.9809486835388163,1.0,0.34025292366819737,0.7960526768514274
37,1.0,1.0,0.46790477817148696,0.29550423923431773,0.7888584486185268,0.8447992823713631,0.562081508636922,0.3124264626593337,0.6589468399614937
38,0.5564949209057526,0.6916730960983847,1.0,0.8239878124459196,0.8439401442598332,0.6857156654258996,0.442474195149338,0.8578750687260281,0.7377701128763946
39,0.30136846277331414,1.0,0.3519603655531865,0.8436665166929329,1.0,0.9364628823383394,0.8741941904540236,0.3677131909461795,0.7094207010947471
40,1.0,0.06493267059467908,1.0,0.3616149913331247,1.0,0.5210412198222268,1.0,0.305063588944921,0.656581558836869
41,0.0,0.29222226048009103,0.15766470613440295,0.7923953811333384,0.6857080710407187,0.980307610653507,1.0,0.6983818038604054,0.575834979162808
42,1.0,0.3943664374088774,0.9876115245437853,0.780353129839146,0.0584811839717872,0.6088652109727343,0.7492457116762967,0.7563866258042243,0.6669137280271064
43,0.12626201901161926,1.0,0.985453042448089,0.4103651561151589,0.9377005418983586,0.05764640366866549,0.30656014752707944,0.9865112049671957,0.6013123144545208
44,0.0,0.6755239774979482,1.0,0.2743152115796896,0.677135188713841,0.9241228027530066,0.7813628792410209,0.3385386528831357,0.5838748390835803
45,0.8747013603863952,0.5514145908132982,1.0,0.7417187885901859,1.0,0.5651044311322191,0.9363363335069904,0.5941174414801088,0.7829241182386497
46,0.7290985601973874,0.08601501386951309,0.5781948298519601,0.838113320805886,1.0,0.40518341934063873,0.7008379317596373,0.2464653506647181,0.5729885533112176
47,0.6971774979686587,0.9904549679990444,0.6275862948310671,0.9565825789954319,0.21830643522186943,0.7376528535053511,0.6305679353338908,0.30689681725078566,0.6456531726382624
48,0.99518456403884,1.0,0.0,0.4440994445575185,0.29263294423392744,0.6844447832515416,1.0,0.5396150436491622,0.6194970974663736
49,0.4708886011395158,1.0,0.8551829515709415,0.9470603053121298,0.8064051267101021,0.8606176444639246,1.0,0.4061204444389269,0.7932843842044426
50,0.9217364445465388,0.9269692479949969,1.0,0.6175365636895124,0.4774626227918366,0.6124140291690139,0.6046948294256125,0.987680185778519,0.7685617404245038
51,0.7157244389536105,0.4684373939242212,0.7013930082563302,1.0,0.5313162201669726,0.9821302457505517,0.9486615714576523,0.509603932966709,0.732158351434506
52,0.960824016145206,1.0,0.7195567188321509,0.6666443201921158,0.6005597188572195,0.8863395006499138,0.7695879919273968,0.8880387052104857,0.811443871476811
53,1.0,1.0,1.0,0.7624693253330808,0.6680746604553162,0.8084891690588719,0.8113716673687609,0.6095708163472426,0.832496954820409
