Num,R_1,R_2,R_3,R_4,R_5,R_6,R_7,Average
1,0.5372304810149424,1.0,1.0,1.0,0.926458361003375,1.0,0.9861452892943897,0.9214048759018153
2,0.5401236176236975,0.7537933684238056,0.6064733450769376,0.6099775537835198,1.0,0.7109638712029329,0.9756870408949638,0.7424312567151224
3,1.0,0.6845137014893051,1.0,0.9251520889639223,0.5992849791660386,0.8713233046452109,0.6585691482190081,0.8198347460690693
4,0.4325544793478299,0.7442547166549597,0.8650865068730449,0.5675284928416345,0.6867468179968608,0.7457823791762469,0.79362516497486,0.6907969368379195
5,0.49316193799381297,0.9120369122284246,0.5043778991287959,1.0,0.846162308578619,0.915036204790654,0.6608663970329921,0.7616630942504712
6,0.538479745668564,0.9049165984704758,1.0,1.0,0.8525711774931343,0.4102113207783586,0.8187009355761242,0.7892685397123795
7,0.62596373434228,0.5197776013109893,0.6017886375292022,0.834021257337449,0.7451710705707447,0.534820826230515,1.0,0.6945061610458829
8,0.4996708369520039,0.7715513975296021,0.5289828850166378,0.601558171422849,0.8886919563121277,0.9637798931984844,0.5765779893456728,0.6901161613967682
9,0.45918331916707755,0.5499376928950184,0.6314571552789681,0.49340335346060604,0.9426646310475635,0.7595669789018853,0.8775164467520763,0.6733899396433136
10,0.4123773862750685,1.0,0.7596462813993838,0.9392644351531197,0.7873931179826076,0.665351514698111,0.9152715198252909,0.7827577507619402
11,0.519267618535771,0.9571777688941769,0.4909386471226895,0.5716505462827185,0.811438044675823,0.8379272360231196,0.5244821383362047,0.6732688571243576
12,1.0,0.5066805268949407,0.8543695589756464,0.8965581756764873,0.5061841864291279,0.9154580052727035,0.7188994602443399,0.771164273356178
13,0.5426526431227765,0.7315891517619844,1.0,0.7895695921350528,0.8211434063763321,1.0,0.44870760934269,0.7619517718198336
14,1.0,0.6701727871619279,0.6823453528092143,0.8738382962881154,0.9032953084209023,0.8616586502249097,0.6898245896775784,0.8115907120832355
15,0.39861904631491735,0.45286248575237786,0.7459422420601411,0.5322997575469199,1.0,0.9473957425848114,1.0,0.7253027534655955
16,0.24280646752385066,0.5805208916199661,0.6392237727483603,0.9297491894003082,0.3893570242061445,0.3658591583655109,0.5182083735087317,0.5236749824818389
17,0.4885914480611164,0.3666934100888422,0.42801298773834684,0.6535984513251453,0.5790570450004049,0.6922578229934496,0.4931382186779525,0.528764197697894
18,0.7614599396247737,0.8442858039328851,1.0,1.0,1.0,0.5991115826448467,0.8451047697075735,0.8642802994157256
19,0.5407227255414749,0.6843655547161007,0.809149481615374,0.5497275469307512,0.8434761596616914,0.524801162905907,1.0,0.7074632330530427
20,0.368721596590706,1.0,0.5221351625466576,0.9096668137428584,0.46682343390164144,0.9214469055378683,0.5726209911267232,0.6802021290637794
21,0.438410201886252,0.7086320980656423,0.5082831102258248,0.491312660783777,0.8929971890713784,1.0,0.740197391512695,0.6828332359350815
22,0.29002964927974767,0.5800478080605206,0.8283433911736313,0.3545614608029636,0.34933380520609153,0.5027954193860771,0.6558376767245537,0.5087070300905123
23,0.7488831289369849,0.768399288315264,1.0,0.7444341081604716,0.7347453187733862,0.754922988214898,0.6598837915840804,0.7730383748550123
24,0.5397556218117193,0.6027617280013068,0.515524618571355,0.7236839651686532,0.9107715193026534,0.5633998011844102,0.5000905748737647,0.6222839755591233
25,0.7086437294905146,0.6384981025356177,0.5414285144929691,0.5157249603220642,0.6795098040844283,1.0,0.6245082741256962,0.67261619786447
26,0.6719811191694837,0.7423088239842961,0.737597492591434,0.8360969282271432,0.6342991218366054,0.6361579199809249,1.0,0.7512059151128411
27,0.555253357458913,1.0,0.728811569215846,1.0,0.7840279250326739,1.0,0.9011324095187724,0.8527464658894578
