Num,R_1,R_2,R_3,R_4,R_5,R_6,Average
1,0.8264877716658726,0.5233775366410748,0.40023765674323236,0.5857868504975219,0.7975016749785203,1.0,0.6888985817543704
2,0.37899718739246596,0.8843902534309058,0.6333668258292459,0.2594390864532061,0.2594390864532061,1.0,0.5692720732598383
3,0.7718578380116685,0.938343401478672,0.6584764281058453,0.4801229216156264,1.0,1.0,0.808133431535302
4,0.7923789732425559,0.4554914160668582,0.452612705958225,0.6213278251722503,0.7508421603290147,1.0,0.678775513461484
5,0.6917590948673422,0.9495380560708426,0.4402174534134957,0.49415005635392606,0.5807333867438241,1.0,0.6927330079082384
6,0.8069512550317053,0.9096566115536131,0.5631786231048299,0.6102480565073438,0.8392845280944121,1.0,0.7882198457153174
7,0.7289661386450771,1.0,0.7036228234355273,0.4747218513217431,0.6529166014058522,0.8845180760967143,0.7407909151508191
8,1.0,0.5669601338450213,0.5927363286580224,0.6199600539830333,0.8731277004690681,1.0,0.7754640361591908
9,1.0,0.777785267953547,0.6702988529968058,0.5039345732057003,1.0,1.0,0.8253364490260089
10,1.0,1.0,0.6812697850611624,0.6190781725633192,0.9313298892653319,0.9445866813142171,0.8627107547006716
11,1.0,0.6947051724266078,0.2925373378773211,0.6170985968725113,0.8727299660455324,1.0,0.7461785122036622
12,1.0,1.0,0.5120187240283494,0.4784719680795898,0.7835019428107692,0.9766431909252058,0.7917726376406523
13,1.0,1.0,0.5183856439626686,0.05577704846985954,0.8343636425463763,1.0,0.7347543891631507
14,0.6225860441169052,0.9040404896137667,0.8261796538012083,0.0,0.9652823858447258,1.0,0.719681428896101
15,1.0,1.0,0.547925777104992,0.29588248103168185,0.7531997690609467,0.8612618102473869,0.7430449729075014
16,1.0,0.7813976406560662,0.15066734086008088,0.63797453083736,1.0,1.0,0.7616732520589178
17,1.0,0.8537333253108236,0.5644094361251155,0.7696822068708997,0.980021481550774,1.0,0.8613077416429356
18,0.8165564853786926,0.8790130961503012,0.5953759270498883,0.6120905096543147,0.7882845156959548,1.0,0.7818867556548584
19,0.8824476962836827,0.7097731642759474,0.6015850775723022,0.8061314168479682,1.0,1.0,0.8333228924966501
20,1.0,0.2644464446933557,0.5467285201383825,0.653800306086551,0.8305461434274566,1.0,0.715920235724291
21,0.954087180871354,0.9103671460875697,0.9512679339938453,0.5520659889170214,1.0,1.0,0.8946313749782985
22,1.0,1.0,0.7238413887272561,0.48804515815185623,1.0,1.0,0.8686477578131854
23,0.9888212919217053,0.7181866912993107,0.4618230780399808,0.5312040126472356,0.7945832197205666,1.0,0.7491030489381331
24,0.9881075994691458,0.037876242314127784,0.6776665414233825,0.6694808838925542,0.8220511582491408,1.0,0.6991970708913918
25,0.7136643322138921,1.0,0.40018599566662555,0.7651167532826652,1.0,1.0,0.8131611801938637
26,1.0,0.7299063794304019,0.5792904505009117,0.5998984456872727,0.6005843262748728,1.0,0.7516132669822433
27,0.8978727485088827,0.7755852082603194,0.4686471020248634,0.9738175048756917,0.92761806217958,1.0,0.8405901043082228
28,1.0,0.7948936814469427,0.650532914696675,0.0,0.8217042451937073,1.0,0.7111884735562208
29,0.0,0.7921254818059847,0.49510216559838743,0.5437464161446887,1.0,1.0,0.6384956772581768
30,0.7571348157592581,0.7563702897369633,0.6340724329613433,0.7040199426851614,0.6444577642468632,1.0,0.7493425408982649
31,0.8710289972477071,0.46825249314253853,0.39814075212639183,0.5186145413367906,0.9368094348402971,1.0,0.6988077031156209
32,1.0,0.9240032446119039,0.6445283714581798,0.6679280652209163,0.6936238158694069,1.0,0.8216805828600678
33,0.9226645859061581,0.6868606238775303,0.10967466130524123,0.7841338261702037,0.8330570685550923,1.0,0.722731794302371
34,1.0,0.5002642614286782,0.502019933271658,0.5143298361377515,0.6922620751545941,0.9308893560121148,0.6899609103341328
35,0.8752152038100179,1.0,0.912163972211433,0.8940884917865617,0.7909877305963354,1.0,0.9120758997340581
36,0.8310609940457274,0.9374226236149834,0.6950710819117553,0.3030191278333583,0.9309065942941314,1.0,0.7829134036166593
37,1.0,0.8515913222777861,0.5381352079104704,0.7462107225205328,0.9860096910504356,0.9984525542546518,0.853399916335646
38,0.860554759481037,0.500717407780991,0.7843480253848867,0.6086951116550856,0.5903920006523891,1.0,0.7241178841590649
