Num,R_1,R_2,R_3,R_4,R_5,R_6,R_7,Average
1,0.5180924657350537,0.4677589350267368,0.35276730188138566,0.23270594597684024,0.4012597817246588,0.44832416121734203,0.5627345493270458,0.42623473441272336
2,0.4559344439811311,0.45731084174097364,0.36584951767109636,0.20982431262841253,0.3170694585953467,0.43006828188397633,0.5455471796485398,0.39737200516421084
3,0.4888108951919409,0.4257505808742453,0.44061217990166235,0.2516185229697085,0.3309812543627716,0.38838001427306335,0.45837513072304586,0.3977897968994912
4,0.5112503790420888,0.46944864406238407,0.34297773358424855,0.2534218946513007,0.3681950475867351,0.37714393340966945,0.49251662903994853,0.40213632305376784
5,0.5626356967705374,0.44736056659924855,0.35698118097458376,0.2259671644557463,0.34470661328040303,0.3845004731454439,0.5539274294665318,0.4108684463846421
6,0.6291470553294662,0.4649312022333041,0.3747731234687472,0.35135283899773334,0.3569271118418988,0.468468156439883,0.6023168938170752,0.4639880545897297
7,0.5398590387556469,0.4262889338298598,0.3872848920517306,0.21453395486759022,0.31365332586594413,0.4500047868346228,0.4896040464470633,0.4030327112360654
8,0.42903922359702296,0.4321846034430178,0.3870948034083718,0.1915346640734813,0.35496635206888305,0.42441114915798567,0.47194570497680516,0.38445378581793827
9,0.5061353708618522,0.4944733043138744,0.3070977815630375,0.27277819767280415,0.3042953825926884,0.38803735722803206,0.5384199803929977,0.4016053392321838
10,0.5748907147366437,0.4251377097702641,0.3566327753948064,0.23877333899683467,0.32237313872163326,0.4914849932906396,0.705034891081173,0.4449039374274278
11,0.5908985606275177,0.43337511738539797,0.3621088826580633,0.3104405264648275,0.297170980751971,0.398727643868575,0.5432679887057746,0.4194271000660182
12,0.47425164957204546,0.5242262908885318,0.36376787937525407,0.21677061478299633,0.33659397176210876,0.4760148843291276,0.5085158449322444,0.4143058765203298
13,0.47452525735520684,0.4452204494152368,0.3275620673014889,0.27600640516890595,0.33547873417863283,0.4058161385229857,0.5091054358660806,0.39624492682979107
14,0.476643677246287,0.3790386904244209,0.30323095233953673,0.26657723671823386,0.36113025990199593,0.4639037198487322,0.5566844638184774,0.4010298571853834
15,0.5398520968133897,0.4796288031969833,0.3457671657471298,0.25425363242518473,0.3508928034124086,0.4966369468907434,0.5509096850064447,0.4311344476417549
16,0.5641791913635356,0.45364514413280066,0.38862556980349566,0.25496219514092533,0.3308354672701752,0.40240109565752463,0.559127524485765,0.42196802683631746
17,0.4050957567212068,0.470673449661504,0.36399874755650113,0.1875434406360188,0.3944571573738055,0.49644488611206405,0.5249980995062116,0.40617307679533027
18,0.5508681634888731,0.41743467145973306,0.38348973872677866,0.2404459504069757,0.32975167925594817,0.42289458900817783,0.5059070645801075,0.407255979560942
19,0.56808054186864,0.4845437350162162,0.3350588123252275,0.22930869848883867,0.33936270792140366,0.4090791085977098,0.5668600850170328,0.4188990984621527
20,0.5468195298128222,0.5272956663475384,0.36090610281304625,0.22369839868391436,0.339692265192474,0.48934240330998974,0.4559316845286249,0.42052657866977283
21,0.4343873080891761,0.47575503729210844,0.42881295916535694,0.26358519862613095,0.3469104271645509,0.4376315562124852,0.5265326737049822,0.41623073717925585
22,0.5490629816044642,0.45755248467038684,0.47535293539726714,0.27453149080223216,0.49316772723351965,0.5316504787046816,0.7758496356115457,0.5081668191462996
23,0.516149508301494,0.4240227155261142,0.3895278425005817,0.2839444563816151,0.3109353247524187,0.3503462003668066,0.5074723845695233,0.3974854903426505
24,0.5377445192813198,0.4893093885613703,0.39144751084909524,0.2610189737726459,0.41219517879413753,0.5152242833133235,0.562398008419385,0.45276255185589676
25,0.5753746223473671,0.4704550159971575,0.3961083139462783,0.24194634917243812,0.36959795685514263,0.5004664144414888,0.49503290180329984,0.43556879636616735
26,0.652831262516451,0.42989141628109195,0.316460746392213,0.22856664765442267,0.40861325314487584,0.4872557992079937,0.5315500297635977,0.4364527364229494
27,0.4441239754574927,0.4957552420799309,0.3310876590486147,0.26294008143314435,0.3135196233125348,0.4460585246233766,0.5334187633251396,0.40384340989717626
