Num,R_1,R_2,R_3,R_4,Average
1,0.8989362321907989,0.10106376780920184,0.7897218602598769,1.0,0.6974304650649694
2,0.36963935571536544,0.31854763104214834,0.6288469411909849,0.6016539484691027,0.47967196910440035
3,0.39603920323005826,0.4247016185720528,1.0,0.7974481456538481,0.6545472418639898
4,0.2246517304887444,0.4730272820411301,0.7964066607420068,0.5183065491224158,0.5030980555985743
5,0.3995565521183494,0.7087607440031777,0.680604634127082,1.0,0.6972304825621523
6,0.3016466866109527,0.439430872902933,0.6723518946652893,0.8333929257177107,0.5617055949742215
7,0.22953104509417663,0.581148831824802,1.0,0.9974211741554673,0.7020252627686114
8,0.0,0.4962817377305779,0.8579667827807408,1.0,0.5885621301278297
9,0.23623487573527685,0.26807516134226245,0.41333826034067744,0.3079431277325263,0.3063978562876858
10,0.6560663123191066,0.42144563363233456,0.8760010643360232,0.9155384208562586,0.7172628577859307
11,0.4047474451309742,0.49327966896757375,0.23819408155369529,0.7499662981383742,0.47154687344765434
12,0.3878235095768316,0.26091370975074857,0.8716366649249279,1.0,0.630093471063127
13,0.6038070808555663,0.7222777639639263,0.0,0.8877682252406107,0.5534632675150258
14,0.16440616938969374,0.8355938306103062,0.4840115593279462,0.9443667853292487,0.6070945861642987
15,0.3472005550207582,1.0,0.5953195216882009,1.0,0.7356300191772398
16,0.2559745042137741,0.37578942581710184,0.7372922049942175,0.5881811213047348,0.48930931408245704
17,0.4047474451309742,0.49327966896757375,0.23819408155369529,0.7499662981383742,0.47154687344765434
18,0.3732422112410353,0.5330367393679136,0.8953698892300591,1.0,0.7004122099597521
19,0.25843408964495607,0.45975966271681157,0.7358178334823372,0.661033736581273,0.5287613306063444
20,0.3052142377989019,0.37140945634282857,0.5324513883037566,0.9162458771874431,0.5313302399082326
21,0.3845654610676689,0.5848075788373635,0.8633796451584349,0.9335398684250318,0.6915731383721249
22,0.6560663123191066,0.42144563363233456,0.8760010643360232,0.9155384208562586,0.7172628577859307
23,0.28567184990736344,0.4754933251351324,0.7634539802881068,0.5427167900270133,0.516833986339404
24,0.7350611867440446,0.5073816870674827,0.588773355402389,0.8259105421529433,0.6642816928417149
25,0.4809488849561205,1.0,0.6412071968096313,0.7261163796735949,0.7120681153598367
26,0.34928324144931167,0.4863236804069808,0.6314093262044486,0.5647772850237316,0.5079483832711181
27,0.3732422112410353,0.5330367393679136,0.8953698892300591,1.0,0.7004122099597521
28,0.0,0.613311389254457,0.8348111894093492,0.9247241595584413,0.593211684555562
29,1.0,0.0,1.0,1.0,0.75
30,0.569018886280627,0.45739745817462596,0.9908247438825273,0.7074343767393265,0.6811688662692766
31,0.0,0.8355938306103018,0.0,0.9443667853292483,0.4449901539848875
32,0.36477357164390944,0.44232740867686376,0.72945225323998,1.0,0.6341383083901883
33,0.3732422112410353,0.5330367393679136,0.8953698892300591,1.0,0.7004122099597521
34,0.0,1.0,0.0,1.0,0.5
35,0.42744024669429864,0.3469011461199429,0.6595927714915759,0.79481849742273,0.5571881654321369
36,0.4975931681707422,0.5024068318292596,0.5517170292281677,0.7979014164055974,0.5874046114084417
37,0.47170719517272025,0.3510285438018393,0.6675039094310207,0.7437915653167371,0.5585078034305793
38,0.23855610103873437,0.2553839360891777,0.6429792026593216,0.949780850809886,0.5216750226492799
39,0.3995565521183494,0.7087607440031777,0.680604634127082,1.0,0.6972304825621523
40,0.0,0.6416116169197356,0.3380879349057134,1.0,0.49492488795636225
41,0.759831358815849,0.3172348239957622,0.4546042563554999,1.0,0.6329176097917777
42,0.3732422112410353,0.5330367393679136,0.8953698892300591,1.0,0.7004122099597521
43,1.0,0.0,0.5379601491445414,1.0,0.6344900372861353
44,0.5666843990077522,0.0,0.4243790830829696,1.0,0.49776587052268045
45,0.7584744106352483,0.6041245095814921,0.7030908784615102,1.0,0.7664224496695626
46,0.24449832917078643,0.31783218681177317,0.492797193917826,0.6910856388795477,0.4365533371949833
47,0.41519242116263677,0.359601594430732,0.8633796451584344,0.9335398684250318,0.6429283822942087
48,0.2560566252707214,0.4937539278963674,1.0,0.5528989933363923,0.5756773866258703
49,0.7648869925982231,0.0,1.0,0.8575910670636513,0.6556195149154687
50,0.3845654610676689,0.5848075788373635,0.8633796451584349,0.9335398684250318,0.6915731383721249
51,0.682765176004239,0.06266861777293076,0.4546042563554999,1.0,0.5500095125331674
52,0.36223118009462213,0.4732415617933618,0.7613004762176914,0.9917746295317157,0.6471369619093478
53,0.1644061693897023,1.0,0.0,0.944366785329249,0.5271932386797378
54,0.3732422112410353,0.5330367393679136,0.8953698892300591,1.0,0.7004122099597521
55,0.5292917654089188,0.0,0.8106430284138801,1.0,0.5849836984556998
56,1.0,0.0,1.0,1.0,0.75
57,0.34571856378884025,0.0,0.8778494891941492,0.8554433533571627,0.519752851585038
58,0.34571856378884025,0.0,0.8778494891941492,0.8554433533571627,0.519752851585038
59,0.9463021781272584,0.33909328397397637,0.9652522248801126,0.7569964005080262,0.7519110218723434
60,0.3160842252242506,0.3439336876808951,0.8760010643360234,0.9155384208562581,0.6128893495243568
