Num,R_1,R_2,R_3,R_4,R_5,Average
1,0.2177397488945839,0.4522027126446879,0.5132437415283806,0.40198858145760913,0.638720807805772,0.44477911846620677
2,0.22876912860080736,0.27063763812106245,0.4383289856499933,0.33293603684260403,0.467912270478334,0.3477168119385602
3,0.2536251600052974,0.30146215693320433,0.3179963495272915,0.35170156627202936,0.7385969418938783,0.3926764349263402
4,0.31480971246145056,0.3440467164767075,0.3539447316936422,0.42049272842177676,0.6371181329921338,0.4140824044091421
5,0.2825476822320845,0.339589077945146,0.4534056145730587,0.6601676070122843,0.8162822640435206,0.5103984491612188
6,0.22575316469659187,0.3414294867561414,0.2945250464972418,0.4312472305384769,0.3893660539987351,0.3364641964974374
7,0.23726111318949303,0.316348150919324,0.5605162619545959,0.47450937950498584,0.5296519290849759,0.42365736693067496
8,0.17894815404241946,0.25665359829286627,0.3778105973056832,0.46396438770004295,0.476182875889538,0.35071192264611
9,0.30524073431142884,0.34995441686477613,0.40773322008377505,0.3850687601373444,0.5231217465633637,0.3942237755921376
10,0.25943291817877745,0.4866162387336876,0.49133001141951416,0.6258159791302739,0.5282906126364312,0.4782971520197369
11,0.5724081052906723,0.4833118978536914,0.7321285589962829,0.38905987791599206,0.6601643530465148,0.5674145586206307
12,0.22738284746694046,0.382523115999707,0.29965203464707163,0.38086578758432804,0.5305637022514174,0.3641974975898929
13,0.4564745609175606,0.5395882942780111,0.645600289891016,0.7628522040361218,0.7988119581132945,0.6406654614472008
14,0.2091724535686682,0.35701522319430407,0.459087426946294,0.42688174286763186,0.6089042469158796,0.4122122186985555
15,0.23065416335112415,0.2875779469573613,0.3293201862497144,0.47202085070488076,0.6354270892400699,0.3910000473006301
16,0.24679948288199735,0.2857731567304576,0.4493196691970928,0.3639995364895649,0.6290661795920248,0.3949916049782275
17,0.1945367748653963,0.21523443660746286,0.43956015463358383,0.38211651560305465,0.44836536867509796,0.3359626500769191
18,0.26363750948638504,0.3401157277642625,0.5230252104222458,0.5205663831736342,0.6807515322223457,0.4656192726137746
19,0.19440325393378716,0.292147320787633,0.3557359435894631,0.5535257653327055,0.5058749304296686,0.3803374428146514
20,0.23718807299779032,0.3012103271038002,0.33460985699630835,0.433254398561988,0.6163901229802055,0.3845305557280184
21,0.20425510047201192,0.38089863164462484,0.5032287564931797,0.6038746994868172,0.5061699049927868,0.43968541861788407
22,0.21787314103189165,0.3031251391382852,0.4565071337134456,0.6567931012754035,0.8133741178923749,0.4895345266102802
23,0.34247257988719926,0.35761264474966753,0.3422459274584812,0.4515660905493639,0.3636340014269224,0.37150624881432687
24,0.4371853268420907,0.3568583023342977,0.8228735661101774,0.554465960733401,1.0,0.6342766312039934
25,0.25037103862348414,0.31165387527490707,0.2875419493428364,0.4006010513527148,0.4310902734001185,0.33625163759881216
26,0.1675452702982157,0.2759795999809238,0.3642431778648832,0.564259830452061,0.623968881518582,0.3991993520229331
27,0.20027779988440034,0.3754107621139953,0.3999503402521782,0.4266120816235274,0.5068092965585368,0.38181205608652763
28,0.2765314344484463,0.26464089127347223,0.47808406215533306,0.37789993502070723,0.5196934696211513,0.38336995850382205
29,0.21955299937971381,0.48361246236948574,0.36913280808475646,0.468302221607675,0.5665391197688616,0.4214279222420985
30,0.09030909297501295,0.3607658503217175,0.5224365279165383,0.4369523082792091,0.783435243507753,0.4387798046000461
