Num,Q_1,Q_2,Q_3,Q_4,Q_5,Average
1,1.0,0.9630514854638129,1.0,1.0,1.0,0.9926102970927626
2,1.0,0.6853643076745788,1.0,1.0,1.0,0.9370728615349158
3,1.0,1.0,1.0,1.0,1.0,1.0
4,0.7320433159604216,1.0,1.0,1.0,1.0,0.9464086631920843
5,0.8717421908066653,1.0,1.0,1.0,1.0,0.9743484381613332
6,1.0,0.8863488980846294,1.0,1.0,1.0,0.9772697796169257
7,1.0,1.0,0.9757019838528593,1.0,1.0,0.9951403967705719
8,1.0,1.0,1.0,1.0,1.0,1.0
9,1.0,1.0,1.0,1.0,1.0,1.0
10,1.0,0.9319685353091646,1.0,1.0,0.9947812007588316,0.9853499472135991
11,1.0,1.0,0.7068204521293905,0.71549871742816,0.4162589432557211,0.7677156225626542
12,1.0,1.0,1.0,1.0,1.0,1.0
13,1.0,0.8865581028108944,0.9483604083556193,0.9338322269764446,1.0,0.9537501476285917
14,1.0,0.8602452001432869,1.0,1.0,1.0,0.9720490400286573
15,0.5869424587697551,1.0,1.0,1.0,1.0,0.917388491753951
16,1.0,1.0,1.0,1.0,0.924862594922996,0.9849725189845993
17,1.0,1.0,0.9385483083500079,1.0,1.0,0.9877096616700015
18,0.6203518941357946,1.0,1.0,1.0,1.0,0.9240703788271588
19,0.7409820750351191,1.0,1.0,1.0,0.9133584627295878,0.9308681075529414
20,1.0,0.52763969220665,1.0,1.0,1.0,0.90552793844133
21,1.0,1.0,1.0,1.0,1.0,1.0
22,1.0,1.0,1.0,1.0,1.0,1.0
23,1.0,1.0,1.0,1.0,1.0,1.0
24,1.0,0.7652917971821158,1.0,0.4540592047071137,0.7115860299812425,0.7861874063740945
25,1.0,0.8391471644039976,1.0,1.0,1.0,0.9678294328807995
26,1.0,1.0,1.0,1.0,1.0,1.0
27,0.500765602179773,1.0,1.0,1.0,0.8794110270907579,0.8760353258541063
28,1.0,0.7201597715508009,1.0,1.0,1.0,0.9440319543101602
29,1.0,0.809093850988731,1.0,1.0,1.0,0.9618187701977462
30,0.4624974909021825,0.6996528146415268,1.0,0.5820234631963083,0.7751692020711638,0.7038685941622363
31,1.0,1.0,1.0,0.962709962137905,1.0,0.9925419924275811
32,1.0,1.0,1.0,1.0,0.7814099036257958,0.9562819807251591
33,1.0,1.0,1.0,1.0,1.0,1.0
34,1.0,1.0,1.0,1.0,1.0,1.0
35,1.0,0.7681078346810433,1.0,1.0,1.0,0.9536215669362086
36,0.34646482247317756,0.6442963065108898,1.0,0.96953037307807,0.8632648301270328,0.764711266437834
37,0.8234713810245672,1.0,1.0,1.0,1.0,0.9646942762049134
38,1.0,1.0,1.0,1.0,0.9094234442163828,0.9818846888432766
39,0.6486532361896373,1.0,1.0,1.0,1.0,0.9297306472379274
40,0.0,0.6591837227032706,0.7863080834786396,0.23961952175878415,0.4433866431350756,0.42569959421515396
41,1.0,1.0,1.0,1.0,1.0,1.0
42,1.0,0.5064238596137698,0.973445396168002,1.0,0.9988937381917066,0.8957525987946957
43,1.0,1.0,1.0,1.0,1.0,1.0
44,0.8513704193842259,1.0,1.0,1.0,1.0,0.9702740838768452
45,1.0,1.0,1.0,1.0,0.9710788291898941,0.9942157658379788
46,1.0,1.0,1.0,1.0,1.0,1.0
47,1.0,1.0,1.0,1.0,1.0,1.0
48,1.0,1.0,1.0,0.4001704195893484,0.6318325781663083,0.8064005995511312
49,1.0,1.0,1.0,0.943300236830059,1.0,0.9886600473660117
50,1.0,1.0,0.8903456035436008,1.0,1.0,0.9780691207087202
51,1.0,1.0,1.0,1.0,0.8213973848861021,0.9642794769772204
52,1.0,1.0,1.0,0.9889772773058572,0.8056022963109304,0.9589159147233575
53,1.0,1.0,1.0,0.9960871977715451,0.9829837327983384,0.9958141861139767
54,0.5360436118617334,1.0,1.0,0.8956804281511431,1.0,0.8863448080025753
55,1.0,1.0,1.0,1.0,1.0,1.0
56,1.0,1.0,1.0,1.0,0.8638907342802713,0.9727781468560543
57,0.5770034726090455,1.0,0.9946331999866178,0.8947723805187326,0.7293411212803222,0.8391500348789437
58,1.0,1.0,1.0,1.0,1.0,1.0
59,1.0,1.0,1.0,1.0,1.0,1.0
60,1.0,1.0,1.0,1.0,1.0,1.0
61,1.0,1.0,1.0,1.0,1.0,1.0
62,1.0,1.0,1.0,0.7304199709714757,0.7440198269436213,0.8948879595830194
63,1.0,1.0,1.0,0.8626481272150237,1.0,0.9725296254430047
64,1.0,0.7634271294003363,1.0,0.7337753224505222,0.7058241569556859,0.8406053217613089
65,1.0,1.0,1.0,1.0,0.8701076124736484,0.9740215224947297
66,1.0,1.0,1.0,0.5822102205784464,1.0,0.9164420441156892
67,1.0,1.0,0.9782222442307337,1.0,1.0,0.9956444488461468
68,1.0,0.8526093630508711,1.0,1.0,1.0,0.9705218726101743
69,1.0,1.0,1.0,1.0,1.0,1.0
70,1.0,1.0,1.0,0.7363496837338249,1.0,0.947269936746765
71,1.0,1.0,1.0,1.0,1.0,1.0
72,1.0,0.37616577670146034,1.0,1.0,1.0,0.8752331553402921
73,1.0,1.0,1.0,0.8749177158304535,1.0,0.9749835431660907
74,0.5840892455415331,1.0,0.891683705684477,0.7967323529210231,0.796664912359641,0.8138340433013347
75,1.0,1.0,1.0,1.0,1.0,1.0
76,1.0,1.0,1.0,1.0,1.0,1.0
77,0.8645955858258753,0.14844668936940603,1.0,0.6708358404657504,0.6011993023822183,0.65701548360865
78,1.0,1.0,0.8138480146564414,0.9560222018304749,1.0,0.9539740432973833
79,1.0,1.0,1.0,1.0,1.0,1.0
80,1.0,1.0,1.0,1.0,1.0,1.0
81,1.0,0.9229146704868759,1.0,1.0,1.0,0.9845829340973751
