Num,Q_1,Q_2,Q_3,Q_4,Q_5,Average
1,1.0,0.9859018858283655,0.9025515442507311,1.0,1.0,0.9776906860158192
2,1.0,0.593192651788539,1.0,1.0,0.7091561410902045,0.8604697585757487
3,1.0,1.0,1.0,1.0,1.0,1.0
4,1.0,1.0,0.698965799743617,1.0,1.0,0.9397931599487233
5,0.310650771418756,0.6678672802312714,0.9510969931353315,0.7373902905012603,1.0,0.7334010670573238
6,0.4750161412640693,0.7828449864976974,0.42042708322355854,1.0,1.0,0.7356576421970651
7,1.0,1.0,0.8862006344201355,0.8147786179606206,1.0,0.9401958504761513
8,1.0,1.0,1.0,1.0,1.0,1.0
9,1.0,1.0,1.0,0.937458487741063,1.0,0.9874916975482126
10,1.0,1.0,0.6366938487546323,1.0,1.0,0.9273387697509264
11,1.0,0.752404520420096,1.0,0.7977966109089809,1.0,0.9100402262658154
12,1.0,0.8321713652670562,1.0,1.0,1.0,0.9664342730534112
13,1.0,0.3946802417897084,0.26437194283065135,0.4911016451179606,0.5872976953415333,0.5474903050159707
14,1.0,0.47472102378717335,0.698408051830239,1.0,1.0,0.8346258151234824
15,1.0,0.7701290292706711,1.0,1.0,1.0,0.9540258058541342
16,1.0,0.9689999797085666,0.887038655784671,1.0,0.9528477879065752,0.9617772846799625
17,0.9040472660724257,1.0,0.8629870466642208,1.0,1.0,0.9534068625473292
18,0.8141704773124481,1.0,0.7689346002274554,1.0,1.0,0.9166210155079806
19,0.072354478461778,1.0,1.0,1.0,1.0,0.8144708956923555
20,0.8658541804882246,0.8886471694876821,1.0,1.0,1.0,0.9509002699951814
21,1.0,1.0,1.0,1.0,1.0,1.0
22,1.0,1.0,0.9472869868658714,1.0,1.0,0.9894573973731742
23,0.8870615922595453,1.0,0.9178540534775609,1.0,1.0,0.9609831291474211
24,0.875516442965682,0.5569830052414342,0.7542513573966846,0.455891460393871,1.0,0.7285284531995344
25,1.0,0.5738524476560237,1.0,1.0,1.0,0.9147704895312048
26,0.0815447545823809,0.7034041698824091,0.6695178019321567,1.0,1.0,0.6908933452793893
27,1.0,0.7061338444458705,1.0,1.0,1.0,0.9412267688891742
28,1.0,0.6178037681608834,1.0,1.0,1.0,0.9235607536321767
29,1.0,1.0,0.736628654400556,1.0,1.0,0.9473257308801113
30,0.45529973837628857,0.577024007320951,0.8553908322554231,0.6312458885603139,1.0,0.7037920933025953
31,0.7045634940033213,0.792510404382393,0.7121658693288433,0.8962552021911968,0.993518609475617,0.8198027158762742
32,1.0,0.8929957342373109,0.9767586409167681,1.0,1.0,0.9739508750308158
33,1.0,1.0,0.7588675900516039,1.0,1.0,0.9517735180103208
34,1.0,1.0,1.0,1.0,1.0,1.0
35,1.0,1.0,0.9482497266818585,1.0,1.0,0.9896499453363716
36,0.2935201318354702,0.34073657940674856,0.7218142747309302,1.0,1.0,0.6712141971946298
37,0.8141704773124481,1.0,0.7689346002274554,1.0,1.0,0.9166210155079806
38,0.6770881158496075,1.0,0.5359106613711963,0.685032122590857,0.9609302555859592,0.7717922310795241
39,0.8499079251630247,1.0,0.8163826691423302,0.8983537072543736,1.0,0.9129288603119458
40,0.7237502223938523,0.5684776796726022,0.7439994969186883,0.613953764777895,0.5745849995478767,0.6449532326621829
41,1.0,1.0,0.6871618570303853,1.0,1.0,0.9374323714060772
42,0.5732709986317114,0.5495915612404912,0.5670575858790056,0.6224831082214777,0.5782336664395294,0.5781273840824431
43,1.0,0.8757048191078689,0.7958388915785745,0.939779996330618,1.0,0.9222647414034123
44,1.0,1.0,1.0,1.0,1.0,1.0
45,1.0,0.6704466617421502,0.6648030653028576,0.8775823369982203,1.0,0.8425664128086456
46,1.0,1.0,0.839985240596924,1.0,1.0,0.9679970481193848
47,0.9747396870089002,1.0,1.0,1.0,1.0,0.99494793740178
48,1.0,1.0,0.760443427215775,1.0,0.9880609753811288,0.9497008805193807
49,1.0,0.9472808518234163,1.0,0.7586456565783639,1.0,0.941185301680356
50,1.0,0.7591818888739817,0.9497330272794411,0.9501402110919771,1.0,0.9318110254490801
51,1.0,1.0,0.9444174611474973,1.0,1.0,0.9888834922294993
52,1.0,0.9342928082351356,0.7056601088775976,0.8476764450237945,0.8759540895359385,0.8727166903344934
53,1.0,1.0,0.7730834598244122,1.0,1.0,0.9546166919648824
54,0.6516474553185418,0.7988063003652004,1.0,0.8406616283076508,1.0,0.8582230767982786
55,1.0,1.0,0.8498777866052349,0.8903273546547738,1.0,0.9480410282520018
56,1.0,0.7566111434892457,0.535790469222322,0.8783055717446225,0.8558804254795436,0.8053175219871467
57,0.9690023304380911,0.7175632070071004,0.9181870655017159,0.9801655021890091,1.0,0.9169836210271832
58,1.0,0.8245554102686922,1.0,1.0,1.0,0.9649110820537384
59,1.0,1.0,0.7676517999193747,1.0,1.0,0.9535303599838748
60,1.0,1.0,0.9662760684245969,1.0,1.0,0.9932552136849193
61,0.43188864349908984,1.0,1.0,1.0,1.0,0.8863777286998179
62,1.0,0.9994876142858419,1.0,0.9972843975248641,1.0,0.9993544023621412
63,1.0,1.0,0.6880902477371743,1.0,1.0,0.9376180495474348
64,1.0,0.7207049026117852,0.6886006305419677,0.5880762939794778,1.0,0.7994763654266461
65,1.0,0.678253654007261,0.6363375889362919,1.0,0.7661751396190158,0.8161532765125138
66,1.0,0.8196056016488037,1.0,1.0,1.0,0.9639211203297607
67,1.0,0.8382677773741967,1.0,1.0,0.8888244123864041,0.9454184379521202
68,1.0,0.7277829052180569,1.0,1.0,1.0,0.9455565810436113
69,1.0,1.0,0.7832934667763367,1.0,1.0,0.9566586933552674
70,0.9115948161547465,0.9346609918822865,0.7690460529976447,0.8360396169764911,1.0,0.8902682956022339
71,1.0,1.0,0.9508577422080903,1.0,1.0,0.9901715484416179
72,1.0,0.09403662896398687,0.7266625084271804,0.8087715075485465,1.0,0.7258941289879427
73,1.0,0.7666355267068705,0.5493845707122709,0.7625362097677408,1.0,0.8157112614373764
74,0.0,0.9751788771053185,0.9873415020150849,0.8905017415186313,1.0,0.7706044241278069
75,1.0,0.9995582347088793,0.7477875138180287,0.9997791173544391,1.0,0.9494249731762695
76,1.0,0.5681234862972774,1.0,1.0,1.0,0.9136246972594556
77,0.5909126840278538,0.05454761041671198,0.18680361349700425,0.4839527797920762,0.9055298023840884,0.44434929802354695
78,1.0,0.8145132684700265,0.5461544244431354,0.9255033310964975,0.8536027213333418,0.8279547490686003
79,0.605914609476461,1.0,0.9040260907459962,0.9745716437071102,0.7178532329370956,0.8404731153733327
80,1.0,0.9977096632701046,1.0,1.0,1.0,0.9995419326540208
81,0.8876854891493785,0.6954757129879126,0.9811248864315478,1.0,1.0,0.9128572177137677
82,0.9143702110769694,0.8658935434386099,0.3457765014276034,0.34838203922228916,0.8483920647182631,0.6645628719767471
83,1.0,0.8531713754101685,1.0,1.0,1.0,0.9706342750820337
84,1.0,0.9829050836368446,0.9081847630259506,0.49339413782634345,1.0,0.8768967968978277
85,1.0,1.0,0.9879497804391377,1.0,1.0,0.9975899560878275
86,0.857867120930649,1.0,1.0,1.0,1.0,0.9715734241861298
87,1.0,0.8265062307661993,1.0,0.9772845284605902,0.6734504792248756,0.8954482476903329
88,1.0,0.7374396337603696,1.0,1.0,1.0,0.9474879267520739
89,0.3896727539730185,0.9258071711891729,0.8655909389221282,1.0,1.0,0.8362141728168639
90,1.0,0.7831662591655622,1.0,1.0,1.0,0.9566332518331124
91,1.0,0.9184756218071246,0.6926756689559179,0.7382468919637977,0.7914342128750828,0.8281664791203847
92,1.0,0.5061477678835964,0.766666242120783,0.7984736378862436,0.9971791127213224,0.813693352122389
93,1.0,1.0,0.9995628923679413,1.0,1.0,0.9999125784735883
94,1.0,1.0,0.8925654008860646,1.0,1.0,0.9785130801772131
95,1.0,1.0,0.9661001998403195,0.7374299820129304,1.0,0.9407060363706499
96,1.0,0.9781237946762696,0.9154733581711711,1.0,1.0,0.9787194305694882
97,1.0,0.6901139498889381,1.0,1.0,1.0,0.9380227899777877
98,1.0,0.27855211964106374,0.5388389785559907,1.0,1.0,0.7634782196394109
99,1.0,1.0,0.9725532921504678,1.0,1.0,0.9945106584300936
100,1.0,0.4509497158951779,1.0,1.0,0.8025433241792969,0.850698608014895
101,1.0,1.0,0.6461781030801627,1.0,1.0,0.9292356206160324
102,0.2908995514928894,0.3581973084055657,0.6991107761964699,0.6863811650308147,0.8643915545398893,0.5797960711331257
103,1.0,1.0,0.914870834054083,0.7033189545288987,1.0,0.9236379577165964
104,0.8921071304303141,0.6783659267118476,0.42820946136131144,0.8391829633559236,1.0,0.7675730963718793
105,1.0,1.0,0.8201635494727941,1.0,1.0,0.9640327098945589
106,1.0,1.0,0.9131137744738473,0.8321563091491182,1.0,0.9490540167245932
107,1.0,1.0,1.0,0.7956876093702433,1.0,0.9591375218740487
108,1.0,0.9790904971396388,0.760277405367193,0.47487330303736836,0.8036569729283904,0.8035796356945181
109,1.0,0.9346900934810972,0.756075153677516,1.0,1.0,0.9381530494317227
110,1.0,1.0,0.9961372948034309,0.8070681169208573,1.0,0.9606410823448577
111,1.0,0.558299227618327,0.32808128049103624,1.0,0.5012970315442083,0.6775355079307144
112,1.0,1.0,0.7632440038924179,1.0,1.0,0.9526488007784835
113,1.0,1.0,0.955967405944947,0.988807645694118,1.0,0.9889550103278131
114,1.0,1.0,0.8502184011506271,0.9899733617813034,1.0,0.9680383525863862
115,1.0,1.0,0.7439792985618715,1.0,1.0,0.9487958597123743
116,1.0,1.0,1.0,1.0,1.0,1.0
