Num,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,Average
1,0.6872377999882823,0.7774284533861859,0.8379586852056043,0.8724530939278088,0.6361541521189,0.39284263995123325,0.778281949865273,0.5012803772210174,0.6854546439580382
2,0.23414362353076174,0.6716146185324426,0.4491013843355347,0.356862362305245,0.5958227698741113,0.8267995106115459,0.82090117241417,0.4675005228725382,0.5528432455595437
3,0.6468743629471252,0.05953280463479732,0.23365729074862684,0.07143888937073656,0.7602684358628934,0.4831621113784637,0.41950641507611436,0.48579802830209073,0.3950297922901061
4,0.7868572601165208,0.8415491010932212,0.6847126941125233,0.3002338765719444,0.7014038604266832,0.6186949557858108,0.8320374183594412,0.6244071366486702,0.6737370378893518
5,0.7407675055484835,0.8899964622256474,0.5308216149752624,0.7964302900529274,0.6647871533357084,0.6361681627507175,0.7074639379869968,0.3421994014573029,0.6635793160416308
6,0.7685302968197759,0.5157253276862404,0.2509211608907205,0.7752784136839274,0.5415229192805634,0.3041729715703445,0.761486255575116,0.5654931471847989,0.5603913115864358
7,0.2405372899464372,0.7042974597929257,0.7654761976398985,0.8452542913111303,0.35141217738162506,0.5197264549843317,0.7097215259737273,0.5740356015810825,0.5888076248263947
8,0.7486519082547177,0.9763948141783634,0.5044598873054746,0.38079104409657827,0.15589097333753812,0.6590236771457019,0.7973743109078719,0.47459460576998297,0.5871476526245287
9,0.6538093722379081,0.7554815611143672,0.4889268924589098,0.6020504935972403,0.5455053097949422,0.2944727209363737,0.4234288860893178,0.41159617998547005,0.5219089270268161
10,0.8227834939922591,0.2067852672444018,0.40581983324799153,0.513802642936724,0.7221371222732476,0.7593132267891072,0.2620434372174106,0.6196197977849335,0.5390381026857594
11,0.8156482204266469,0.0,0.1750720652068795,0.6786391913858388,0.5058065444414184,0.19704269413551875,0.697052727150122,0.501651702437123,0.4463641431479434
12,0.6597104763265174,0.3703289542238209,0.5322860806004075,0.9205438399421393,0.6025578427800309,0.3694008457322647,0.6665415580621914,0.7311888961890077,0.6065698117320475
13,0.8258026629081231,0.33359339144070566,0.7345400802045459,0.9495898754907042,0.8078653893652267,0.8791217805506552,0.1555102189274311,0.7338738808190531,0.6774871599633057
14,0.9006808510454192,0.644027874185674,0.6400536909276402,0.5423407380395364,0.7401325254331342,0.3463195142817437,0.9629942679243526,0.5745919370628253,0.6688926748625408
15,0.21167984436103224,0.6658407467686803,0.41552012230087554,0.45334454826067033,0.6101410570393295,0.41621165225177836,0.44374451826076444,0.8699297589523092,0.51080153102443
16,0.3923858342646518,0.6424500452330183,0.25537285523709635,0.7258380765915835,0.37187314540879196,0.3680673822925719,0.5262661301187801,0.34407825555402194,0.4532914655875645
17,0.9326093378120647,0.6229410359558506,0.6734365657068003,0.4790014923187483,0.7609426142690559,0.7825291966184211,0.3899157102935148,0.7376401501040784,0.6723770128848168
18,0.6769623868107904,0.14368043053965668,0.8940046070783498,0.5966294781781449,0.7800211737520916,0.8836441637338407,0.5973839060124482,0.18518707281565314,0.5946891523651219
19,0.6713723161156081,0.49596403586589854,0.6453852036533575,0.5423524125892256,0.6730149858746468,0.7048571206251234,0.13741232531611475,0.6542997429153863,0.5655822678694201
20,0.10719108710138536,0.3793751596688749,0.5310174770848373,0.31230433179990924,0.13867591530743523,0.5316233563234314,0.11520761022726365,0.31271087823941995,0.3035132269690696
21,0.143208748837751,0.8297969235394631,0.06474101011997294,0.6568151143886355,0.7126818350424324,0.7538115749946608,0.40659150371272484,0.38096183041158677,0.4935760676309034
22,0.05827482676471314,0.743645463602086,0.6005815660698077,0.18024855567790474,0.5118928330945622,0.6787176786084903,0.46097144727084377,0.39294626046128306,0.45340982894371135
23,0.8037288772979506,0.07450862315805697,0.23157063036008524,0.24193420122947773,0.8052047613360577,0.1008047053838817,0.1715460661875171,0.4980912721027066,0.36592364213196665
24,0.49341305638167776,0.493186461467861,0.3766860565275277,0.6348557919690551,0.5318494037721259,0.8124300143278291,0.6678599252481652,0.637003844107164,0.5809105692251756
25,0.7628981379911929,0.8535262695226962,0.7914251729714508,0.6254559443025886,0.6856923776363852,0.22393388779099369,0.7256197080691218,0.5633483404503469,0.653987479841847
26,0.8245124853682949,0.5581010183580923,0.6208400728515214,0.6410767425220026,0.6095483421938057,0.4951819347238102,0.43604633937932036,0.6080680804697586,0.5991718769833257
27,0.7557092511947585,0.4729582955388764,0.2542973015288229,0.597625098404238,0.6508897008602502,0.33946073799023807,0.597356076721331,0.4748596402383677,0.5178945128096104
28,0.33436875515487446,0.457414912339957,0.7410068522001361,0.6639201687891694,0.47614337294510034,0.5642063632357172,0.5665130621309324,0.48062551926491404,0.5355248757576001
29,0.5826349439079744,0.5403318308118932,0.36916435364224326,0.2136368917956927,0.5827866919416924,0.7809398889147564,0.7545501236451534,0.8346723315226662,0.5823396320227591
30,0.18102005889877934,0.7149049379078456,0.7391006366271166,0.602552057553371,0.6239640616094376,0.3737108641789295,0.49629093142545866,0.734141114360373,0.5582105828201639
31,0.27159531408432963,0.38521252470124095,0.8025032057695135,0.5929676514669555,0.30118289172678747,0.20194841261593438,0.26235457030650605,0.5099875137465668,0.4159690105522293
32,0.331082598425766,0.4253993477047722,0.42949345189438465,0.5122153470010905,0.8166492882291386,0.4243051496582872,0.6183514942159865,0.7489954538538376,0.5383115163729079
33,0.7074639867578082,0.7989926152319372,0.7793669965197866,0.5600352385127453,0.16078319013097805,0.38155846497600815,0.42357200775007925,0.5467160170655561,0.5448110646181124
34,0.38518655379986116,0.8257321729821556,0.7976271241794687,0.7083181851908287,0.4470237623976844,0.3641205102718382,0.612946451510882,0.42073406946332137,0.570211103724505
35,0.6211364047541248,0.5104297270210009,0.6775510273461979,0.40541332556736387,0.8791538770539581,0.44401553683260137,0.7683106199856052,0.39820184427785627,0.5880265453548386
36,0.9263297743946032,0.2395531509317485,0.24060094304410753,0.5858107220454236,0.47765630816590765,0.7998308975521187,0.6400155788750203,0.59436840381831,0.563020722353405
37,0.8453684096538296,0.7597281272514678,0.826810940892781,0.6221549085767963,0.6162964975544526,0.5743502338890631,0.6267373237634147,0.7362505509956437,0.7009621240721811
38,0.3963007697060997,0.5196033981142529,0.7910870960958105,0.7438017726472027,0.7342830812076404,0.7184838337413011,0.4552460150804137,0.5730297422108229,0.6164794636004429
39,0.16042386140931625,0.40176764627778927,0.778696909962859,0.5471856907163453,0.44231388266832977,0.29599034190867873,0.4737722230286892,0.40885086507327295,0.4386251776306601
40,0.5724105632119801,0.46868326494443124,0.8922148914247839,0.3159037757624472,0.9752659318508292,0.677032837545793,0.6916383355572987,0.19909181079810429,0.5990301763869584
41,0.6835305687056211,0.4652579780800981,0.6723855171561054,0.7271645394580304,0.4917359290725498,0.7113560225293372,0.611276255052794,0.11248041914742846,0.5593984036502456
42,0.5792720356411725,0.07350337991592198,0.41147292785199835,0.7288071896279444,0.6584112522823645,0.667539075806067,0.7001171731400122,0.11063660326170179,0.49121995469089785
43,0.7448523668172788,0.6256930041419276,0.6204918172521208,0.8666505680782212,0.6883303496264065,0.724005253585456,0.5660477371037759,0.5847613230481962,0.6776040524566729
44,0.6943113724490998,0.7152317860735139,0.8304513168476834,0.3620282615400038,0.8148214303158939,0.5938711297368767,0.6848619950083068,0.9117347570373793,0.7009140061260947
45,0.519237213490787,0.524839239085629,0.919954353580257,0.5285905430375387,0.7929678574133454,0.7231936626272029,0.47832412402823843,0.3523734740015324,0.6049350584080663
46,0.07093302084464455,0.6279613898123138,0.673282976763348,0.28896900544414067,0.12898138501738254,0.252741812987053,0.463225083124091,6.410248274320759e-7,0.31326191437722517
47,0.7585480387725105,0.5293524258301384,0.5750074699591209,0.09258346039669464,0.24293745576610423,0.1108191735331294,0.3091739070718288,0.675362933184325,0.41172310806423146
48,0.5061732829440725,0.3427073523111073,0.6264189539427251,0.6092192287247079,0.5473251334683296,0.5010804297102793,0.3593344393292532,0.5529279282733857,0.5056483435879826
49,0.6478670529515703,0.7355849803930975,0.12689381507153782,0.8032805336711295,0.43232256347171455,0.6612074793177538,0.891725371349873,0.46413942245154566,0.5953776523347778
50,0.7044334585956432,0.6953824151784644,0.5434570100180159,0.38359004654710915,0.6960737594538825,0.47506832336633825,0.6869004287400059,0.5381415923520967,0.5903808792814446
51,0.846692702712696,0.7527395804224539,0.4646506758017656,0.6433460921968245,0.5645546853168406,0.4917942640906505,0.5596448846674097,0.3016153539293201,0.5781297798922452
52,0.7520632149259727,0.6153926302168542,0.6470595077215436,0.23545897456539625,0.7151246133192221,0.5339304575145226,0.8611245735631301,0.27323698992180895,0.5791738702185563
53,0.20530974585938364,0.6451148918398977,0.8475053542874192,0.5300449867596636,0.7170972694968016,0.43678192856946807,0.6232213629284019,0.6175699597320521,0.5778306874341359
54,0.7553043089743123,0.5327011840939974,0.6127934367706049,0.5201196338555008,0.6182168161722416,0.33931419505886795,0.6702440187313525,0.763004184373684,0.6014622222538202
55,0.621298251918256,0.6768227517344809,0.6792455165259101,0.6862351960021726,0.5525415952038821,0.5225944604732163,0.44529389273775477,0.7129444401921137,0.6121220130984732
56,0.2567284814723292,0.3256771835297455,0.14604088637287857,0.10040038620823423,0.7765107152862454,0.6175767794863508,0.5121816832067977,0.5896708448690055,0.41559837005394834
57,0.17518934907532885,0.40314041277017737,0.4576376739421121,0.7033618461246507,0.4123474151825034,0.7187366140432107,0.6354399676604435,0.2702818670524812,0.4720168932313635
58,0.6343344004045246,0.7653161047063217,0.711341077375195,0.3847060928531235,0.7371678995544484,0.4537547306615284,0.5487292189176525,0.906620264772494,0.642746223655661
59,0.3205268677988453,0.35232417805401706,0.26955011454664535,0.6105315594121002,0.7422924192321955,0.6126603049756434,0.4538990798116614,0.4241803843868082,0.4732456135272396
60,0.47407104309982717,0.6873098783371161,0.4007746155688167,0.5406720641942963,0.5958727283082407,0.6069512486535602,0.6715830087660539,0.533818957472541,0.5638816930500565
61,0.7060357812824758,0.22326527108047262,0.48970810153687955,0.4934852838749779,0.459342350015168,0.20638095541299542,0.5920301726765422,0.6990592025041962,0.48366338979796347
62,3.846153846264445e-6,0.770575865143032,0.08417267248533512,0.31035662400690417,0.4851912611361077,0.38571561127251763,0.558416919188058,0.47860552783526383,0.3841297909026331
63,0.4927769440716927,2.8513412330307317e-6,0.7035117707152212,0.7474836386120575,0.6932901415763248,0.5330080454392128,0.6556879495095255,0.4184705179656021,0.5305289824038587
64,0.5450251671204037,0.6931488203892684,0.5583924300836192,0.3651965606645392,0.1388852936058057,0.7101178870560925,0.6768147126115389,0.2349672940535547,0.4903185206981027
65,0.2640435042375322,0.45046161416178226,0.5627210436725388,0.18059846319872802,0.7345985694246262,0.31990966602751203,0.6760524024823056,0.6336290307861709,0.4777517867488995
66,0.7844543240609465,0.7807236000071359,0.33376889457121983,0.751386006030076,0.6901939322219532,0.891926722961775,0.4906272789673101,0.4711371475801486,0.6492772383000707
67,0.5130248969283437,0.6269825197267067,0.4030360193738477,0.9174008483530969,0.8006242465753348,0.48568679511277646,0.3329743875122601,0.5569152288695282,0.5795806178064867
68,0.6139648314797218,0.7324450543760721,0.21673181148352136,0.7280995399736945,0.4410345511931245,0.35487772435120757,0.5799380765750486,0.528408418738742,0.5244375010213915
69,0.855964976560842,0.5713944617741871,0.7090651216187083,0.7547904350147426,0.5724687376494358,0.40846381245876334,0.49306945037933925,0.45343751441687113,0.6023318137341112
70,0.30514764381503584,0.2674483488275598,0.862421022248456,0.7179545809433214,0.7109856481451733,0.5715982080606351,0.0,0.6290812205537584,0.5080795840742425
71,0.6205425105431711,0.2937177027649641,0.3235630956294959,0.9527954258850343,0.8002752636289333,0.15544586702717356,0.5241347316467503,0.4864173285078072,0.5196114907041662
72,0.7367555611770354,0.6721570296495541,0.8452646376364398,0.9054635426981399,0.8840853676281794,0.8506670076231126,0.8639106356530074,0.4646215496519427,0.7778656664646764
73,0.2916734766037645,0.6152838463519171,0.23481268643619643,0.7145106197648335,0.7171320585433757,0.9149276859742866,0.6467222587437649,0.215104697613998,0.5437709162540171
74,0.2532171596765267,0.5075886472172898,0.126265663586223,0.19551441681487705,0.15432590020191692,0.17361663772715621,0.6354181796169969,0.45046932615758645,0.3120519913748216
75,0.5743096140431789,0.467148936909255,0.23744910031303268,0.08620722711524546,0.25252516861395674,0.699224963483129,0.9516294348507884,0.5563175281050757,0.4781014966792077
76,0.7079703689404325,0.7724278179764995,0.45125622590941383,0.8009374740994494,0.038057968994730726,0.5131548125945599,1.597421604041368e-5,0.48924424906814457,0.4716331114749089
77,0.7032743513351807,0.7434111864042485,0.805683253989963,0.5329135416611985,0.6942961621369362,0.6071031755427155,0.31984232113435684,0.4429596939743952,0.6061854607723743
78,0.7272685890073554,0.26815929239493635,0.78071773188457,0.3280961625971626,0.6838686466728041,0.4746787032930462,0.5927664216595582,0.5690071354056301,0.5530703353643829
