Num,P_1,P_2,P_3,P_4,P_5,Average
1,0.6107470207658308,0.577573441662597,0.5874714874670904,0.21629855454455768,0.5047563399577684,0.49936936887956884
2,0.55158372283485,0.6045129140574345,0.31105641537899115,0.5161159004190687,0.15251854147256294,0.42715749883258153
3,0.7839349683441843,0.6629652944263241,0.5740545106359396,0.6776365774475968,0.28820891780226937,0.5973600537312629
4,0.26741752033887833,0.5007403780613642,0.8345976358639826,0.3288307244879135,0.6462432501682482,0.5155659017840775
5,0.0,0.023662826643081353,0.2992800278645996,0.8457362087581473,0.7189108176651471,0.37751797618619504
6,0.0,0.05690334998966577,0.7638553709673945,0.4733800102729431,0.424303553800968,0.3436884570061943
7,0.07539017110677358,0.6010929615757244,0.499679456466407,0.8128272942292825,0.41639954705533916,0.4810778860867053
8,0.6792855446489142,0.8918384899096464,0.8666291239126552,0.32267373706371044,0.6816652657916819,0.6884184322653216
9,0.6257843426971024,0.30506087145452065,0.7259750954376245,0.9453263943815009,0.50669034019704,0.6217674088335577
10,0.6361365614220302,0.4254221497567342,0.7097199948250077,0.5676549943319641,0.3698752431201757,0.5417617886911824
11,0.6458140551741105,0.5941223173397691,0.5259141439749164,0.12259148497389546,0.5423296698793912,0.4861543342684165
12,0.4681798561317603,0.9491906271302325,0.37636604536422186,0.652603072248989,0.943264996098714,0.6779209193947835
13,0.7505729186250646,0.7782877898769656,0.5143280789857654,0.17476530661563044,0.4426433060840634,0.5321194800374979
14,0.4757306546386929,0.5238873564738284,0.43362370484807644,0.7046734882276978,0.7825621983729368,0.5840954805122465
15,0.8450101715905944,0.3219349102052476,0.14825499031939748,0.6388189943526162,0.27535207570086023,0.4458742284337432
16,0.4524625328183953,0.5876262140714598,0.6139839045443507,0.0,0.1776361275770989,0.3663417558022609
17,0.7653195857413199,0.6708558989328709,0.5699100404666883,0.6857955887932843,0.3449341089316651,0.6073630445731656
18,0.3236184824067774,0.17904655931631858,0.8186982091480299,0.1592295383978433,0.46280643292339324,0.3886798444384725
19,0.14904593113106768,0.41982798001150706,0.5097922483522632,0.5731399231679412,0.33224049519150134,0.396809315570856
20,0.4515495986147307,0.5815501213077934,0.3161756647273767,0.8212012278631511,0.8743227432928898,0.6089598711611883
21,0.11190899279802975,0.7514635802226619,0.6029156143498664,0.5671311099752772,0.2136916966365038,0.44942219879646783
22,0.7010986002287429,0.08545954519999788,0.7799352598940251,0.20866944990609884,0.5961393514810466,0.4742604413419823
23,0.8267079063003283,0.3609256938601979,0.49436819009770205,0.8570272721040902,0.41197349174808506,0.5902005108220807
24,0.35168128825170003,0.22458010005999285,0.5241714428298971,0.38266732462547537,0.34915725260859143,0.3664514816751313
25,0.5904296678664889,0.6902055416602187,0.28529382136471215,0.7951229480293697,0.5463501330408987,0.5814804223923377
26,0.46396548216498606,0.2438793553282211,0.8022042562081004,0.9444082651264165,0.37643489448577533,0.5661784506626999
27,0.40081612163636093,0.8338741145755574,0.2848870720526625,0.0,0.5809632803501915,0.42010811772295453
28,0.5101746770378489,0.5124379628348316,0.2006690804831246,0.5615501319554752,0.3344329119163182,0.42385295284551966
29,0.39476568117870087,0.5513922769089459,0.8744020966289746,0.5410063552950102,0.7100580293739177,0.6143248878771098
30,0.011646115563069657,0.5927744153508359,0.21523117397246938,0.6621471830006859,0.3958100730668523,0.37552179219078263
31,0.6976189325280095,0.459531636992986,0.2933083283132092,0.4324596116275149,0.8234343772894903,0.541270577350242
32,0.6670457162710747,0.665558416500071,0.27191607127501627,0.27812302131049765,0.6060045444519656,0.497729553961725
33,0.4435367461073423,0.3033413426352443,0.5447641309703914,0.5987853208410512,0.4879564166655683,0.47567679144391944
34,0.247504928682336,0.8533014875194134,0.6196093754337674,0.4636856982871234,0.7331971982299879,0.5834597376305256
35,0.596246802989582,0.5542382850166591,0.8034233789470183,0.9179969491812031,0.6292060565750142,0.7002222945418953
36,0.0,0.26374918946235504,0.06828801998759848,0.4733788923985915,0.424303553800968,0.24594393112990262
37,0.3236184824067774,0.17904655931631858,0.8186982091480299,0.1592295383978433,0.46280643292339324,0.3886798444384725
38,0.6684087861112867,0.0,0.5323878879148936,0.5464351852392402,0.4639184340414795,0.44223005866137993
39,0.310345697985788,0.3861680562618465,0.4442098026050667,0.4016972378991241,0.8278800397634215,0.4740601669030494
40,0.03624503253950308,0.033582165991973466,0.040298599190368156,0.13289241483760422,0.06182195762447079,0.06096803403678395
41,0.47036963430413675,0.1627684947556822,0.768397928692074,0.649459708561858,0.5291235527235711,0.5160238638074645
42,0.3349782718347802,0.5514328116092665,0.06374261858746755,0.706221014259911,0.053625393841367594,0.34200002202655855
43,0.12998885599839988,0.8449278888362389,0.21169940626798622,0.5574532951975776,0.46622354008731054,0.4420585972775027
44,0.21555476141468974,0.3055842332985766,0.72650419939563,0.9098288475390532,0.5792269138414893,0.5473397910978878
45,0.14120107850395844,0.8034127680778249,0.4570674734810415,0.5771063485559831,0.3882405799874933,0.47340564972126026
46,0.5842726203628196,0.7528245338882782,0.6404434252918161,0.3478454536655369,0.9184155588207091,0.6487603184058319
47,0.6744803453477866,0.6698228175817209,0.8868081202162543,0.4746874944169014,0.7033571784172951,0.6818311911959917
48,0.44439828385349056,0.3094799039073529,0.35534306658453463,0.0,0.8213130357252084,0.38610685801411726
49,0.1648301179879868,0.28849228981230973,0.34766020289685406,0.6429024832951077,0.6527951455661208,0.4193360479116758
50,0.14172718632691048,0.4853643132482529,0.10486489639747798,0.5390181334756802,0.6588485935893694,0.3859646246075382
51,0.1962023727621353,0.37001365076048587,0.20201423874105318,0.27751023807036573,0.8049279129863652,0.37013368266408103
52,0.017551907762110498,0.5814367530390636,0.4755891995562528,0.09983041435417642,0.29467987120026984,0.2938176291823746
53,0.22015293588702153,0.37848577795072064,0.7759195634466742,0.7810057304251432,0.7807852010111825,0.5872698417441484
54,0.38091965717539816,0.20595378814065546,0.23769826815496276,0.36051366777117333,0.5878557782236047,0.3545882318931589
55,0.6049607224084899,0.5654415844180241,0.7891111557230501,0.5990945144497706,0.2512186489786291,0.5619653251955927
56,0.15800610167353016,0.19169307857966242,0.2834339993118179,0.1437698089347475,0.5941789633267436,0.2742163903653003
57,0.0,0.5591291587358094,0.4792331138439252,0.24481402725983967,0.12009020414556336,0.2806533007970275
58,0.4084164786342675,0.7156666237274873,0.394166517648352,0.6893224470158228,0.5149509035162372,0.5445045941084333
59,0.8332741142203248,0.3379799477653334,0.786611268893111,0.5686687961063628,0.605553168827451,0.6264174591625167
60,0.18514065312129882,0.3146777775660692,0.8803939314400476,0.38698010260491245,0.5315366273779363,0.4597458184220528
61,0.5951987877193818,0.4239686885421363,0.5584032012700318,0.7993866617444437,0.9102581959060824,0.6574431070364153
62,0.5833218469062144,0.1751193344944659,0.0,0.6724642146887542,0.6357724206635279,0.4133355633505925
63,0.658468320631443,0.25706457280450423,0.4836559204840857,0.3183007730338706,0.327280271182893,0.40895397162735925
64,0.14387663920057098,0.06484572396581259,0.3654015609739076,0.5574220065753145,0.9016453023770613,0.40663824661853337
65,0.8681696738531672,0.6040092081493181,0.8653679622283716,0.6400571568469126,0.3902909168355434,0.6735789835826625
66,0.2562915798691973,0.7815790713013804,0.27656906008420523,0.4647615323715222,0.5419059654283885,0.4642214418109387
67,0.1974936952141872,0.7759873298742471,0.2855752515853716,0.6911904332496561,0.4634969680385264,0.4827487355923977
68,0.034735971713996595,0.7380751876338305,0.5995346172059278,0.7106809119457739,0.01845821560052206,0.4202969808200102
69,0.2836167518957481,0.5521776511119914,0.6994552352164035,0.05024174519675752,0.031263716974664985,0.3233510200791131
70,0.24454721874613122,0.24966170012731734,0.48637551557814507,0.721509857489481,0.5887348473623956,0.45816582786069404
71,0.7172604064884245,0.12666493004824253,0.8139098969392886,0.2614114520210582,0.9096187882415067,0.5657730947477041
72,0.08354741045040034,0.15805332695568347,0.24137032044361045,0.1290230684242298,0.2815504634246296,0.17870891793971072
73,0.13475614689969576,0.9495280267238736,0.43125255838167,0.31258570275061826,0.8108832804956952,0.5278011430503106
74,0.3011124956081036,0.3677907233858432,0.4220260070399439,0.31115453680236355,0.5338752620843805,0.387191804984127
75,0.5898516288109756,0.18196812060799578,0.762832201850431,0.8029406091656617,0.5599777779629833,0.5795140676796094
76,0.7516308267097882,0.724812579874878,0.6283092772399801,0.6551479066478982,0.18091690151142936,0.5881634983967948
77,1.5714285713944575e-5,0.0,0.1655199797659796,0.23531395059553764,0.18604772637580425,0.11737947420460708
78,0.11295029715694564,0.6617386608090109,0.4866101992307138,0.19765718669132112,0.20197912827735473,0.3321870944330692
79,0.6460183229324228,0.32491826496582704,0.38990191795899243,0.31972471955253134,0.31172375212131187,0.3984573955062171
80,0.35392670894622524,0.7410033874247799,0.7500317061772083,0.752067523748779,0.6100211450089412,0.6414100942611867
81,0.617046314617033,0.4814785969221198,0.6592443349263599,0.7994583269872864,0.4491581097824576,0.6012771366470513
82,0.5184508259484554,0.05742447592510687,0.00022828607113228202,0.39021485764806324,0.2549405532367405,0.24425179976589967
83,0.4946564618984977,0.5764852707993623,0.723495868213921,0.677932022872273,0.9281897422491602,0.6801518732066428
84,0.02063311922012352,0.024071972423477438,0.9351035367369449,0.38072484059531153,0.3094968927847429,0.33400607235212004
85,0.628712429603681,0.37279114783398454,0.35660237390288285,0.23173720623282051,0.7309110461326529,0.4641508407412044
86,0.7988095926351465,0.7354366310170324,0.7259054106415356,0.6748368052364521,0.1476542281378071,0.6165285335335947
87,0.3349782718347802,0.5514328116092665,0.06374261858746755,0.706221014259911,0.053625393841367594,0.34200002202655855
