Num,P_1,P_2,P_3,P_4,Average
1,0.03627887305734932,0.0013980974334579354,0.5595281764162857,0.5411251597029099,0.2845825766525007
2,0.18205928164118917,0.583761394082761,0.47584691595857154,0.9477509949900282,0.5473546466681375
3,9.999900000732437e-6,0.0,2.0000000000020002e-5,9.99990000100999e-6,9.999950000440609e-6
4,0.5360527384198283,0.20847331308038647,0.20847331308038647,0.6903461433552479,0.41083637698396225
5,0.7427424369460083,0.7617368718043596,0.5184354919462771,0.09344736090552919,0.5290905404005436
6,0.8728006629398614,0.45439688362152564,0.6395029584557919,0.6148691485877076,0.6453924134012217
7,0.0,0.44372446927189324,0.15581566854102114,0.2912801564915393,0.2227050735761134
8,0.0,0.13907015999226338,0.4378748793016207,0.49256136832446684,0.26737660190458773
9,0.8562354777769039,0.5316970042844676,0.5997472327481481,0.04213806775476591,0.5074544456410713
10,0.18186683141781285,0.5590686516404121,0.6561069517273662,0.5162251935250178,0.4783169070776522
11,0.2532562963722662,0.47459223321976646,0.0,0.7589290987120204,0.3716944070760133
12,0.29276051030671085,0.0,0.8218779624869177,0.04464581053273048,0.28982107083158976
13,0.11477212565259835,0.5590534494351292,0.0,0.27863076409603066,0.23811408479593954
14,0.8108030953571699,0.6133737019006343,0.25336232896126326,0.29274174657465407,0.4925702181984304
15,0.7709581939334175,0.04245838903333632,0.6830563729020473,0.053340993857926566,0.38745348743168195
16,0.6764803429515365,0.4595134978856806,0.4227097976205915,0.646795116674167,0.5513746887829939
17,0.2532562963722662,0.47459223321976646,0.0,0.7589290987120204,0.3716944070760133
18,0.6650659040708924,0.9654837833862625,0.6058651133123245,0.393971103506488,0.6575964760689919
19,0.4731070688384387,0.5840260381719109,0.05566597010101593,0.5919703744301992,0.4261923628853912
20,0.42299778670819654,0.4336256895786236,0.0,0.7832688282033868,0.40997307612255174
21,0.4075183279305211,0.13692652818200765,0.21609518019407248,0.6238600176700887,0.3461000134941725
22,0.12780619979193084,0.681326620106551,0.07957145740507043,0.968612197855655,0.4643291187898018
23,0.6100376817857008,1.999999999946489e-5,0.539131541863274,0.37949816979757744,0.3821718483616379
24,0.18186683141781285,0.5590686516404121,0.6561069517273662,0.5162251935250178,0.4783169070776522
25,0.4403612360617846,0.008656898918447675,0.21227110123919588,0.18356298244137215,0.21121305466520007
26,0.7427424369460083,0.7617368718043596,0.5184354919462771,0.09344736090552919,0.5290905404005436
27,0.6650659040708924,0.9654837833862625,0.6058651133123245,0.393971103506488,0.6575964760689919
28,0.0,0.5259207935463945,0.4481840678362974,0.6475194940352468,0.4054060888544847
29,1.9999999999464883e-5,0.0,0.0,2.0000000000020002e-5,9.999999999871221e-6
30,1.9999999999464883e-5,0.31062540285109885,0.2678293143078925,0.4325023701191863,0.2527442718195443
31,0.0,0.4342423671540398,0.0,0.35875240623694016,0.19824869334774498
32,0.42299778670819654,0.4336256895786236,0.0,0.7832688282033868,0.40997307612255174
33,0.0,0.13907015999226338,0.4378748793016207,0.49256136832446684,0.26737660190458773
34,0.7709581939334175,0.3964009694902718,0.0,0.05334099385792601,0.3051750393204038
35,1.9999999999464883e-5,0.3670599285385039,0.527541103312451,0.3592622787446318,0.31347082764889656
36,0.09342166021927498,0.052987883330712186,0.9341702113631586,0.5674998836845306,0.4120199096494191
37,0.18186683141781285,0.5590686516404121,0.6561069517273662,0.5162251935250178,0.4783169070776522
38,0.6106812347594228,0.664972997751027,0.7178959542637218,0.09722342408355678,0.5226934027144321
39,0.7709581939334175,0.04245838903333632,0.6830563729020473,0.053340993857926566,0.38745348743168195
40,0.0,0.8258311373293673,0.22048478519211176,0.03273869478181979,0.2697636543258247
41,0.48729830277618774,0.12613373832048622,0.02877049295458718,0.47665639544877053,0.27971473237500794
42,0.6650659040708924,0.9654837833862625,0.6058651133123245,0.393971103506488,0.6575964760689919
43,0.11047995534437677,0.7196321319616877,0.19029344426399375,0.19517872568944938,0.3038960643148769
44,0.4252553514148884,0.6796178895993168,0.574156105281547,0.47198696440723736,0.5377540776757475
45,0.14486143492718812,0.8804845938355789,0.6704359975495964,0.11894265332752008,0.45368116990997087
46,0.5846913608903945,0.8225447380671977,0.0072352959394328935,0.529915074519985,0.4860966173542525
47,0.26106694654411894,0.22464707137180948,0.7559092557763001,0.5272464710011793,0.44221743617335196
48,0.2706044879593575,0.05064446549723045,0.05064446549723045,0.21406342981806603,0.14648921219297112
49,0.6872160516288408,0.5827190770851775,0.7879596829805634,0.041457088940586584,0.5248379751587922
50,0.6232420274904225,0.42025792451665156,0.7559092557763001,0.5272487893548706,0.5816644992845612
51,1.9999999999464883e-5,0.0,0.0,2.0000000000020002e-5,9.999999999871221e-6
52,0.6232420274904225,0.42025792451665156,0.7559092557763001,0.5272487893548706,0.5816644992845612
53,0.0,1.999999999946489e-5,0.0,2.0000000000020002e-5,9.999999999871223e-6
54,0.6650659040708924,0.9654837833862625,0.6058651133123245,0.393971103506488,0.6575964760689919
55,0.5378606288977151,0.0,0.2678293143078925,0.4325023701191863,0.30954807833119846
56,0.43363755016633254,0.9517095535438923,0.0,0.04953044273501073,0.35871938661130887
57,0.04955543531149357,0.0,0.6815937086515059,0.6494585937572017,0.3451519344300503
58,0.04955543531149357,0.0,0.6815937086515059,0.6494585937572017,0.3451519344300503
59,0.4878713666236906,0.7298205451232777,0.4195772509165896,0.006852769112975776,0.4110304829441334
60,0.5099917341966176,0.027702026820726512,0.6561069517273662,0.5162251935250178,0.427506476567432
61,0.7709581939334175,0.04245838903333632,0.6830563729020473,0.053340993857926566,0.38745348743168195
62,0.0,0.44372446927189324,0.15581566854102114,0.2912801564915393,0.2227050735761134
63,0.8728006629398614,0.45439688362152564,0.6395029584557919,0.6148691485877076,0.6453924134012217
64,0.6650659040708924,0.9654837833862625,0.6058651133123245,0.393971103506488,0.6575964760689919
65,0.33661957246683777,0.10645858455525459,0.0,0.35875240623694016,0.20045764081475814
66,0.0,0.06831016771469879,0.2074021073534299,0.3058419653108563,0.14538856009474624
67,0.7244348971460165,0.05150460044861638,0.4811080963481287,0.3545051250863046,0.40288817975726654
68,0.6399028790941865,0.1300193995819776,0.1300193995819776,0.5040565602498628,0.35099955962700113
69,0.8261420134348939,0.6649016984805783,0.6827720027575432,0.9299821168824665,0.7759494578888704
70,0.23048245946713158,0.0,0.6704359975495964,0.11894265332752008,0.254965277586062
71,0.0,0.8258311373293673,0.22048478519211176,0.03273869478181979,0.2697636543258247
72,0.5099917341966176,0.027702026820726512,0.6561069517273662,0.5162251935250178,0.427506476567432
73,0.26106694654411894,0.22464707137180948,0.7559092557763001,0.5272464710011793,0.44221743617335196
74,0.48729830277618774,0.12613373832048622,0.02877049295458718,0.47665639544877053,0.27971473237500794
75,0.8728006629398614,0.45439688362152564,0.6395029584557919,0.6148691485877076,0.6453924134012217
76,0.7314618571791246,0.8253452219013211,0.6440862851501289,2.0000000000020002e-5,0.5502283410576437
77,0.5378606288977151,0.0,0.2678293143078925,0.4325023701191863,0.30954807833119846
78,0.18205928164118917,0.583761394082761,0.47584691595857154,0.9477509949900282,0.5473546466681375
79,0.7244348971460165,0.7123774509080159,0.0,0.3545051250863046,0.44782936828508424
80,1.9999999999464883e-5,0.0,0.0,2.0000000000020002e-5,9.999999999871221e-6
81,0.4878713666236906,0.7298205451232777,0.4195772509165896,0.006852769112975776,0.4110304829441334
82,0.5378606288977151,0.0,0.2678293143078925,0.4325023701191863,0.30954807833119846
83,0.14486143492718812,0.8804845938355789,0.05942022322905517,0.2543772783859077,0.3347858825944325
84,0.841895149493394,0.4379178453795171,0.17654061537045018,0.030932514026650218,0.3718215310675029
85,0.29308034277497275,0.49406292918519185,0.35073625367114614,0.8035891813465176,0.48536717674445706
86,0.4878713666236906,0.7298205451232777,0.4195772509165896,0.006852769112975776,0.4110304829441334
87,0.3635079988168476,0.6144071011623189,0.820610192243186,0.04464581053273048,0.46079277568877075
88,0.14486143492718812,0.8804845938355789,0.6704359975495964,0.11894265332752008,0.45368116990997087
89,0.8579700357711981,0.46753843747960705,0.6057986972204356,0.6148691485877076,0.636544079764737
90,0.33661957246683777,0.10645858455525459,0.0,0.35875240623694016,0.20045764081475814
91,1.9999999999464883e-5,0.0,0.0,2.0000000000020002e-5,9.999999999871221e-6
92,0.04198312943380576,0.38770691746541514,0.672687731255961,0.6753171934235255,0.4444237428946769
93,0.5846913608903945,0.8225447380671977,0.0072352959394328935,0.529915074519985,0.4860966173542525
94,0.16255316095617584,0.021283840807990992,0.17370915558349687,0.12009785136232318,0.11941100217749673
95,0.526593854561727,0.8538206700393,0.2404121208067106,0.18692015049627447,0.451936698976003
96,0.03037905627901848,0.0,0.05571659897720393,0.2769747303798535,0.09076759640901898
97,0.26106694654411894,0.22464707137180948,0.7559092557763001,0.5272464710011793,0.44221743617335196
98,0.14486143492718812,0.8804845938355789,0.6704359975495964,0.11894265332752008,0.45368116990997087
99,0.8418951494933947,0.0,0.5833457559756464,0.030932514026650485,0.3640433548739229
100,0.8728006629398614,0.45439688362152564,0.6395029584557919,0.6148691485877076,0.6453924134012217
101,0.7314618571791246,0.8253452219013211,0.6440862851501289,2.0000000000020002e-5,0.5502283410576437
102,0.09342166021927498,0.052987883330712186,0.9341702113631586,0.5674998836845306,0.4120199096494191
103,0.0,0.8258311373293673,0.22048478519211176,0.03273869478181979,0.2697636543258247
104,0.7709581939334175,0.04245838903333632,0.6830563729020473,0.053340993857926566,0.38745348743168195
105,0.7709581939334175,0.04245838903333632,0.6830563729020473,0.053340993857926566,0.38745348743168195
106,0.6100376817857008,1.999999999946489e-5,0.539131541863274,0.37949816979757744,0.3821718483616379
107,0.18186683141781285,0.5590686516404121,0.6561069517273662,0.5162251935250178,0.4783169070776522
108,0.0,0.11644349121821884,0.5839246077828937,0.5634252139549416,0.31594832823901353
109,0.15534293613882583,0.4515987379155127,0.26845923467935684,0.37116275079015904,0.31164091488096357
110,0.4899609740856528,0.9199915432741292,0.5952327869203468,0.5925144212722014,0.6494249313880825
111,0.0,0.06831016771469879,0.2074021073534299,0.3058419653108563,0.14538856009474624
112,0.14486143492718812,0.8804845938355789,0.6704359975495964,0.11894265332752008,0.45368116990997087
113,0.0,0.32205704946904345,0.08028033189491302,0.11378300128815394,0.1290300956630276
114,0.8562354777769039,0.5316970042844676,0.5997472327481481,0.04213806775476591,0.5074544456410713
115,0.03403179865580917,0.0,0.2572522829962537,0.18303071299691107,0.11857869866224349
116,0.33661957246683777,0.10645858455525459,0.0,0.35875240623694016,0.20045764081475814
117,0.6650659040708908,0.054324281268259396,0.21759947318749223,0.39397110350648745,0.33274019050828246
118,0.7709581939334175,0.3964009694902718,0.0,0.05334099385792601,0.3051750393204038
119,0.526593854561727,0.8538206700393,0.2404121208067106,0.18692015049627447,0.451936698976003
120,0.09435376468807173,0.08041089121675903,0.5184354919462771,0.09344736090552919,0.19666187718915926
121,1.9999999999464883e-5,0.0,0.0,2.0000000000020002e-5,9.999999999871221e-6
122,0.6857478844226881,0.41983200730956965,0.7456377125623042,0.0,0.46280440107364046
123,0.6650659040708924,0.9654837833862625,0.6058651133123245,0.393971103506488,0.6575964760689919
124,0.7427424369460083,0.7617368718043596,0.5184354919462771,0.09344736090552919,0.5290905404005436
125,0.14486143492718812,0.8804845938355789,0.6704359975495964,0.11894265332752008,0.45368116990997087
126,0.4075183279305211,0.13692652818200765,0.21609518019407248,0.6238600176700887,0.3461000134941725
127,0.30657036276388633,0.738530678845386,0.46679922278017316,0.7835782793698667,0.5738696359398281
128,0.0,0.8970187089329084,0.3503830165565048,0.014030956530578858,0.31535817050499804
129,0.23048245946713158,0.0,0.6704359975495964,0.11894265332752008,0.254965277586062
130,0.6374944786258703,0.4570653098214137,0.2185868391121759,0.42870776207606376,0.4354635974088809
131,9.999900000732437e-6,0.0,2.0000000000020002e-5,9.99990000100999e-6,9.999950000440609e-6
132,0.3635079988168476,0.6144071011623189,0.820610192243186,0.04464581053273048,0.46079277568877075
133,0.0,1.999999999946489e-5,0.0,2.0000000000020002e-5,9.999999999871223e-6
134,0.09342166021927498,0.052987883330712186,0.9341702113631586,0.5674998836845306,0.4120199096494191
135,0.0,0.28164773473322413,0.6830563729020473,0.053340993857926566,0.25451127537329954
136,0.7552754275495555,0.519997291191369,0.7149562839976431,0.8518932772773746,0.7105305700039855
137,0.03299505715077084,0.7590142819074777,0.7914165798206596,0.3007668592007767,0.4710481945199212
138,0.7427424369460083,0.23543278270096638,0.21340542510623647,0.09344736090552919,0.32125700141468505
139,0.03627887305734932,0.0013980974334579354,0.5595281764162857,0.5411251597029099,0.2845825766525007
140,0.03037905627901848,0.0,0.05571659897720393,0.2769747303798535,0.09076759640901898
141,1.9999999999464883e-5,0.31062540285109885,0.2678293143078925,0.4325023701191863,0.2527442718195443
142,0.4899609740856528,0.9199915432741292,0.5952327869203468,0.5925144212722014,0.6494249313880825
143,0.0,0.13907015999226338,0.4378748793016207,0.49256136832446684,0.26737660190458773
144,0.18186683141781285,0.5590686516404121,0.6561069517273662,0.5162251935250178,0.4783169070776522
145,0.23048245946713158,0.0,0.6704359975495964,0.11894265332752008,0.254965277586062
146,0.14486143492718812,0.8804845938355789,0.6704359975495964,0.11894265332752008,0.45368116990997087
147,0.6374944786258703,0.4570653098214137,0.2185868391121759,0.42870776207606376,0.4354635974088809
148,0.29276051030671085,0.0,0.8218779624869177,0.04464581053273048,0.28982107083158976
149,0.03403179865580917,0.0,0.2572522829962537,0.18303071299691107,0.11857869866224349
