Num,F_1,F_2,F_3,F_4,F_5,Average
1,0.8973986691709737,0.6490358813239056,0.896779134738153,0.5701926737139673,0.5714327852451725,0.7169678288384345
2,0.7143719216926985,0.5442061816588657,0.6805543910182125,0.6199746085569958,0.3272369656008181,0.5772688137055181
3,0.6708244620321708,0.6972012066122333,0.5855719696490715,0.5942903868301577,0.4099794688548426,0.5915734987956952
4,0.8279331894892196,0.8642932889286583,0.7763853916491001,0.6359339755607951,0.5735997773578533,0.7356291245971253
5,0.44550548591613126,0.6182555903382017,0.9085646424079824,0.7990176094576593,0.7318836156922179,0.7006453887624385
6,0.3308145573701002,0.7558151440469516,0.5813842771315704,0.6638392783806327,0.7354674290434088,0.6134641371945327
7,0.7575416609026672,0.8749562805152734,0.8156985117029376,0.7596174582812264,0.5093602624445603,0.7434348347693329
8,0.7907294620017623,0.7379304329863609,0.7569326263810771,0.4730982744562726,0.4361482522524329,0.6389678096155811
9,0.6465681717396689,0.7296708206387241,0.7704949830397254,0.8082422963264769,0.4980733879129029,0.6906099319314997
10,0.8160142053521671,0.8109087137737008,0.8175951577994267,0.7035390896463898,0.4511954987727593,0.7198505330688887
11,0.7673113650093619,0.7712892140155057,0.7855211435193268,0.3964795162507121,0.6828071315570339,0.680681674070388
12,0.8340575995720586,0.6860516057134968,0.6595138473251805,0.5768344121306551,0.4398394885173172,0.6392593906517416
13,0.46226325080678804,0.7419183300540071,0.7288882077239983,0.4487154369683627,0.4026990924495794,0.5568968636005471
14,0.822483217837336,0.450251858172308,0.5997182433179694,0.531598141710635,0.6172043498769274,0.6042511621830352
15,0.64044477072214,0.7992466060324311,0.6977181613009614,0.7747640843302613,0.47202227323825885,0.6768391791248105
16,0.8862380394437888,0.8113791905397718,0.7428323310441537,0.6679871566211077,0.4742381360099458,0.7165349707317535
17,0.5626678180949342,0.6284731954097826,0.6785442443040977,0.5957772546660378,0.35989977430050907,0.5650724573550723
18,0.684094878917731,0.8948828981400592,0.7785973202468839,0.6955243082628655,0.5775990903688979,0.7261396991872876
19,0.3209277119876186,0.8917696158533867,0.8825710773306455,0.6979541958613245,0.4723712889061409,0.6531187779878233
20,0.6179660962239696,0.6734826429191765,0.6192184078585397,0.5450518816128865,0.43373827463339776,0.577891460649594
21,0.7674344127202561,0.8192728730494905,0.7874183012762702,0.7260658356398944,0.4137845816490024,0.7027952008669828
22,0.7717664637837579,0.6696729907328207,0.7623922813060425,0.4990043265285514,0.6506168164369553,0.6706905757576256
23,0.5839751460225162,0.7593625395866574,0.7026121216559629,0.7190737351509371,0.40522895933206876,0.6340505003496285
24,0.9585065091235185,0.6361500826607577,0.7864195110637793,0.43879594309798153,0.7746374350238924,0.7189018961939859
25,0.7727364838872518,0.6130758677407757,0.6586887383449596,0.6517220919728425,0.42709041812987014,0.62466272001514
26,0.8311256415629479,0.7490076399574317,0.8164535072031438,0.7613020764477543,0.4980370510536147,0.7311851832449785
27,0.9362832154599358,0.6047573108060753,0.724744231181748,0.547952303586305,0.4954981569287737,0.6618470435925674
28,0.7134803065034014,0.46904721249756176,0.6574855390714816,0.7172590576212973,0.45422028890088534,0.6022984809189255
29,0.7967720096566955,0.9156210022632422,0.7499067836493132,0.582665175171776,0.6358947813596832,0.7361719504201419
30,0.4844511314378113,0.5823070473453175,0.8399164936788976,0.5573664720118068,0.532127936151454,0.5992338161250574
