Num,P_1,P_2,P_3,P_4,P_5,P_6,Average
1,0.42110029804981686,0.32499516273894347,0.2762909853755799,0.4097328770536732,0.7732712658041127,0.10559742535184499,0.3851646690623285
2,0.15730378298963524,0.6011887558824338,0.5800026557098669,0.27078467681065227,0.1740474971944075,0.7440970989418755,0.42123741125481184
3,0.5755955498607925,0.6217960317627848,0.5863007809717464,0.3769155668844481,0.38523678908223313,0.7369227962863517,0.5471279191413928
4,0.5388951481598542,0.32673733969533275,0.6037168380570733,0.5763993388578025,0.5702124633250377,0.898111260424242,0.5856787314198905
5,0.28629934820968256,0.6714398381157608,0.23653784507486775,0.5066001743858095,0.6721969769671741,0.9136931280623111,0.5477945518026011
6,0.6025996681921385,0.7812638783861284,0.3937628414590911,0.5833397506493121,0.6336575773053841,0.9217734948647341,0.6527328684761313
7,0.6322985159352883,0.41001351922849416,0.5445688499540455,0.48592093189221236,0.6467304734549524,0.7229126715360864,0.5737408270001798
8,0.7265572629774918,0.49838018250575666,0.49509603110634853,0.3605483916134479,0.7375115554217764,0.6303412269858675,0.5747391084351149
9,0.6964696520293474,0.806348438584573,0.693873102012918,0.37493025829834564,0.48158387967264693,0.7972169520271944,0.6417370471041709
10,0.7794972537216192,0.49777499843217227,0.4473058527631801,0.6464833847655181,0.6983466986204948,0.539230762226059,0.601439825088174
11,0.4119115893997092,0.4248747445244941,0.2647048007268581,0.4153244412336438,0.4768389460779725,0.5112216282252975,0.41747935836466255
12,0.6429803504002315,0.5397998229796521,0.39416181589419375,0.3852792104722843,0.912163087988619,0.32385458710042314,0.5330398124725674
13,0.8526040650223198,0.689176938994445,0.3847232988566996,0.1611439212049919,0.7721025904282851,0.23417534592859046,0.5156543600725554
14,0.2913009078441149,0.4471345682328215,0.660841301380619,0.1947112167997174,0.5882476303527701,0.4056589209950004,0.43131575760084057
15,0.9415864722372302,0.6085457783529008,0.41786103100348204,0.5004559436998204,0.34236852340564106,0.6024563316578018,0.5688790133928127
16,0.7361754187075034,0.5170273883777193,0.22684709156478167,0.49309825756890685,0.2841576715921421,0.22274609034012605,0.41334198635852987
17,0.41709828443636227,0.7716022651220888,0.3393825372478605,0.7994237388889921,0.7943383708200982,0.7578247161828168,0.6466116521163697
18,0.4709225201397414,0.5654534906995099,0.3548537320605041,0.4809834663485606,0.28448225727851706,0.791089885073051,0.49129755859998064
19,0.6098776023602048,0.4845842863178128,0.5268139734969299,0.14127043438154904,0.5665219085618809,0.6474634685777269,0.49608861228268414
20,0.7787136326594446,0.2998601175746547,0.3556852703724752,0.7179606885370996,0.7031924452828715,0.721046563690933,0.5960764530195798
21,0.7288866858634981,0.6063539227502007,0.8302697014959212,0.5262554560766486,0.26233722851649677,0.7592486018661645,0.6188919327614882
22,0.6805860182312455,0.29773619942140395,0.5124618967406778,0.33671498378642545,0.20276072435698306,0.9113880858603186,0.49027465139950904
23,0.7049500346913875,0.48617021287161033,0.31572974244133734,0.35427279330258116,0.7451122626595199,0.5856985960813724,0.5319889403413015
24,0.7562474316141299,0.08373891571035995,0.448538224911725,0.20252059862484692,0.7000548515274995,0.6968611775115012,0.4813268666500104
25,0.3355681627003241,0.5585948733478634,0.31064304058027997,0.5321349021953526,0.7732820052347129,0.4310124035458746,0.49020589793406794
26,0.5563506601982098,0.49557642891184445,0.40032235266984023,0.5802108514508254,0.7594022483108659,0.9245517770921001,0.6194023864389476
27,0.34508277127275017,0.4933268948616484,0.24551743219867467,0.23770079281991188,0.6413011981636565,0.6951835987468464,0.44301878134391465
28,0.41844819473001393,0.602462922761793,0.5114317847960291,0.14453472469378134,0.7928031828991311,0.8214222747538926,0.5485171807724402
29,0.0768725010987329,0.12882348854268205,0.4378488477575123,0.40238778936452785,0.7012193222581262,0.6979919158903772,0.40752397748532637
30,0.4418124383906658,0.7534505405636102,0.5165967725811683,0.2306645729104393,0.6781835019639003,0.942475877577032,0.5938639506644693
31,0.5902105828997386,0.4505520589161276,0.47567792402466064,0.35220328758866043,0.5113759921419753,0.694744698603453,0.5124607573624359
32,0.6790250796664452,0.4897924172992033,0.5507165946360301,0.834186367970151,0.08824662404636596,0.7392843829898306,0.5635419111013377
33,0.46323350757543846,0.4985079337549365,0.3976336274801066,0.2878760103696025,0.6037909086114446,0.8914127221100357,0.5237424516502607
34,0.6580898230275575,0.31241983861861905,0.43669526158155225,0.35178330535368507,0.7144742664138588,0.7416163800031904,0.5358464791664105
35,0.577073131122631,0.6311778940815865,0.495845261774863,0.8169636443387744,0.5440553642246945,0.34862019364641955,0.5689559148648282
