Num,R_1,R_2,R_3,R_4,Average
1,1.0,1.0,1.0,1.0,1.0
2,1.0,0.8172659517158651,1.0,0.5686505969940169,0.8464791371774705
3,0.0,0.0,1.0,0.0,0.25
4,0.4084051016452791,1.0,1.0,0.4468935422719662,0.7138246609793113
5,0.5828042682519459,1.0,1.0,1.0,0.8957010670629865
6,0.5891880386102523,0.8291219113004511,0.9470602425922224,0.604151900746764,0.7423805233124223
7,0.43479053002511225,1.0,1.0,0.5576073334307571,0.7480994658639674
8,0.0,0.8598380594638562,1.0,0.697506280922809,0.6393360850966663
9,0.4123296309773043,0.7832472891224765,0.9805884200501669,0.0,0.5440413350374869
10,1.0,0.7865716333570629,1.0,1.0,0.9466429083392658
11,0.45944779997555724,0.8263136992624219,1.0,0.766020526281178,0.7629455063797892
12,0.2605174106055649,0.2684322196938536,1.0,0.0,0.38223740757485464
13,0.3425337875777506,1.0,1.0,0.6941303055124837,0.7591660232725586
14,0.6060839353108358,0.9439241374573699,0.6693153746128655,1.0,0.8048308618452678
15,0.5828042682519459,1.0,1.0,1.0,0.8957010670629865
16,0.3147160395482842,0.6535564925155604,1.0,0.646310604835053,0.6536457842247244
17,0.45944779997555724,0.8263136992624219,1.0,0.766020526281178,0.7629455063797892
18,0.6088407398433827,1.0,1.0,1.0,0.9022101849608457
19,0.4530138810910998,0.7876627857764782,1.0,0.5247169481417543,0.691348403752333
20,0.45944779997555724,0.8263136992624219,1.0,0.766020526281178,0.7629455063797892
21,0.374308996922081,1.0,1.0,0.8052469112973097,0.7948889770548477
22,0.0,0.9153107774995296,1.0,0.6194429528435625,0.633688432585773
23,0.6826891579324802,1.0,1.0,0.6058824003918446,0.8221428895810812
24,1.0,0.7865716333570629,1.0,1.0,0.9466429083392658
25,0.3425337875777506,1.0,1.0,0.6941303055124837,0.7591660232725586
26,0.6060839353108358,1.0,1.0,1.0,0.901520983827709
27,0.2940556908812337,0.9354283569590003,0.9836660848837995,1.0,0.8032875331810083
28,0.0,1.0,1.0,0.662167161336435,0.6655417903341088
29,1.0,1.0,1.0,1.0,1.0
30,1.0,0.8667907218841525,1.0,0.5763406077966551,0.8607828324202018
31,0.0,1.0,1.0,1.0,0.75
32,0.22717646040164105,1.0,1.0,0.14716027971687035,0.593584185029628
33,0.0,0.8598380594638562,1.0,0.697506280922809,0.6393360850966663
34,0.5828042682519459,0.8020980465939362,1.0,1.0,0.8462255787114705
35,0.0,0.6274788354461259,1.0,1.0,0.6568697088615315
36,1.0,1.0,1.0,0.8594315888702085,0.9648578972175521
37,1.0,0.7865716333570629,1.0,1.0,0.9466429083392658
38,0.36640874085565356,0.9225394889293164,0.9673667925009832,1.0,0.8140787555714883
