Num,P_1,P_2,P_3,P_4,Average
1,3.3333333332441484e-5,1.4285714285332065e-5,1.4285714285728575e-5,3.3333333333366674e-5,2.3809523809217198e-5
2,0.3034321360686487,0.8172659517158651,0.3398906542561226,0.5686505969940169,0.5073098347586633
3,0.0,0.0,1.4285714285728575e-5,0.0,3.5714285714321437e-6
4,0.4084051016452791,0.09287099970141259,0.09287099970141259,0.42587889088875036,0.25500649798421365
5,0.5828042682519459,0.030327420738097372,0.666938053318438,0.08890165642987762,0.34224284968458973
6,0.5891880386102523,0.5239240046210699,0.6890190038397455,0.5311712595193635,0.5833255766476078
7,0.43025111457479404,0.39658516152036527,0.044267182535938567,0.4410747270213345,0.3280445464131081
8,0.0,0.4200289281107227,0.023788216848843628,0.5687706500648728,0.25314694875610977
9,0.4123296309773043,0.758549362742906,0.8735325228096884,0.0,0.5111028791324747
10,0.3031113856963549,0.6116054307570863,0.6800944196715303,0.8603753225416965,0.613796639666667
11,0.29812529678199395,0.5059319521982111,0.009000895923153404,0.766020526281178,0.3947696677961341
12,0.17233627487326653,0.05857221832015599,0.6020180774599792,0.0,0.20823164266335042
13,0.20065988850474467,0.07604184611089614,0.07604184611089614,0.35086637868248116,0.17590248985225454
14,0.6060839353108358,0.3424347208120689,0.30864086452993805,0.15574560150921532,0.3532262805405145
15,0.5828042682519459,0.030327420738097372,0.666938053318438,0.08890165642987762,0.34224284968458973
16,0.3147160395482842,0.5251875944169913,0.7279804243091144,0.646310604835053,0.5535486657773607
17,0.29812529678199395,0.5059319521982111,0.009000895923153404,0.766020526281178,0.3947696677961341
18,0.5961842391401863,0.6896312738473305,0.531345731062006,0.6566185058441467,0.6184449374734173
19,0.37753815130556917,0.7647407021217948,0.03976140721501138,0.520025749466063,0.4255165025271096
20,0.29812529678199395,0.5059319521982111,0.009000895923153404,0.766020526281178,0.3947696677961341
21,0.31352954508497083,0.15434655728148056,0.1543537001386232,0.6962748185549413,0.32962615526500394
22,0.0,0.7238025990611499,0.05683675528933603,0.6194429528435625,0.3500205767985121
23,0.5333431109925836,0.3001842317976083,0.7578746859282768,0.4118857770370338,0.5008219514388756
24,0.3031113856963549,0.6116054307570863,0.6800944196715303,0.8603753225416965,0.613796639666667
25,0.20065988850474467,0.07604184611089614,0.07604184611089614,0.35086637868248116,0.17590248985225454
26,0.6060839353108358,0.5440977655745426,0.3703110656759123,0.15574560150921532,0.41905959201762655
27,0.2268592984264476,0.9354283569590003,0.3737159657181872,0.040785853934389535,0.3941973687595061
28,0.0,0.5587799710697997,0.3460900661184049,0.5638240435682081,0.3671735201891032
29,3.3333333332441484e-5,1.4285714285332065e-5,1.4285714285728575e-5,3.3333333333366674e-5,2.3809523809217198e-5
30,3.3333333332441484e-5,0.40300803138384517,0.19130665307706607,0.3182558177110382,0.22815095887632048
31,0.0,1.4285714285332065e-5,1.4285714285332065e-5,3.3333333333366674e-5,1.54761904760077e-5
32,0.15889473754042416,0.03617461821230747,0.03617461821230747,0.09245634764857409,0.0809250804034033
33,0.0,0.4200289281107227,0.023788216848843628,0.5687706500648728,0.25314694875610977
34,0.5828042682519459,0.4725752811968287,0.030327420738097372,0.08890165642987669,0.2936521566541872
35,0.0,0.3622025142816941,0.666938053318438,0.08890165642987762,0.27951055600750246
36,0.06046478842891556,0.02591348075524953,0.4383405676474987,0.6878924131468193,0.3031528124946208
37,0.3031113856963549,0.6116054307570863,0.6800944196715303,0.8603753225416965,0.613796639666667
38,0.36640874085565356,0.9148341084367593,0.7571671619285874,0.1620390401392613,0.5501122628400653
39,0.5828042682519459,0.030327420738097372,0.666938053318438,0.08890165642987762,0.34224284968458973
40,0.0,0.7096852932973097,0.31123221995166644,0.05456449130303298,0.26887050113800226
41,3.3333333332441484e-5,1.4285714285332065e-5,1.4285714285728575e-5,3.3333333333366674e-5,2.3809523809217198e-5
42,0.5961842391401863,0.6896312738473305,0.531345731062006,0.6566185058441467,0.6184449374734173
43,0.0,0.7096852932973097,0.31123221995166644,0.05456449130303298,0.26887050113800226
44,0.6423185714848725,0.15022502345846045,0.14098318071746213,0.7944273257479509,0.43198852535218646
45,0.0,0.33380730422541727,0.37367820953720965,0.6740533880414762,0.3453847254510258
46,0.48087760634606735,0.8683852454811533,0.046474335124518935,0.44257927612809533,0.45957911576995875
47,0.4361184296840045,0.1299048795841521,0.6800944196715303,0.8603753225416965,0.5266232628703458
48,0.5051370896960361,0.5140827319098061,0.12610043955032157,0.0,0.2863300652890409
49,0.017855754676158655,0.8370662152397974,0.30218395969741235,0.1064745015392738,0.31589510778816055
50,0.5828042682519459,0.030327420738097372,0.666938053318438,0.08890165642987762,0.34224284968458973
51,3.3333333332441484e-5,1.4285714285332065e-5,1.4285714285728575e-5,3.3333333333366674e-5,2.3809523809217198e-5
52,0.5333431109925836,0.3001842317976083,0.7578746859282768,0.4118857770370338,0.5008219514388756
53,0.5828042682519459,0.4725752811968287,0.030327420738097372,0.08890165642987669,0.2936521566541872
54,0.5961842391401863,0.6896312738473305,0.531345731062006,0.6566185058441467,0.6184449374734173
55,0.27495717710121875,0.07108053677410905,0.14098318071746213,0.7944273257479509,0.3203620550851852
56,0.3464740904481201,0.7505290995828717,0.03538245909643634,0.08255073789168454,0.3037340967547782
57,0.0,0.0,0.5244029502499605,0.5687706500648734,0.2732934000787085
58,0.0,0.0,0.5244029502499605,0.5687706500648734,0.2732934000787085
59,3.3333333332441484e-5,0.40300803138384517,0.19130665307706607,0.3182558177110382,0.22815095887632048
60,0.4361184296840045,0.1299048795841521,0.6800944196715303,0.8603753225416965,0.5266232628703458
61,0.5828042682519459,0.030327420738097372,0.666938053318438,0.08890165642987762,0.34224284968458973
62,0.16341920826883946,0.945498227611142,0.3334280162715523,0.6210160771797006,0.5158403823328086
63,0.5891880386102523,0.5239240046210699,0.6890190038397455,0.5311712595193635,0.5833255766476078
64,0.5961842391401863,0.6896312738473305,0.531345731062006,0.6566185058441467,0.6184449374734173
65,0.20065988850474467,0.07604184611089614,0.07604184611089614,0.35086637868248116,0.17590248985225454
66,0.0,0.690280444424013,0.49648394898641723,0.24871299848904607,0.3588693479748691
67,0.5828042682519459,0.030327420738097372,0.666938053318438,0.08890165642987762,0.34224284968458973
68,0.15889473754042416,0.03617461821230747,0.03617461821230747,0.09245634764857409,0.0809250804034033
69,0.5418246775591424,0.8245739117381812,0.7254744599746746,0.610050130271057,0.6754807948857637
70,0.12445073651560666,0.10347245351942014,0.548804891504431,0.1982377555458668,0.24374145927133117
71,0.3464740904481201,0.7505290995828717,0.03538245909643634,0.08255073789168454,0.3037340967547782
72,0.12445073651560666,0.10347245351942014,0.548804891504431,0.1982377555458668,0.24374145927133117
73,0.10151069310788675,0.32630033396145236,0.7578746859282768,0.41188218915398184,0.39939197553789946
74,0.6423185714848725,0.15022502345846045,0.14098318071746213,0.7944273257479509,0.43198852535218646
75,0.5891880386102523,0.5239240046210699,0.6890190038397455,0.5311712595193635,0.5833255766476078
76,0.4388771143074746,0.8654387222842794,0.83796958946062,3.3333333333366674e-5,0.5355796898464269
77,0.06046478842891556,0.02591348075524953,0.4383405676474987,0.6878924131468193,0.3031528124946208
78,0.3034321360686487,0.8172659517158651,0.3398906542561226,0.5686505969940169,0.5073098347586633
79,0.5297726952021264,0.7494408835188223,0.036789000320440274,0.34007884298679164,0.4140203555070452
80,3.3333333332441484e-5,1.4285714285332065e-5,1.4285714285728575e-5,3.3333333333366674e-5,2.3809523809217198e-5
81,0.026575550739451247,0.6668609480152178,0.6616355774238022,0.42263762249006115,0.44442742466713314
82,0.06046478842891556,0.02591348075524953,0.4383405676474987,0.6878924131468193,0.3031528124946208
83,0.24143572487864695,0.7372313831149375,0.08495903809108578,0.13110582403720078,0.29868299253046776
84,0.38249668717552177,0.5220224925520248,0.4431628490391047,0.0,0.33692050719166283
