Num,P_1,P_2,P_3,P_4,P_5,P_6,Average
1,0.40908410070695744,0.46155357598093166,0.8111217294490459,0.716394546756841,0.7677259474388868,0.45118148621997073,0.602843564425439
2,0.2487328208765965,0.9092492709444004,0.4831924380384457,0.17999991764171033,0.2927804018345357,0.484298352265022,0.4330422002667851
3,0.6888181191317579,0.5846882043430052,0.8701837373037205,0.8048143800515032,0.6563750337296813,0.6440808413368633,0.708160052649422
4,0.5915131523927769,0.07281940900119063,0.3633192479831869,0.6997692716044955,0.6461466860312987,0.6962755123803828,0.5116405465655552
5,0.4561919665852281,0.8873734309211584,0.7917429401100863,0.7870827357847806,0.31303274358838085,0.47105472788555447,0.6177464241458648
6,0.7050272681999668,0.7018413432702996,0.8705216257580067,0.7526138917605294,0.6086883399569489,0.3531102781558018,0.6653004578502589
7,0.6380376795610244,0.4727298098849003,0.4920635206955226,0.6046962498960938,0.6349005795161816,0.8070261774015601,0.6082423361592139
8,0.6557237730248135,0.4625436854750075,0.8004411126405042,0.7573191771303469,0.6739630943000198,0.47225442576346643,0.6370408780556932
9,0.655883333951844,0.8176851110581114,0.6912732855765744,0.7330338754786097,0.7462914857735936,0.4108640315706177,0.6758385205682251
10,0.7992382873528783,0.7622500591153184,0.8714690665050634,0.7547281303635932,0.7266805886480954,0.43267845803078914,0.7245074316692897
11,0.2684244312506486,0.37382442441754365,0.16426587828660522,0.7149510142289088,0.44407333862784176,0.6346779446100245,0.4333695052369287
12,0.47755976675668244,0.4815392139075191,0.7955095643551805,0.7541252376953148,0.4792978359808618,0.61776650544974,0.6009663540242164
13,0.44611766059198554,0.5240941103087605,0.43880061648386204,0.0,0.7273766343703585,0.5417099368836169,0.4463498264397639
14,0.2925949532205572,0.5716821635301612,0.5854271646931014,0.05149379313786401,0.8667800268606785,0.7219174877436244,0.5149825981976645
15,0.5883019473730468,0.4990032722558986,0.5534634760359158,0.26162650975618496,0.4025714327108184,0.34613205514688,0.44184978221312404
16,0.306628175898229,0.5169655355157076,0.2923385480994242,0.6818735955453389,0.5477629969882484,0.8051027054422094,0.5251119262481929
17,0.2997654767923973,0.7667697811036154,0.3515539682535506,0.7821028137381272,0.5622623336479926,0.6274588805031991,0.5649855423398137
18,0.8716966181897879,0.9257286513983667,0.7184292460185947,0.5693730583932367,0.6905852028092259,0.25595230879229947,0.671960847600252
19,0.6980243752412022,0.8017874913615696,0.7462175154442509,0.7928494646545495,0.6959325389373913,0.43366035934122105,0.6947452908300308
20,0.4222003936790677,0.33148371501192736,0.556571560519385,0.8528968249182717,0.7310526820041698,0.6515128409631773,0.5909530028493332
21,0.779513416713389,0.5449566694309067,0.8241080290281452,0.7948734924369365,0.5847207606499213,0.4492917195572608,0.66291068130276
22,0.3919940352524715,0.49861440856376915,0.5612180153079861,0.7243850450191459,0.8616344445184212,0.5141377652516873,0.5919972856522469
23,0.40665667528090055,0.6019198889613512,0.88962191264421,0.6409909354452171,0.8461526218480817,0.43542134970395063,0.6367938973139519
24,0.5934514531946574,0.16752291945139428,0.3897285373158693,0.8454376637481776,0.6124311274710971,0.5626887864136192,0.5285434145991358
25,0.3093238487923958,0.3622097253844307,0.7835528342741903,0.7877192621129843,0.682652028536002,0.7307833782398554,0.6093735128899764
26,0.387775572341247,0.5870862626718898,0.6686321671081649,0.8989117387733511,0.4752157021873298,0.5665865222012421,0.5973679942138709
27,0.2988432045880948,0.5699185345225188,0.6528600641602457,0.6355913107992945,0.7203709830786645,0.4458841648963138,0.553911377007522
28,0.5406748458446953,0.36131213868562106,0.5942632011878074,0.20462513962744633,0.4107998448946593,0.2821010738096043,0.3989627073416389
29,0.00986646184924297,0.32909331815540294,0.4681983206158377,0.5015318805099418,0.9463092465153828,0.565777276792073,0.47012941740631353
30,0.9108959643944557,0.6648566092690829,0.7428674004318749,0.7146048916130152,0.5821942940981387,0.3253823166477073,0.6568002460757124
31,0.414538304291543,0.5582453190257572,0.7299618359805589,0.7785098080589392,0.8000645090696226,0.4911399420715581,0.6287432864163298
32,0.7859986933080625,0.7692092121667221,0.7906937900844069,0.9057771674614367,0.5177838973683714,0.3524300352783328,0.6869821326112221
33,0.6073596726073895,0.5941487326548571,0.20357038457286308,0.7099640070832695,0.7733818934822128,0.4807038278263354,0.5615214197044879
34,0.5067373114330218,0.1765952148379606,0.22530900047789065,0.6263227468488246,0.6121411084245524,0.4226509700722366,0.42829272534908114
35,0.5250894189385549,0.6675648749395013,0.6647558376836632,0.5970014359932553,0.788378655982646,0.7458918403256796,0.6647803439772167
36,0.4219708302706599,0.3773604282648086,0.6358362202052787,0.32110394737034986,0.7575815158537684,0.5427180752214674,0.5094285028643889
37,0.8326877900017207,0.4531054476063827,0.8262066333362778,0.5443454204263657,0.8835456880577099,0.44935035519602706,0.6648735557707472
38,0.5494551773622337,0.6928241401356583,0.7075486300785372,0.8355939768097636,0.4348490864718343,0.48817156619378843,0.6180737628419694
39,0.7203146919838159,0.4702507645295428,0.6674941469374354,0.8024091265092871,0.6652643764847334,0.6286764015605556,0.6590682513342283
40,0.6367486087250426,0.44059809177700593,0.8820221898131536,0.5687008663656303,0.7038671485918504,0.263290362840505,0.5825378780188646
41,0.38625697051087615,0.4373106596570247,0.7497564055269892,0.7591032526804082,0.5905038059249444,0.5101331706294457,0.5721773774882815
42,0.6536349159354307,0.4223270881794314,0.5039111515519858,0.8455110563288873,0.2297670993277812,0.4809799778148077,0.5226885481897208
43,0.9368601910863766,0.7469570954037434,0.7928750480137311,0.9677421866461057,0.6871735062827967,0.48301331296828465,0.7691035567335064
44,0.39418511414338137,0.748630741365827,0.8788971118060337,0.6275633671075409,0.6774255377570347,0.6268573594752924,0.658926538609185
45,0.8681758336431216,0.7427041039776029,0.4543625844755114,0.8588680131273677,0.5308698463833736,0.39734934725352833,0.6420549548100842
46,0.46722048521488074,0.5118369082168314,0.6722092798765217,0.8100212077811025,0.5570159978336362,0.4468496845701041,0.5775255939155127
47,0.5167829453417648,0.6113725347067213,0.653932361614119,0.891872886385589,0.5826490747178548,0.5195324487214225,0.6293570419145786
48,0.6344542957588275,0.5302640967525958,0.47160401678412456,0.7657236438711438,0.5306029934981785,0.542614710523098,0.5792106261979947
49,0.8037689436188257,0.44254890454073886,0.5838130752360939,0.3809948089884206,0.2121946360263135,0.19307628221006923,0.43606610843674365
50,0.409053994285758,0.64956996498707,0.6604773213732706,0.5809261569754939,0.8467589912128469,0.5065427385488275,0.6088881945638778
51,0.6756624572504484,0.9413200974662763,0.81581725642468,0.7847512185034273,0.8066591866555425,0.4494481596359065,0.7456097293227136
52,0.8690231331671463,0.5742369344613886,0.6361133465245346,0.7000532072051745,0.6843686630800346,0.2741630551201372,0.6229930565930692
53,0.54788913738115,0.7969459027500234,0.8916480474030684,0.5252446338641585,0.6663312997558124,0.33663326920786274,0.6274487150603459
