Num,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],wL[6],wR[6],Sum_of_Width
1,0.05228469027407202,0.31370594452277517,0.02702886367029926,0.27929377762074353,0.027028863670299292,0.24805981907834657,0.05228469027407199,0.28082173645339625,0.01742858446581805,0.24806036835876025,5.315616910910285e-7,0.22619345085740397,5.315616910984054e-7,0.22780814763063142,1.6478864890441145
2,0.05707830185835366,0.3049573098847452,4.792226725850673e-7,0.26221420292195974,0.028539630151849422,0.2795444224732612,0.021619147806592257,0.22493833024217177,0.023064283598274025,0.28464857186371717,0.014269934881592845,0.20274558486744088,0.020501585420688032,0.27587821480668123,1.6698532741199543
3,0.03650751965374293,0.3042242858402875,0.031175069572387828,0.23120921500400446,0.018253759826871448,0.23938602232356573,0.03117414472766663,0.28505272828984324,0.012169173217914303,0.25841071243099667,0.01651512008975674,0.2390029014731875,0.015587534786193914,0.2813318127635815,1.6772353562509328
4,0.03769785580963302,0.30912010953294106,0.039414467233241754,0.24774497063556536,0.026420942270285647,0.2404254810267535,0.025760395529427545,0.3038357871263004,5.152022433643895e-7,0.2136176108523663,0.019707233616620884,0.23710690018767439,0.0332392010443399,0.2659085299326069,1.635518778588416
5,0.03742630245252592,0.31829087422070657,0.037426302452525956,0.2432651306892961,0.027282153825630616,0.291008888635904,4.865342863445388e-7,0.17710547799873513,0.013641441813530036,0.2806907349335283,0.027282559270869183,0.25442305315599445,0.01818810255042037,0.273968491466047,1.6775053022004234
6,0.05152775918553877,0.28582706894942916,5.4103524953582e-7,0.27223741680303115,0.027569057448594878,0.283818814002602,5.410352495433284e-7,0.20610481483678503,0.025520605419900512,0.26580978795950005,0.0266086419858822,0.24820403294792487,0.036255322501104116,0.2705155958892081,1.6650350627769612
7,0.03208875516899079,0.25788320987968,4.973516111973568e-7,0.30393554841529047,0.034300647668763014,0.2743995683819208,0.032087760465768424,0.32087019964480623,4.973516111904547e-7,0.24398320556285563,4.973516111973568e-7,0.20798131669057102,0.017150323834381472,0.2753179722321382,1.7687420416145254
8,0.06809782101541385,0.3329209955083003,0.03404941745959104,0.23492636396361555,0.04166784204357781,0.2500021179297946,5.069518841152049e-7,0.23492636396361566,0.025777315407266674,0.26658385200936346,0.020833921021788885,0.2668135467006853,5.069518841152049e-7,0.22339942907321864,1.619145338297187
9,0.0635508805875877,0.3147044785675268,0.039415252787178785,0.2853092348399121,0.031776175104534905,0.28303606334620446,4.898738273694184e-7,0.21396528566806575,0.01588808755226748,0.22701209131250208,0.021183953445080846,0.25949862621721026,0.014844958690715688,0.2298144220073854,1.6266804039176141
10,0.03944520836636606,0.23666459195178005,0.03944520836636612,0.23666514417601012,0.046304693580253624,0.3241287725469413,0.022187820247349846,0.23666419750590315,0.015434897860084536,0.2484981872006979,0.023152346790126812,0.27191312284576247,0.015434897860084536,0.24406091070227326,1.5971898538587366
11,0.03121457962619984,0.27872486824862036,0.04601374204054475,0.2588147227844838,0.04601270676923035,0.2777534543659249,0.02080971975079989,0.22141335949829108,0.023006353384615128,0.27606993487192205,5.176356571973715e-7,0.24594592524042644,0.011503176692307585,0.2627169390909766,1.6428784082012906
12,0.06412170238472603,0.24574035548664486,5.343502563942614e-7,0.23073923546009426,0.06412277108523887,0.2992331376174084,5.343502563942614e-7,0.20355836376491196,0.06412170238472605,0.2835305012153697,0.02137425702841295,0.2606562838692407,0.032061385542619426,0.23073923546009414,1.5083942257475282
13,0.03734794394610271,0.3081704328052772,0.05438442855011601,0.2583187137265998,0.03734820226695348,0.2618247388378481,0.018674101133476773,0.2676555893396709,0.027192214275057996,0.24012535781680752,5.166417015111198e-7,0.2306403516612939,0.024602267260855838,0.23371514173823832,1.6009006518514715
14,0.018956475533063403,0.21930909761629053,0.03341488285311275,0.34121007025632016,0.03341488285311276,0.2840196699098135,0.011138294284370904,0.27107182337910285,0.018956475533063406,0.24642768896702372,0.036198963563029166,0.23164216404321003,0.01895647553306341,0.23528303567542316,1.6579270996943685
15,0.04193646123078214,0.3040328558168697,0.03837591186197001,0.24212713927624746,5.084722805994031e-7,0.2686244493208728,0.02163712935798728,0.2104518270627709,1.0169445612623144e-6,0.27493675768416515,0.016142029623071426,0.25784893272433745,0.020968230615391055,0.30291675000869267,1.7218774237879124
16,0.037943080747988564,0.2855495818000864,0.043255083956493,0.2608221979347382,0.03402108730756313,0.2731857069043188,0.031540435038129234,0.24948257304757876,5.046407367081533e-7,0.22077665315090675,0.02268072487170875,0.24824761313598678,0.011340530649433272,0.28115422681433183,1.6384371055758948
17,4.724081190453653e-7,0.29321656820963893,0.024435477743929013,0.24366056543478104,0.023819199705159177,0.2490869407842303,0.04763745459408026,0.3149363210015843,0.01587946647010612,0.2613298860823632,4.724081190453653e-7,0.2362018428381957,4.724081190453653e-7,0.28979485991157505,1.776453968524737
18,0.0790374893697506,0.25686412317891305,0.06026455474509559,0.2537432733727286,0.06026576004583286,0.3013227737254778,0.05215253459991761,0.24916832482438914,1.2053007373090156e-6,0.1883238709891733,0.030132880022916444,0.23436178905570207,6.026503686545078e-7,0.23436081811899684,1.436289946530762
19,0.03316006589330017,0.27530689928053437,0.01967452763843076,0.2583946273844265,0.03316006589330013,0.27191019126842086,0.017322937369320886,0.24243921820263972,0.013116656831244815,0.2604449874615135,0.013264209400694636,0.2564917755015619,4.5760843646594856e-7,0.3053133802661751,1.740602158730544
20,0.01899339868685541,0.30066264494050443,0.037986797373710815,0.3157797349315147,0.029096872350307765,0.2661440209313802,4.5584597499607713e-7,0.21082722311181426,0.018993854532830402,0.2378298646494746,9.116919499921543e-7,0.32288975300909994,0.009699033424431751,0.2310954345201505,1.7704573521878777
21,0.055264705601265667,0.3062550670580393,0.047729213565659144,0.2704588433603997,0.055264705601265667,0.3062550670580394,0.01280550219414933,0.2176871058793574,5.250139740264736e-7,0.229228312607309,5.250139740264736e-7,0.20682089461772382,0.015909737855219732,0.2763197945736237,1.6260501703089851
22,0.04204808800043556,0.2733081684404676,0.0420480880004356,0.275692736789428,5.045748542245501e-7,0.21245018948109107,0.017104424158326272,0.2791248260293931,0.018020827846755023,0.27030585822821995,0.025656636237489386,0.26511432160885706,5.045748542245501e-7,0.27912482602939276,1.7102418532136996
23,0.0619223773082404,0.3096107719328373,0.05307657109781092,0.29191881893720045,0.0619223773082404,0.3096107719328373,0.02103039143016849,0.2724579523902253,0.026538285548905437,0.24292387936618992,5.573041822956325e-7,0.1682425910251708,5.573041822956325e-7,0.18074409711380848,1.5510177653965393
24,0.05335945671362066,0.30681402812994757,0.07253633687969722,0.290138577537407,0.04002031789036358,0.22318374436882069,0.03757277098780922,0.2590902190485793,0.026679728356810317,0.25790037107930774,5.802841184848154e-7,0.17408370536127987,0.0290145395875799,0.22960562377465846,1.4816325386000015
25,0.034341063050778525,0.23090669788078044,0.03434078403511692,0.23090609174330826,0.06868045200758742,0.252010606967352,0.06868156807023391,0.29188996792261607,0.03600242407491958,0.19929295506794062,0.04292570102823455,0.270011559190228,0.024001616049946398,0.21600851291095738,1.3820527833663654
26,0.02572607759768611,0.25430486132017033,0.02572607759768611,0.2979157684663075,0.04630695107442524,0.2818644370346317,4.630677297214125e-7,0.2829835194868934,0.018339518494346882,0.2415981483897563,0.018339518494346913,0.2475788319509678,4.6306772971498617e-7,0.2593153639573225,1.7311218612120989
27,0.04165712541130324,0.26729157378223833,0.040346934624838356,0.25322237940790143,0.05939978527962031,0.23759219143395002,5.345911178325865e-7,0.25687844737492926,0.020173467312419178,0.2841158864944343,1.0691822356354972e-6,0.19637677759458538,0.030260200968628727,0.31268362654179793,1.6163217652596735
28,0.04176291644840702,0.27335044830991423,0.020881458224203505,0.1948882088309903,0.041761914152444395,0.2614657142743024,0.041761914152444395,0.29233440136307365,0.01743128816931785,0.29233440136307387,5.011479813200795e-7,0.2505726876698219,0.020881458224203512,0.2505726876698219,1.6310370989619964
29,0.024095079547702465,0.26699136175500576,0.048189006575547734,0.31322593086164413,0.03658851215463212,0.2927013232427937,0.018294256077316027,0.26596287863838697,4.939370816571605e-7,0.22796866205742736,0.02409409167353916,0.24094271992821653,2.9636224899429633e-6,0.2409427199282163,1.6974711928233819
30,0.03307314956812378,0.2866294557914335,0.04110463592963687,0.2705165288164003,0.023393304091007663,0.27284937869357534,0.019708092803694854,0.2592166347267522,0.016536696063103894,0.2740306930615359,0.013701865013943836,0.2417249845582466,0.011023823707261064,0.2364907571752837,1.6829168656464557
