Num,R_1,R_2,R_3,R_4,R_5,R_6,R_7,Average
1,1.0,1.0,1.0,0.5539103589084251,1.0,1.0,0.8833652664034818,0.9196108036159867
2,1.0,0.8031475403045796,0.6999468147114863,0.9056984103295614,1.0,0.6351200373174324,1.0,0.8634161146661513
3,0.32628772908702264,0.6763421116399336,1.0,1.0,1.0,0.7368497369545336,1.0,0.8199256539544985
4,0.974962736660393,0.9781201707558911,0.8718507670194625,1.0,0.7914511052929569,1.0,0.6584279019879211,0.8964018116738035
5,1.0,0.4734532010571547,0.7552259364046529,0.8485510153140576,0.8629552607782245,1.0,0.7286285914512938,0.8098305721436262
6,0.7288663715297983,0.7594502425507637,1.0,0.9398479201225197,0.883064692774877,0.7673448613923304,0.5398600912868611,0.8026334542367356
7,0.758529469956974,0.6789342985302288,0.6930940544087069,1.0,0.9066996685405975,0.8340972923565226,0.7011551928662115,0.796072853808463
8,1.0,0.9576223603259888,0.7781061353575218,1.0,1.0,0.8467613547858228,0.8180314805657387,0.9143601901478674
9,1.0,0.9731631364829608,1.0,0.8922952999454095,0.7088686097900517,0.9039267438977743,0.5148046944180314,0.8561512120763183
10,0.6740850493061167,0.8370519061862502,1.0,1.0,1.0,0.9511199758097325,0.9250378757705967,0.9124706867246709
11,0.6476867377691796,0.7126892502259237,1.0,1.0,1.0,0.7978953324571055,0.9666293908637094,0.8749858159022742
12,0.9818311066903614,0.6769884587200282,1.0,1.0,1.0,0.4602280064346829,0.5221219795980669,0.8058813644918771
13,0.872822002057762,0.356963900054476,1.0,0.6850616840019436,1.0,0.9179111481817969,1.0,0.8332512477565684
14,0.5710517043838459,1.0,1.0,0.7316241956469978,0.738720309327824,0.9063433156228645,1.0,0.8496770749973618
15,0.96018319135257,0.9448652282338637,0.913520051774383,0.6503535326870062,0.8279276315826173,0.7474570307735787,1.0,0.8634723809148598
16,1.0,0.6090451203298296,1.0,0.9699847124341491,1.0,0.9397280523817153,0.48626477570291066,0.8578603801212293
17,1.0,0.5109808096430453,0.8889493679573692,1.0,0.8809683169870739,0.864726542360106,0.783158475881066,0.8469690732612374
18,0.25920814118489843,0.9399090367554844,1.0,1.0,0.6843005990433059,1.0,0.641762170822148,0.7893114211151195
19,0.5431841296444114,0.6021569472486206,0.9202149182807191,0.9151705019024389,0.9258515325148787,0.7605028909617295,1.0,0.8095829886503998
20,0.6002902258256365,1.0,1.0,1.0,0.8727871768535177,1.0,0.636220234159309,0.8727568052626375
21,0.9003560662369117,1.0,1.0,0.8576466876439536,1.0,0.9066620048177932,1.0,0.9520949655283797
22,0.7924806226729703,1.0,0.9112882684811539,1.0,1.0,0.6733255067423939,1.0,0.9110134854137882
23,1.0,1.0,1.0,0.31072990036694864,0.8784776032807697,0.7532058060803462,0.6422938741261576,0.7978153119791747
24,0.9290585384032932,0.9940105077331498,1.0,1.0,0.869202691598255,0.7742455185831334,1.0,0.9380738937596902
25,0.4631842817756385,0.7236878269779576,1.0,1.0,0.9098402206389329,0.932631250252981,1.0,0.8613347970922157
26,0.5782215485974126,0.9360971990759336,0.4844290757039781,1.0,1.0,1.0,0.8398498837023767,0.8340853867256717
27,0.6951894440325558,0.3285196178679902,0.6941202650385259,0.5475072579559784,1.0,0.9253051247824976,1.0,0.7415202442396497
28,0.7762232731634678,0.5461543495579628,1.0,1.0,1.0,0.973427503043299,0.7222302331043979,0.859719336981304
29,0.4983438564074741,1.0,1.0,1.0,0.972788924327338,0.7441239552211735,0.9437212668341414,0.8798540003985895
30,0.9095014436640771,0.5653398218822306,0.8892316113858452,1.0,0.9342716856867288,0.8527972373288658,0.9451112288782766,0.8708932898322891
31,0.6533583408425552,1.0,0.9352217245465952,0.9963963083506929,1.0,0.602069984444222,0.8571256254948287,0.8634531405255564
32,0.5594412745504977,1.0,0.7257550582800832,0.7493845402216519,1.0,0.9726650468146529,0.8981368005468354,0.8436261029162458
33,1.0,0.5722971975654055,0.8971082544663148,0.9159931698480388,1.0,0.45136837497962884,1.0,0.8338238566941983
34,0.708253753202939,0.5734596304164714,1.0,1.0,1.0,1.0,1.0,0.8973876262313443
35,1.0,0.8479859365143684,0.972903742887261,1.0,1.0,0.9578538590003822,0.6215000219906214,0.9143205086275189
36,0.6385412947037769,0.8427959606620825,0.0,0.9362639291109349,1.0,1.0,1.0,0.7739430263538277
37,0.8647559282983912,0.37879518422766784,0.9945550550127744,1.0,1.0,0.7991986664602485,0.9857031755757406,0.8604297156535461
38,1.0,0.36457815420690776,0.0,0.8509118369547547,0.6564103717268749,0.6917563585643504,1.0,0.6519509602075554
39,0.8237932760892633,0.997728893850475,0.5983772762179571,0.8925449924729764,0.8743467261677309,1.0,0.8850242599820379,0.867402203540063
40,0.5198957904801388,0.8251120079797947,0.6102137096923901,0.9529542096292024,0.889040932179955,0.6084325800360638,0.833825054111401,0.7484963263012779
