Num,P_1,P_2,P_3,P_4,P_5,P_6,Average
1,0.5292715201372573,0.5071221348624123,0.8028713585634758,0.690373304207823,0.44580930649119654,0.4600836452113309,0.5725885449122493
2,0.2759259412038245,0.540179935121842,0.35307971733585825,0.18845220464511442,0.11200273857636081,0.4989627801678671,0.3281005528418112
3,0.6719625191689579,0.6646648251471676,0.8491154451121411,0.7157167583086529,0.7034635279930297,0.7953023336011873,0.7333709015551894
4,0.5532239516015035,0.06431936083029409,0.47270409029747185,0.7379910513642256,0.5963970749341492,0.8346583543939665,0.5432156472369352
5,0.36663092231482947,0.8319762878577488,0.7610880068149872,0.815021586301777,0.39490578252374076,0.8184370018991209,0.664676597952034
6,0.8086971804575026,0.9481563069145194,0.8590375380146394,0.8225211491186266,0.8440055479593466,0.6674358243241588,0.8249755911314655
7,0.8088761737949589,0.5782918490205141,0.6226535740960611,0.9431435319872373,0.31871175029507176,0.5123374276311876,0.6306690511375052
8,0.6858585339967395,0.3596187924849744,0.9133263779068831,0.8800082712432962,0.6245941641094788,0.7807271994459204,0.7073555565312155
9,0.9185495595720042,0.7884821948423452,0.7124388439995191,0.8128743673393563,0.8474151560830047,0.6654471782520756,0.7908678833480508
10,0.5695794452832051,0.8213254230040129,0.9013412049649466,0.9011943851463455,0.8546899368376569,0.7248154130321748,0.7954909680447236
11,0.577252987622077,0.30393620865171767,0.22734909071297776,0.5034920426875323,0.5527254041835722,0.6619127937411693,0.4711114212665077
12,0.5687560063619665,0.7973808274179262,0.9071725792840101,0.6784993921913358,0.711641588467715,0.7999224964953159,0.7438954817030449
13,0.47135387929300265,0.60653757583983,0.4680289347115271,0.04444867332926208,0.7724140990336423,0.7473347725985675,0.5183529891343053
14,0.4282225777030275,0.4282225777030291,0.6380781044588786,0.6859640677971095,0.9146008566962932,0.6311787164988177,0.6210444834761926
15,0.7651508463251808,0.6442690119763769,0.7041241847654744,0.38831518861882547,0.4152713724939125,0.49125731179257787,0.568064652662058
16,0.643653093368053,0.4768437790078625,0.334091153230946,0.7049477724390041,0.5408297233234469,0.558254391274926,0.5431033187740398
17,0.4574104492526689,0.6616680119136664,0.5642164004916079,0.8334024517938338,0.6627794513695605,0.8047661562415268,0.6640404868438107
18,0.5812513504671765,0.6972384947047926,0.7708009549629866,0.7409634175366646,0.6527204282615375,0.5602047341140988,0.6671965633412095
19,0.6537601537725789,0.6046043925812427,0.7208340144968673,0.709476430742686,0.8473250284941999,0.5683709195319024,0.6840618232699128
20,0.5990978428045771,0.21972718911873051,0.7245784841872915,0.7395927546559816,0.6822776029673902,0.6906073826748874,0.6093135427348098
21,0.8648743685637437,0.5845509664978817,0.8224384102965223,0.4924011096149813,0.39384018406114013,0.7573750167850865,0.6525800093032258
22,0.6083552152079342,0.5674558195192692,0.6001273024193536,0.647043961053458,0.5769829822695647,0.6599495024770069,0.6099857971577644
23,0.6540960123972887,0.6117674196804346,0.7595325779112867,0.7273868601698777,0.5604939368437095,0.7535143934015783,0.6777985334006958
24,0.6862789147371442,0.1412219325452803,0.4973311243061126,0.7178573358430974,0.9547429414439053,0.9647269098584627,0.6603598597890004
25,0.6180614738098098,0.5043782411471175,0.877092000682152,0.7521028650757519,0.7716689532997543,0.7270213202250528,0.7083874757066063
26,0.6479359785753297,0.617503795909397,0.8079012871118005,0.7001696456672827,0.4340556625795393,0.8101904467418338,0.6696261360975305
27,0.34259004855149805,0.761589844241482,0.7739850195914175,0.7240874015717867,0.8410659232073382,0.9387210124110995,0.7303398749291037
28,0.6331702250645189,0.9402767930204894,0.47523581091586004,0.29716547386348396,0.5901632258428245,0.47033716932388914,0.5677247830051777
29,0.0,0.34602845077646954,0.4681690938805176,0.5444561205675007,0.7379164498253713,0.7475863496072971,0.47402607744285935
30,0.7077188084008458,0.6420817513748377,0.7122537325453219,0.6599750369845697,0.5913140614505634,0.7655336965186917,0.6798128478791384
31,0.5478788663013295,0.6416078784500996,0.777860220470563,0.5957841480824696,0.704219828771144,0.759396600836617,0.6711245904853703
32,0.4339904829475408,0.3899211230935054,0.3269232866967184,0.9576231070003511,0.1995726945454601,0.5513428815575496,0.4765622626401876
33,0.6344539632468968,0.6234597247519448,0.23893449184701418,0.6437826483475362,0.7214509700519769,0.7587653064475924,0.6034745174488269
34,0.3249393038313587,0.10534115082718323,0.32327497373213954,0.8104119782417603,0.7021867031908915,0.6534279944004172,0.4865970173706251
35,0.48610199239279395,0.6744969171608917,0.7131452156597409,0.7997624747383817,0.6113641195160308,0.5877029849837482,0.6454289507419312
36,0.7424483732559771,0.3629066055771434,0.5760752996654024,0.3923756722125368,0.9471584259985188,0.7757242437095425,0.6327814367365202
37,0.8662005065857133,0.5055880171482929,0.8695151798460499,0.6277568649757415,0.9455520332066606,0.865142050079087,0.7799591086402575
38,0.2325936593688846,0.2588747580123229,0.5812791797608574,0.620191714604312,0.6141875142039853,0.7226983845976348,0.5049708684246662
39,0.6053689419704429,0.6446431446656772,0.7075087722207296,0.7131129401056308,0.7217891768344125,0.7256903048673503,0.6863522134440405
