Num,Q_1,Q_2,Q_3,Q_4,Q_5,Q_6,Average
1,0.15952622256660326,0.15952622256660332,1.0,1.0,1.0,0.05317540752220101,0.562037975442568
2,0.029464012248722738,1.0,1.0,0.4091702912912226,0.2091702912912222,0.9466231878353445,0.5990712971110853
3,1.0,1.0,0.9943540770417555,1.0,0.7408124921645669,1.0,0.9558610948677204
4,1.0,0.41749146291966605,0.7824939595788851,1.0,0.9850109039924236,1.0,0.8641660544151625
5,1.0,1.0,1.0,1.0,0.8653626200823412,0.9441815855789573,0.9682573676102164
6,1.0,1.0,0.9562528381660623,1.0,1.0,1.0,0.9927088063610103
7,1.0,1.0,0.198847475667287,1.0,0.7293942625847079,0.6490311052754457,0.7628788072545735
8,1.0,0.6548129197698573,1.0,1.0,1.0,1.0,0.9424688199616429
9,1.0,1.0,0.9818025559871785,1.0,0.9210758164266244,1.0,0.9838130620689672
10,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,1.0,0.5986977101164459,0.2783007663265791,1.0,1.0,0.7163670528336804,0.7655609215461175
12,1.0,1.0,1.0,1.0,0.9673169137434858,0.5188567278624973,0.9143622736009971
13,1.0,1.0,1.0,0.44000315402240947,1.0,0.9829374922778646,0.9038234410500458
14,0.12854017461326328,0.20454330570681606,1.0,1.0,0.9380012991111629,0.9672583191658742,0.7063905164328527
15,1.0,1.0,1.0,0.48672862779573417,0.681325754248338,1.0,0.8613423970073454
16,1.0,1.0,0.709508573050629,1.0,0.1049373503656756,0.6065823017024925,0.7368380375197995
17,1.0,1.0,0.8768905184145609,1.0,0.8134599409057546,1.0,0.9483917432200526
18,1.0,1.0,1.0,0.9244784870421537,0.8621690045772861,1.0,0.96444124860324
19,1.0,1.0,1.0,0.6673501576145311,0.6673511586413102,1.0,0.8891168860426402
20,0.6768753174928721,0.9014454942807942,1.0,1.0,1.0,0.645279470124312,0.8706000469829965
21,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,0.4448005487079702,0.7015005066313015,1.0,1.0,1.0,1.0,0.8577168425565453
23,1.0,1.0,1.0,1.0,0.9193914741980649,1.0,0.9865652456996775
24,1.0,0.16386204491330048,0.633351596225763,0.9006366117562938,1.0,1.0,0.7829750421492262
25,1.0,0.7297533797047884,1.0,1.0,0.8851245746027954,0.3954828868257688,0.8350601401888921
26,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27,0.4967725752814193,1.0,1.0,1.0,1.0,1.0,0.9161287625469031
28,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29,0.11272779599032108,0.02520658626318839,1.0,1.0,0.9042425986634401,0.8850689353327831,0.6545409860416221
30,1.0,1.0,1.0,0.4704771144666242,1.0,0.9164285018504431,0.8978176027195112
31,0.6929780466776408,1.0,1.0,0.8394524310916157,1.0,0.9050200019896665,0.9062417466264873
32,1.0,0.2539363932767691,0.2539363932767691,1.0,0.0,0.922836284595284,0.5717848451914703
33,1.0,1.0,1.0,0.49382686895483197,1.0,1.0,0.915637811492472
34,0.7751266530450907,0.0,1.0,1.0,1.0,1.0,0.7958544421741817
35,1.0,1.0,0.7875688602098448,1.0,1.0,0.38702416066094214,0.8624321701451313
36,1.0,1.0,0.6439959314315388,0.39011770037525734,1.0,0.5849652114519491,0.7698464738764575
37,1.0,1.0,1.0,1.0,1.0,0.7081948690650391,0.9513658115108399
38,0.9896417244455976,1.0,1.0,0.214597804494098,0.21459780449409802,1.0,0.7364728889056322
39,1.0,1.0,1.0,1.0,1.0,0.7975539585041893,0.9662589930840316
40,1.0,0.8615811812514309,1.0,1.0,1.0,1.0,0.9769301968752385
41,0.8255500312914588,1.0,1.0,1.0,1.0,0.5596582790457902,0.8975347183895416
42,0.10365138033300855,0.6130493187175817,0.7043458598472215,1.0,0.5570281682241968,1.0,0.6630124545203347
43,1.0,0.8531351454828662,1.0,0.9697751823460349,0.7376335860074381,1.0,0.9267573189727232
44,0.9769893828856293,0.9393851136908185,0.7629584362790045,0.3388190207318875,1.0,0.8405656666074581,0.8097862700324662
45,1.0,1.0,1.0,1.0,1.0,0.9384471209578151,0.9897411868263025
46,1.0,1.0,1.0,0.9140319138220573,0.9706112610703718,1.0,0.9807738624820715
47,1.0,1.0,1.0,0.9964550133377836,1.0,1.0,0.9994091688896306
48,1.0,0.9845375405206371,0.4718988912851402,0.8249661867917897,1.0,1.0,0.8802337697662611
49,1.0,0.46405299579212855,0.6640365469499587,0.9149391783591706,0.5233687745791982,1.0,0.7610662492800758
50,1.0,1.0,1.0,1.0,1.0,1.0,1.0
51,1.0,1.0,0.6724775300500524,1.0,0.9895431264579532,1.0,0.9436701094180009
52,1.0,1.0,1.0,1.0,0.9869750955510528,1.0,0.9978291825918421
53,0.7050763886757336,1.0,1.0,1.0,1.0,1.0,0.9508460647792889
54,1.0,1.0,1.0,0.9210550769828415,1.0,1.0,0.9868425128304735
55,1.0,0.5354947762121373,0.36397833317857287,0.5112429108389812,0.6520162501160708,1.0,0.6771220450576271
56,0.47529589100174585,0.7935184879083059,1.0,1.0,1.0,1.0,0.878135729818342
57,1.0,1.0,0.729301987142254,1.0,0.8572682150831703,1.0,0.9310950337042373
58,1.0,1.0,1.0,1.0,1.0,1.0,1.0
59,1.0,1.0,1.0,1.0,1.0,0.9661042788848353,0.9943507131474725
60,1.0,1.0,1.0,0.215191687539934,0.47130788765411674,1.0,0.7810832625323418
61,1.0,0.981232464098325,0.1745041614945339,1.0,0.5671374614713051,0.08725296165905658,0.6350211747872034
62,1.0,1.0,1.0,1.0,0.6019409735415029,1.0,0.9336568289235837
63,0.6107956019625064,1.0,0.9500369371510842,0.7926132491606732,0.544377390439678,1.0,0.8163038631189904
64,1.0,0.524367209287749,1.0,1.0,0.42269463617182856,0.9182724125862437,0.8108890430076369
65,0.9010011844237061,1.0,1.0,0.08040141912037016,0.48619234936106914,1.0,0.7445991588175241
66,1.0,0.8886915641510623,0.785317455506373,1.0,0.7706400155966241,1.0,0.9074415058756765
67,1.0,1.0,0.3224417441843966,1.0,1.0,1.0,0.8870736240307329
68,1.0,1.0,0.8416624217378543,0.9952248841600864,0.8062471859952505,1.0,0.9405224153155318
69,1.0,1.0,1.0,0.06084425379471223,1.0,0.702989071613296,0.7939722209013348
70,1.0,1.0,0.727508532784036,1.0,0.9504931003836811,1.0,0.9463336055279528
71,0.14746788802914435,1.0,1.0,1.0,1.0,1.0,0.857911314671524
72,1.0,1.0,0.0,0.8876678811818141,1.0,1.0,0.8146113135303024
73,0.957087350387579,0.7975786508046628,1.0,0.7970333271132951,1.0,1.0,0.9252832213842561
74,1.0,1.0,1.0,0.6373790699888845,0.17411275563168171,1.0,0.8019153042700943
75,0.2871731295008033,0.7493377310953139,0.5005495807268073,1.0,0.5496026386571875,1.0,0.6811105133300187
76,1.0,1.0,1.0,0.7244135118368711,1.0,1.0,0.9540689186394785
77,1.0,0.7325577090315444,1.0,1.0,0.8744157155509573,1.0,0.9344955707637502
78,1.0,1.0,0.35606523551262925,0.25179106346830377,0.9397017331802435,0.44549873140842033,0.6655094605949328
79,0.6236365203051939,0.1376882467899665,1.0,0.1290714884281724,0.9929793933763214,0.9064625687713457,0.6316397029451667
80,1.0,1.0,1.0,1.0,1.0,1.0,1.0
81,0.972169221283678,0.3170719019871815,1.0,1.0,1.0,0.8597253302194968,0.858161075581726
82,1.0,1.0,1.0,0.8175301647697703,1.0,1.0,0.9695883607949618
83,0.6219092536083172,1.0,0.3553357131663762,1.0,0.8553564049821826,1.0,0.8054335619594792
84,1.0,1.0,1.0,1.0,1.0,1.0,1.0
85,0.31386741548496455,1.0,0.7409728936319515,1.0,1.0,1.0,0.8424733848528193
86,1.0,1.0,1.0,0.9081164700531796,0.35705039253907617,1.0,0.8775278104320426
87,1.0,1.0,1.0,1.0,1.0,0.9682662227742989,0.9947110371290497
88,0.8120918952462389,0.7371039597767798,1.0,1.0,0.9185519798883917,0.7060470359902074,0.8622991451502696
89,1.0,0.37113307442037613,0.3207271850597737,0.979268361583073,1.0,1.0,0.7785214368438704
90,1.0,0.0,1.0,0.6895613605721542,1.0,0.9617217224684056,0.7752138471734266
91,0.8967552779374207,1.0,1.0,1.0,1.0,0.8818328499817871,0.9630980213198681
92,0.5674925442147991,1.0,0.721663120764563,1.0,1.0,1.0,0.881525944163227
93,0.26413524825884926,0.10723777698281284,0.8132190297955105,0.7320676241294249,1.0,0.9207491932387958,0.6395681454008989
94,1.0,0.9014021019932824,1.0,1.0,0.6294183754704404,1.0,0.9218034129106205
95,0.9494079699633736,1.0,0.5401113051752107,1.0,1.0,0.6649203173526042,0.8590732654151981
96,1.0,1.0,1.0,1.0,1.0,0.9322947894020019,0.9887157982336671
97,0.2717688489657609,0.27174989458571275,0.2717593717757369,1.0,1.0,1.0,0.6358796858878685
98,0.9063704051067462,1.0,0.6447995643642914,0.704260715332915,0.9132739776606162,1.0,0.8614507770774281
99,1.0,1.0,0.16659488432302832,1.0,0.8528270423928489,1.0,0.836570321119313
100,1.0,1.0,1.0,1.0,0.7081915193055912,1.0,0.9513652532175986
101,1.0,1.0,1.0,1.0,0.411470211488761,0.9680939342784918,0.8965940242945422
102,1.0,0.7104057363275007,1.0,1.0,0.36840865256474525,1.0,0.8464690648153743
103,0.7962738809334733,0.7691521884196911,1.0,0.9130431619107049,0.9345739306468352,1.0,0.9021738603184507
104,1.0,1.0,0.44651842986194623,1.0,1.0,0.8659533237629539,0.8854119589374833
105,0.9555727403604483,1.0,0.8504781645716738,0.8518350469829552,1.0,1.0,0.9429809919858462
106,1.0,1.0,1.0,1.0,0.5769595240420868,1.0,0.9294932540070144
107,1.0,1.0,1.0,1.0,1.0,1.0,1.0
108,0.4296133354938601,1.0,1.0,0.21480666774693014,1.0,1.0,0.7740700005401316
109,0.9219255741812729,1.0,1.0,1.0,1.0,1.0,0.9869875956968789
110,0.6180354055833024,1.0,1.0,1.0,1.0,1.0,0.9363392342638838
111,1.0,1.0,1.0,0.845927809615504,1.0,0.9382759435733775,0.9640339588648136
112,0.9989020503028775,0.9839273855157235,1.0,1.0,1.0,0.5370547095926727,0.9199806909018791
113,1.0,1.0,1.0,1.0,0.8742504351622079,0.9968606333394597,0.9785185114169446
114,1.0,0.29582727436142403,0.6355725954612113,1.0,0.5870204329452574,1.0,0.7530700504613154
115,1.0,0.9024635165015251,1.0,1.0,1.0,1.0,0.9837439194169209
