Num,Q_1,Q_2,Q_3,Q_4,Q_5,Q_6,Q_7,Q_8,Average
1,1.0,0.2600574673662755,0.2307232164837645,1.0,1.0,0.9223247522184788,0.7919841820801089,0.5884066477562022,0.7241870332381036
2,0.943278747668116,1.0,1.0,0.40649258055687915,1.0,0.7219546862191005,1.0,1.0,0.883965751805512
3,1.0,0.14132735093307033,1.0,1.0,1.0,0.8623415016429927,0.3148954133425245,0.9320455134687411,0.7813262224234161
4,0.7941403005720896,1.0,1.0,1.0,1.0,0.7892056850015639,0.9966255372250423,0.8203211087921594,0.9250365789488568
5,1.0,0.9523833867179028,0.810274806151113,0.837925503920404,1.0,0.9928271475520657,0.8053456436439371,0.6653764425588121,0.8830166163180293
6,1.0,1.0,1.0,0.49923544368871753,0.8508759104052088,1.0,1.0,1.0,0.9187639192617407
7,0.8467368166639118,0.9615833758524758,1.0,0.9519388133442472,1.0,0.8715605921144184,0.3364438264140324,1.0,0.8710329280486356
8,0.3368484135635753,0.8720548182427095,0.8079418493984989,1.0,0.9334488706104773,1.0,1.0,0.6197202912536204,0.8212517803836101
9,1.0,0.7535060867378292,1.0,1.0,0.6659843215643758,0.6976563401691357,0.5830838326859858,0.9120365759355511,0.8265333946366098
10,0.988773748009394,0.3649181340033408,0.8845301337745458,1.0,0.9205288301243361,0.4902777099911171,0.8501824031693943,0.5760812344757331,0.7594115241934827
11,0.591030607594605,1.0,1.0,1.0,1.0,1.0,0.5248096714049459,0.8400252222514087,0.86948318765637
12,0.9365463146300708,0.43995063028663567,1.0,1.0,0.9250620017433044,0.841120481216623,1.0,0.3466684606233088,0.8111684860624928
13,0.8560853559742112,1.0,0.8198864179895765,1.0,1.0,0.7605733309182571,0.6140097975012299,0.7119381204473637,0.8453116278538299
14,0.6094904716146233,1.0,1.0,0.32075475724558444,1.0,0.9586525688865094,0.7307816332051593,0.7133212942464047,0.7916250906497851
15,0.43985842293204347,1.0,1.0,0.9593896538808455,1.0,0.2332780383268119,0.8083760329280903,0.7793762350472844,0.7775347978893845
16,0.9319708306686413,0.613352857666906,1.0,1.0,1.0,0.3410218875284584,0.36082160824628795,0.964995650428815,0.7765203543173885
17,0.35354525376096646,1.0,1.0,1.0,1.0,0.8500849141311742,1.0,1.0,0.9004537709865176
18,1.0,0.8473477778943032,0.7954312550173306,0.6895609848718685,0.9711170567310573,0.744064684870808,0.9580711982560787,1.0,0.8756991197051808
19,1.0,1.0,1.0,0.6598026807902626,1.0,1.0,1.0,0.924097680410489,0.9479875451500939
20,0.3193055346104215,1.0,1.0,0.9393308110053789,1.0,0.6680134425984195,0.5729351912767086,0.9915087723160223,0.8113867189758688
21,1.0,0.8418527852961951,1.0,1.0,0.7021928423890091,1.0,0.6889853901643362,0.5133497677840821,0.8432975982042028
22,0.12583515130962508,0.7919573002052188,0.9777069826017843,1.0,0.9237718299324219,0.5730259054909821,0.9676068153737047,0.33673216399453215,0.7120795186135336
23,0.6770707732780878,1.0,1.0,0.5516408377068576,1.0,0.6622583288500815,0.8209669671814221,0.8068524170052207,0.8148486655027087
24,1.0,0.688098002997276,1.0,0.7094126517787491,0.8417195332389227,1.0,0.45744664669203006,0.9503592648567604,0.8308795124454672
25,1.0,1.0,0.0,0.47884527808850613,1.0,0.9620756797747645,0.7881191983382966,0.6967937682540897,0.7407292405569572
26,1.0,0.942729419782364,0.21742452258067693,1.0,0.7651906997844484,1.0,1.0,0.816373705620098,0.8427147934709484
27,1.0,1.0,1.0,0.5902552874151972,1.0,0.7945371054511928,0.4374174700860827,0.9663884410798849,0.8485747880040447
28,0.9938843483935788,1.0,0.28706908304867773,1.0,1.0,0.853803733166358,0.37266631122443733,0.899553908138777,0.8008721729964785
29,1.0,0.5488997437284223,1.0,1.0,1.0,0.606711438637226,0.7961350701668547,0.992239252209984,0.8679981880928109
