Num,F_1,F_2,F_3,F_4,Average
1,0.29926313467494264,0.31098602641158835,0.7041411066448194,0.7501447150131926,0.5161337456861357
2,0.5081609212203325,0.595791759818258,0.7413421496533724,0.7162256838083682,0.6403801286250828
3,7.930164461608259e-16,0.0,1.3877787807814445e-15,0.0,5.451988067355676e-16
4,0.7609375462413195,0.6948542317365825,0.7483111104912599,0.3869478973633013,0.6477626964581158
5,0.8044348190013011,0.8891188792895808,0.6365787690415387,0.913448928727383,0.8108953490149509
6,0.8652937490362795,0.7728763890122763,0.6528416109761701,0.686096269263628,0.7442770045720885
7,0.7134023004386135,0.7882905855960458,0.8813446493401061,0.6193680691356346,0.7506014011276
8,0.6185863176522324,0.6071025037046724,0.6327713641211964,0.6749360848809599,0.6333490675897653
9,0.7046980003648841,0.5785097976677375,0.5133258810286521,0.278194702800895,0.5186820954655421
10,0.7636907433247538,0.7746362713891354,0.7373742797962505,0.626866354190051,0.7256419121750477
11,0.8893988382244212,0.7605585625848201,0.1515185240703343,0.6607782559550344,0.6155635452086525
12,0.7203832321443553,0.4307878140811595,0.7569690135066341,0.07144077033578383,0.4948952075169832
13,0.5821957531721721,0.477971709529094,0.0,0.7622546470069057,0.45560552742704297
14,0.9104901219690007,0.8002582724605244,0.33123771975980304,0.40164628296860055,0.6109080992894822
15,0.8044348190013011,0.8891188792895808,0.6365787690415387,0.913448928727383,0.8108953490149509
16,0.8261824044870895,0.7945608115208802,0.6708958166119464,0.5263435616035697,0.7044956485558714
17,0.8893988382244212,0.7605585625848201,0.1515185240703343,0.6607782559550344,0.6155635452086525
18,0.867867923127922,0.8886141993040608,0.808834351001051,0.8989025442604783,0.8660547544233781
19,0.8355067077894215,0.7752564178074671,0.6851525376444415,0.7154435499444444,0.7528398032964436
20,0.8893988382244212,0.7605585625848201,0.1515185240703343,0.6607782559550344,0.6155635452086525
21,0.6043341905370463,0.617631482802218,0.7951498778060082,0.6252584193586395,0.660593492625978
22,0.7472599992806938,0.7397150900730249,0.6349658842284721,0.5143445395690591,0.6590713782878125
23,0.9453077286918175,0.7572246948350975,0.7334977739018522,0.5816135155525863,0.7544109282453384
24,0.11993213337471192,0.6262603861686424,0.6133522669067147,0.6607782559550344,0.5050807606012759
25,0.5821957531721721,0.477971709529094,0.0,0.7622546470069057,0.45560552742704297
26,0.9104901219690007,0.9614114664278428,0.7003881192140158,0.40164628296860055,0.743483997644865
27,0.867867923127922,0.8886141993040608,0.808834351001051,0.8989025442604783,0.8660547544233781
28,0.33204396363606953,0.845417745997937,0.7979576829568811,0.671978942501016,0.6618495837729759
29,7.930164461608259e-16,9.251858538542966e-16,0.0,1.8503717077085928e-15,8.921435019309289e-16
30,0.5081609212203325,0.595791759818258,0.7413421496533724,0.7162256838083682,0.6403801286250828
