Num,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,Average
1,0.23916113721789925,0.4818220035952876,0.3570537431988818,0.799236521732669,0.7618039218700705,0.5300320655004698,0.8198572959390213,0.7812290573460252,0.5962744683000406
2,0.6180770246680944,0.5904774590600079,0.507197991641485,0.3383355409180381,0.9070642270214989,0.3345899872509794,0.8826965521388725,0.5764490847915867,0.5943609834363204
3,0.653717097753002,0.84842998131791,0.7009608917484981,0.6666833699091347,0.7768242654058338,0.652034703094379,0.5427955434078624,0.36704918566855865,0.6510618797881473
4,0.6395874634430854,0.5635192684229999,0.43964927335737247,0.6871639905987922,0.7427981059491825,0.4806749194471209,0.4598799056445369,0.1675478711208747,0.5226025997479956
5,0.8159954710123182,0.6221020883860747,0.8578835778200612,0.8212820260297156,0.367401792316783,0.0,0.3936655040699361,0.8005295119709505,0.5848574964507299
6,0.763168300026203,0.010749736294610734,0.9236324553185898,0.6303375301263726,0.8021410207839548,0.5437295206190562,0.6495565836765198,0.5658678790896733,0.6111478782418724
7,0.6811302735487903,0.33728346615418664,0.6531880312991368,0.6148340080758817,0.727795025735528,0.49839969763438663,0.9151813997195719,0.3285873088635124,0.5945499013788743
8,0.7424710998449239,0.7294548237882006,0.8394804797116088,0.8260366902377831,0.7543820025970185,0.7247556744464,0.5289149321793084,0.607550203640373,0.719130738305702
9,0.07572632197184015,0.2970449995108393,0.7169522642798497,0.1267879190868415,0.8544637557227908,0.003024634073707233,0.18870867256261184,0.45644303129695235,0.3398939498131791
10,0.7361006973820579,0.36760907496618067,0.3853286699802536,0.496348835770899,0.85675320267016,0.02842982014228071,0.7131678588185245,0.48928805515043317,0.5091282768600986
11,0.1243381548182221,0.8764755575805522,0.39982848880682487,0.7970559507936131,0.5515686753988943,0.7786842304133836,0.5927286153993142,0.6236687392453496,0.5930435515570193
12,0.5582916461193926,0.14441218476967832,0.6066976904275976,0.8377902067769049,0.7238168099994036,0.7212893783534868,0.6772122455125432,0.2384320647994146,0.5634927783448027
13,0.5757917363171461,0.7114187686385934,0.9656178517726834,0.9387635630845677,0.6965315787592524,0.9170672047190869,0.7561644208802913,0.8403902377800263,0.8002181702439559
14,0.045415327285027736,0.6422770863580732,0.5443378044723031,0.7432038602554173,0.5120880953772612,0.10829593958801315,0.8873956888797242,0.5556087159788989,0.5048278147743398
15,0.6766605284670122,0.7147859455887929,0.9684760769540797,0.5425561779319898,0.7871506997696006,0.7625818782345604,0.36859143434602176,0.784634558477264,0.7006796624711652
16,0.6828782332314796,0.35526440272041365,0.2677325278979667,0.8095566332736545,0.8180501117483928,0.260792225193722,0.8328794395160134,0.5534783996753183,0.57257899665712
17,0.5313626291282497,0.006215412383623331,0.7467931274284022,0.7811699787821541,0.7768237141454486,0.666058809456616,0.9435822777425947,0.7804196295075959,0.6540531973218355
18,0.5775328688853314,0.6270055967918081,0.5574140222519081,0.33308085741583754,0.13336218298606206,0.6020956771439193,0.7272213505854409,0.5211847214528753,0.5098621596891478
19,0.2544515648047482,0.5906503818082998,0.39482808281920123,0.941991176979385,0.7128800029485247,0.12933861670442276,0.04802379374517025,0.320981258572686,0.4241431097978048
20,0.6704355743920994,0.7614533840328437,0.8128480844214355,0.34637763293960905,0.27792186933814494,0.6414559145817783,0.6024278124765592,0.4001854172004331,0.5641382111728629
21,0.7363488688956319,0.8442565220531345,0.5982075385878866,0.6186308424814009,0.6355580236949063,0.5019574581961643,0.4453180354517974,0.5820915105349443,0.6202960999869833
22,0.3079486069928056,0.40580445830425693,0.36599178306629254,0.18108010987091308,0.8518061108061219,0.7086746426998292,0.6576945531614956,0.4282733698614564,0.48840920434539636
23,0.7118407969783185,0.034341196184544676,0.5104670433415015,0.7314964532930998,0.6736498428502479,0.2004506489715491,0.5228507178546632,0.45515712376551654,0.4800317279049302
24,0.5885133326845956,0.38280128633106686,0.583812118011188,0.4904961145224966,0.4336099189956507,0.8212394971810005,0.6196223994309428,0.7649331509485061,0.5856284772631809
25,0.9112678421681204,0.7031265486288886,0.6178917556649649,0.8880385157430022,0.9033580607425521,0.495357705977629,0.8847350673825197,0.39029042324733276,0.7242582399443762
26,0.3883464648515163,0.4266234048423535,0.7692150643090018,0.4927898679283225,0.053543654418626296,0.4132970401613237,0.5651028036436245,0.32813532543695784,0.4296317031989658
27,0.6888869934454466,0.39473172420956004,0.3598674209741287,0.323461020434318,0.4530355412421742,0.6690879644442463,0.803347229026292,0.7548622872218697,0.5559100226247544
28,0.6797009454859071,0.5128851720884534,0.7841608691005969,0.5749996926977168,0.8227719347197874,0.15607426722740292,0.8056305924455768,0.19354565004705945,0.5662211404765626
29,0.9486354001215308,0.5777154528959625,0.9119755261731606,0.701208260185222,0.4995998242224836,2.0000000000020002e-5,0.17142783041174298,0.6889167757594744,0.5624373837211971
30,0.6301195900090919,0.5509884699288744,0.8996983407414268,0.4690411967094777,0.7533570553899204,0.5455080961338235,0.725506185200493,0.827114194328064,0.6751666410551465
31,0.8342492879424503,0.310773548268623,0.5889665136019008,0.35099233730193363,0.609370556798863,0.8154501781553568,0.5370061067217333,0.8205578232179478,0.608420794001101
32,0.09063295224632464,0.1724320886941913,0.1912276115711975,0.5019219428252077,0.33237924030950644,0.8296500876197336,0.529557810789216,0.6519487450833847,0.4124688098923453
33,0.45625092427295055,0.491133713837818,0.2586738690198307,0.6331051685197534,0.8309415550769118,0.25535218976368346,0.856435292637334,0.2284598361571172,0.5012940686606748
34,0.650654965694782,0.7772216017712873,0.22611346001393362,0.8220281704827401,0.8781514628270367,0.5108288893384102,0.7015191570544417,0.720646548436203,0.6608955319523544
35,0.17832768940628688,0.7196420343194786,0.7742237705239816,0.6000810001386123,0.8965987474312697,0.8737417949067674,0.7272742874846375,0.8492924187437213,0.7023977178693444
36,0.4192676056023527,0.6154757765712077,0.3585136955692542,0.918047681621125,0.30413498665948013,0.6793587844002711,0.4914485895534631,0.6638520336093763,0.5562623941983162
37,0.632836066641968,0.5434195634186523,0.7785405671729411,0.48263721259950176,0.7600828041684113,0.6670798987668335,0.8092803458478627,0.5626879041014878,0.6545705453397073
38,0.7287026546568252,0.766964163383561,0.14176205213250082,0.4041055564550247,0.2874879986807708,0.7033072779559058,0.8499047262873602,0.8903482687167014,0.5965728372835813
39,0.2393899403863199,0.33656785590304716,0.5905147076884074,0.8407095454625411,0.7238241951054598,0.7386576848456052,0.6457111924870446,0.1832351140393018,0.5373262794897158
40,0.7295207385642055,0.3912831802020483,0.8396687279765008,0.2505915661564054,0.5667882008841362,0.4440575297959415,0.45458058163981163,0.2505976078230717,0.4908860166302652
41,0.6487926807773915,0.7725394019280469,0.39563869468647483,0.6618932999099048,0.720961927804415,0.7719285226826326,0.7474404698044964,0.4856853145710305,0.6506100390205491
42,0.7691237895005942,0.11555442303456842,0.5385264309394407,0.3498922716283181,0.742233692872751,0.3985837826418713,0.8995101793876487,0.8726214275991956,0.5857557497005484
43,0.6156099334647086,0.6841934524109755,0.10821776186224097,0.8034071015714233,0.715036250151428,0.500800798420003,0.47562952637442796,0.24890964396920431,0.5189755585280514
44,0.2297669433833355,0.7052101302907553,0.5599230110698766,0.0,0.9178475063569191,0.9860546501267596,0.5104354321932633,0.49112685673151124,0.5500455662690525
45,0.46235746428832536,0.6332587859078112,0.2962729743760875,0.35449138359996996,0.7901347304655651,0.8717632453470048,0.6736483131330815,0.9629458422722107,0.630609092423757
46,0.9735748888465453,0.6631051244520575,0.9793173261728183,0.5461455300865453,2.0000000000020002e-5,0.7336774138634267,0.6534257759036172,0.5764566870244348,0.6407153432936806
47,0.8959178234368839,0.6970615364087999,0.5719364405731074,0.5535629166066902,0.7978727872778524,0.681244361396969,0.43308551488005087,0.5029332465557969,0.6417018283920187
