Index,Mean,Var,SD
P,0.4992366828554775,0.013149731597846636,0.11467227911682333
Q,0.9980253741360955,0.0003048646474055963,0.01746037363304681
R,0.5000594961889833,0.013352112706679754,0.11555134229717867
F,0.6582066232512305,0.010409955631867302,0.10202919009708596
